# Command line arguments:  -Xmx7g  Program arguments:  --gc_once 

used memory, total memory, maximum memory
5,245,6372
89,309,6372
194,309,6372
314,437,6372
428,614,6372
593,934,6372
562,1184,6372
567,1691,6372
960,1691,6372
1326,1691,6372
1087,2015,6372
1499,2015,6372
1289,2616,6372
1736,2616,6372
1388,3037,6372
1756,3037,6372
2118,3037,6372
2222,3037,6372
2249,3037,6372
2249,3037,6372
2327,3037,6372
1719,3846,6372
1950,3846,6372
1950,3846,6372
2128,3846,6372
2226,3846,6372
2365,3846,6372
2471,3846,6372
2678,3846,6372
2816,3846,6372
2850,3846,6372
2914,3846,6372
3125,3846,6372
2175,4411,6372
2312,4411,6372
2469,4411,6372
2633,4411,6372
2708,4411,6372
2782,4411,6372
2821,4411,6372
2821,4411,6372
2941,4411,6372
3056,4411,6372
3174,4411,6372
3299,4411,6372
3331,4411,6372
3331,4411,6372
3370,4411,6372
3526,4411,6372
2631,5478,6372
2789,5478,6372
2908,5478,6372
2908,5478,6372
2947,5478,6372
3105,5478,6372
3263,5478,6372
3461,5478,6372
3461,5478,6372
3461,5478,6372
3500,5478,6372
3579,5478,6372
3816,5478,6372
4014,5478,6372
4211,5478,6372
4290,5478,6372
4329,5478,6372
4329,5478,6372
3238,6309,6372
3588,6309,6372
3940,6309,6372
4031,6309,6372
4072,6309,6372
4114,6309,6372
4248,6309,6372
4600,6309,6372
4868,6309,6372
5040,6309,6372
5216,6309,6372
5327,6309,6372
3881,7093,7093
4068,7093,7093
4388,7093,7093
0,7101,7101
367,7101,7101
367,7101,7101
367,7101,7101
367,7101,7101
367,7101,7101
367,7101,7101
412,7101,7101
412,7101,7101
412,7101,7101
412,7101,7101
420,7101,7101
464,7101,7101
464,7101,7101
464,7101,7101
464,7101,7101
509,7101,7101
509,7101,7101
509,7101,7101
509,7101,7101
509,7101,7101
556,7101,7101
556,7101,7101
556,7101,7101
556,7101,7101
600,7101,7101
600,7101,7101
600,7101,7101
600,7101,7101
600,7101,7101
647,7101,7101
647,7101,7101
647,7101,7101
647,7101,7101
692,7101,7101
692,7101,7101
692,7101,7101
692,7101,7101
692,7101,7101
738,7101,7101
738,7101,7101
738,7101,7101
738,7101,7101
783,7101,7101
783,7101,7101
783,7101,7101
783,7101,7101
783,7101,7101
829,7101,7101
829,7101,7101
829,7101,7101
829,7101,7101
874,7101,7101
874,7101,7101
874,7101,7101
874,7101,7101
874,7101,7101
874,7101,7101
921,7101,7101
921,7101,7101
921,7101,7101
921,7101,7101
965,7101,7101
965,7101,7101
965,7101,7101
965,7101,7101
965,7101,7101
1010,7101,7101
1010,7101,7101
1010,7101,7101
1010,7101,7101
1018,7101,7101
1062,7101,7101
1062,7101,7101
1062,7101,7101
1062,7101,7101
1107,7101,7101
1107,7101,7101
1107,7101,7101
1107,7101,7101
1107,7101,7101
1152,7101,7101
1152,7101,7101
1152,7101,7101
1152,7101,7101
1160,7101,7101
1204,7101,7101
1204,7101,7101
1204,7101,7101
1204,7101,7101
1249,7101,7101
1249,7101,7101
1249,7101,7101
1249,7101,7101
1249,7101,7101
1249,7101,7101
1294,7101,7101
1294,7101,7101
1294,7101,7101
1294,7101,7101
1302,7101,7101
1346,7101,7101
1346,7101,7101
1346,7101,7101
1346,7101,7101
1391,7101,7101
1391,7101,7101
1391,7101,7101
1391,7101,7101
1391,7101,7101
1435,7101,7101
1435,7101,7101
1435,7101,7101
1435,7101,7101
1443,7101,7101
1488,7101,7101
1488,7101,7101
1488,7101,7101
1488,7101,7101
1533,7101,7101
1533,7101,7101
1555,7101,7101
1555,7101,7101
1555,7101,7101
1600,7101,7101
1600,7101,7101
1600,7101,7101
1600,7101,7101
1608,7101,7101
1652,7101,7101
1652,7101,7101
1652,7101,7101
1652,7101,7101
1697,7101,7101
1697,7101,7101
1697,7101,7101
1697,7101,7101
1697,7101,7101
1742,7101,7101
1742,7101,7101
1742,7101,7101
1742,7101,7101
1750,7101,7101
1794,7101,7101
1794,7101,7101
1794,7101,7101
1794,7101,7101
1839,7101,7101
1839,7101,7101
1839,7101,7101
1839,7101,7101
1839,7101,7101
1839,7101,7101
1883,7101,7101
1883,7101,7101
1883,7101,7101
1883,7101,7101
1891,7101,7101
1936,7101,7101
1936,7101,7101
1936,7101,7101
1936,7101,7101
1981,7101,7101
1981,7101,7101
1981,7101,7101
1981,7101,7101
1981,7101,7101
2025,7101,7101
2025,7101,7101
2025,7101,7101
2025,7101,7101
2025,7101,7101
2033,7101,7101
2078,7101,7101
2078,7101,7101
2078,7101,7101
2078,7101,7101
2078,7101,7101
2123,7101,7101
2123,7101,7101
2123,7101,7101
2123,7101,7101
2123,7101,7101
2167,7101,7101
2167,7101,7101
2167,7101,7101
2167,7101,7101
2175,7101,7101
2220,7101,7101
2220,7101,7101
2220,7101,7101
2220,7101,7101
2220,7101,7101
2256,7101,7101
2256,7101,7101
2256,7101,7101
2256,7101,7101
150,7065,7065
150,7065,7065
150,7065,7065
150,7065,7065
150,7065,7065
194,7065,7065
194,7065,7065
194,7065,7065
194,7065,7065
202,7065,7065
247,7065,7065
247,7065,7065
247,7065,7065
247,7065,7065
291,7065,7065
291,7065,7065
291,7065,7065
291,7065,7065
291,7065,7065
335,7065,7065
335,7065,7065
335,7065,7065
335,7065,7065
343,7065,7065
387,7065,7065
387,7065,7065
387,7065,7065
387,7065,7065
431,7065,7065
431,7065,7065
