# Command line arguments:  -XX:+UseSerialGC -Xmx7g  Program arguments:  --gc_once 

used memory, total memory, maximum memory
5,247,6929
80,247,6929
145,247,6929
223,247,6929
294,431,6929
479,760,6929
486,760,6929
691,760,6929
888,1342,6929
1023,1342,6929
1086,1342,6929
1185,1342,6929
1220,2369,6929
1214,2369,6929
1699,2369,6929
1414,2369,6929
1729,2369,6929
1755,2369,6929
1775,2369,6929
1815,2369,6929
1873,2369,6929
1928,2369,6929
2045,2369,6929
1614,2369,6929
1747,2369,6929
1930,2369,6929
2126,2369,6929
1812,4184,6929
1892,4184,6929
2120,4184,6929
2193,4184,6929
2326,4184,6929
2381,4184,6929
2391,4184,6929
2414,4184,6929
2479,4184,6929
2715,4184,6929
2885,4184,6929
2145,4184,6929
2489,4184,6929
2817,4184,6929
3079,4184,6929
3177,4184,6929
2498,4184,6929
2617,4184,6929
2846,4184,6929
3069,4184,6929
3235,4184,6929
3494,4184,6929
3594,4184,6929
3624,4184,6929
3628,4184,6929
2851,4184,6929
3185,4184,6929
3545,4184,6929
3881,4184,6929
4003,4184,6929
3203,6929,6929
3678,6929,6929
4110,6929,6929
4582,6929,6929
4818,6929,6929
3742,6929,6929
4128,6929,6929
4284,6929,6929
4401,6929,6929
4401,6929,6929
4479,6929,6929
4519,6929,6929
4753,6929,6929
4948,6929,6929
322,6929,6929
362,6929,6929
362,6929,6929
362,6929,6929
372,6929,6929
382,6929,6929
392,6929,6929
402,6929,6929
412,6929,6929
422,6929,6929
432,6929,6929
442,6929,6929
452,6929,6929
462,6929,6929
472,6929,6929
482,6929,6929
492,6929,6929
502,6929,6929
512,6929,6929
522,6929,6929
532,6929,6929
542,6929,6929
552,6929,6929
562,6929,6929
572,6929,6929
582,6929,6929
592,6929,6929
602,6929,6929
612,6929,6929
622,6929,6929
632,6929,6929
642,6929,6929
652,6929,6929
662,6929,6929
672,6929,6929
682,6929,6929
692,6929,6929
702,6929,6929
712,6929,6929
722,6929,6929
732,6929,6929
742,6929,6929
752,6929,6929
762,6929,6929
772,6929,6929
782,6929,6929
792,6929,6929
802,6929,6929
812,6929,6929
822,6929,6929
832,6929,6929
842,6929,6929
852,6929,6929
862,6929,6929
872,6929,6929
882,6929,6929
892,6929,6929
902,6929,6929
912,6929,6929
922,6929,6929
932,6929,6929
942,6929,6929
952,6929,6929
962,6929,6929
972,6929,6929
982,6929,6929
992,6929,6929
1002,6929,6929
1012,6929,6929
1022,6929,6929
1032,6929,6929
1042,6929,6929
1052,6929,6929
1062,6929,6929
1072,6929,6929
1082,6929,6929
1092,6929,6929
1102,6929,6929
1112,6929,6929
1122,6929,6929
1132,6929,6929
1142,6929,6929
1152,6929,6929
1162,6929,6929
1172,6929,6929
1182,6929,6929
1192,6929,6929
1202,6929,6929
1212,6929,6929
1222,6929,6929
1232,6929,6929
1242,6929,6929
1252,6929,6929
1262,6929,6929
1272,6929,6929
1282,6929,6929
1292,6929,6929
1302,6929,6929
1312,6929,6929
1322,6929,6929
1332,6929,6929
1342,6929,6929
1352,6929,6929
1362,6929,6929
1372,6929,6929
1382,6929,6929
1392,6929,6929
1398,6929,6929
1402,6929,6929
1412,6929,6929
1422,6929,6929
1432,6929,6929
1442,6929,6929
1452,6929,6929
1462,6929,6929
1472,6929,6929
1482,6929,6929
1492,6929,6929
1502,6929,6929
1531,6929,6929
1541,6929,6929
1551,6929,6929
1561,6929,6929
1571,6929,6929
1581,6929,6929
1591,6929,6929
1601,6929,6929
1611,6929,6929
1621,6929,6929
1631,6929,6929
1641,6929,6929
1651,6929,6929
1661,6929,6929
1671,6929,6929
1681,6929,6929
1691,6929,6929
1701,6929,6929
1711,6929,6929
1721,6929,6929
1731,6929,6929
1741,6929,6929
1751,6929,6929
1761,6929,6929
1771,6929,6929
1781,6929,6929
1791,6929,6929
1801,6929,6929
1811,6929,6929
1821,6929,6929
1831,6929,6929
1841,6929,6929
1851,6929,6929
1861,6929,6929
1871,6929,6929
1881,6929,6929
1891,6929,6929
1901,6929,6929
1911,6929,6929
1921,6929,6929
1921,6929,6929
157,6929,6929
157,6929,6929
157,6929,6929
157,6929,6929
157,6929,6929
165,6929,6929
175,6929,6929
185,6929,6929
195,6929,6929
205,6929,6929
215,6929,6929
225,6929,6929
235,6929,6929
245,6929,6929
255,6929,6929
265,6929,6929
275,6929,6929
285,6929,6929
295,6929,6929
305,6929,6929
315,6929,6929
325,6929,6929
335,6929,6929
345,6929,6929
355,6929,6929
365,6929,6929
375,6929,6929
385,6929,6929
395,6929,6929
405,6929,6929
415,6929,6929
425,6929,6929
435,6929,6929
445,6929,6929
455,6929,6929
465,6929,6929
475,6929,6929
485,6929,6929
495,6929,6929
505,6929,6929
515,6929,6929
525,6929,6929
535,6929,6929
545,6929,6929
555,6929,6929
565,6929,6929
575,6929,6929
585,6929,6929
595,6929,6929
605,6929,6929
615,6929,6929
625,6929,6929
635,6929,6929
645,6929,6929
655,6929,6929
665,6929,6929
675,6929,6929
685,6929,6929
695,6929,6929
697,6929,6929
705,6929,6929
715,6929,6929
725,6929,6929
735,6929,6929
745,6929,6929
755,6929,6929
765,6929,6929
775,6929,6929
785,6929,6929
795,6929,6929
805,6929,6929
815,6929,6929
825,6929,6929
835,6929,6929
845,6929,6929
855,6929,6929
865,6929,6929
875,6929,6929
885,6929,6929
895,6929,6929
905,6929,6929
915,6929,6929
925,6929,6929
935,6929,6929
945,6929,6929
955,6929,6929
965,6929,6929
975,6929,6929
985,6929,6929
995,6929,6929
1005,6929,6929
1015,6929,6929
1025,6929,6929
1035,6929,6929
1045,6929,6929
1055,6929,6929
1065,6929,6929
1075,6929,6929
1085,6929,6929
1095,6929,6929
1105,6929,6929
1115,6929,6929
1125,6929,6929
1135,6929,6929
1145,6929,6929
1155,6929,6929
1165,6929,6929
1175,6929,6929
1185,6929,6929
1195,6929,6929
1205,6929,6929
1211,6929,6929
1215,6929,6929
1225,6929,6929
1235,6929,6929
1245,6929,6929
1255,6929,6929
1265,6929,6929
1275,6929,6929
1285,6929,6929
1295,6929,6929
1305,6929,6929
1315,6929,6929
1325,6929,6929
1335,6929,6929
1345,6929,6929
1355,6929,6929
1365,6929,6929
1375,6929,6929
1385,6929,6929
1395,6929,6929
1405,6929,6929
1415,6929,6929
1425,6929,6929
1435,6929,6929
1445,6929,6929
1455,6929,6929
1465,6929,6929
1475,6929,6929
1485,6929,6929
1495,6929,6929
1505,6929,6929
1515,6929,6929
1525,6929,6929
1535,6929,6929
1545,6929,6929
1555,6929,6929
1565,6929,6929
1575,6929,6929
1585,6929,6929
1595,6929,6929
1605,6929,6929
1615,6929,6929
1625,6929,6929
1635,6929,6929
1645,6929,6929
1655,6929,6929
1665,6929,6929
1675,6929,6929
1685,6929,6929
1695,6929,6929
1705,6929,6929
1715,6929,6929
1715,6929,6929
1725,6929,6929
1735,6929,6929
1745,6929,6929
1755,6929,6929
1765,6929,6929
1775,6929,6929
1785,6929,6929
1795,6929,6929
1805,6929,6929
1815,6929,6929
1825,6929,6929
1835,6929,6929
1845,6929,6929
1855,6929,6929
1865,6929,6929
1875,6929,6929
1885,6929,6929
1895,6929,6929
1905,6929,6929
1915,6929,6929
1925,6929,6929
1935,6929,6929
1945,6929,6929
1955,6929,6929
1965,6929,6929
1975,6929,6929
1985,6929,6929
1995,6929,6929
2005,6929,6929
2015,6929,6929
2025,6929,6929
120,6929,6929
157,6929,6929
157,6929,6929
157,6929,6929
157,6929,6929
165,6929,6929
175,6929,6929
185,6929,6929
195,6929,6929
205,6929,6929
215,6929,6929
225,6929,6929
235,6929,6929
245,6929,6929
255,6929,6929
265,6929,6929
275,6929,6929
285,6929,6929
295,6929,6929
305,6929,6929
315,6929,6929
325,6929,6929
335,6929,6929
345,6929,6929
355,6929,6929
365,6929,6929
375,6929,6929
385,6929,6929
395,6929,6929
405,6929,6929
415,6929,6929
425,6929,6929
435,6929,6929
445,6929,6929
455,6929,6929
465,6929,6929
475,6929,6929
485,6929,6929
495,6929,6929
505,6929,6929
515,6929,6929
525,6929,6929
535,6929,6929
545,6929,6929
555,6929,6929
565,6929,6929
575,6929,6929
585,6929,6929
595,6929,6929
605,6929,6929
615,6929,6929
625,6929,6929
635,6929,6929
645,6929,6929
655,6929,6929
665,6929,6929
675,6929,6929
685,6929,6929
695,6929,6929
705,6929,6929
715,6929,6929
721,6929,6929
725,6929,6929
735,6929,6929
745,6929,6929
755,6929,6929
765,6929,6929
775,6929,6929
785,6929,6929
795,6929,6929
805,6929,6929
815,6929,6929
825,6929,6929
835,6929,6929
845,6929,6929
855,6929,6929
