# Command line arguments:  -XX:+UseParallelGC -Xmx7g  Program arguments:  --gc_once 

used memory, total memory, maximum memory
5,245,6372
82,309,6372
198,309,6372
322,437,6372
446,613,6372
601,947,6372
574,1177,6372
572,1731,6372
959,1731,6372
1331,1731,6372
1071,2073,6372
1483,2073,6372
1239,2749,6372
1712,2749,6372
2160,2749,6372
1465,3222,6372
1901,3222,6372
2172,3222,6372
2231,3222,6372
2348,3222,6372
2490,3222,6372
2525,3222,6372
2554,3222,6372
2584,3222,6372
2607,3222,6372
1834,3975,6372
1943,3975,6372
2105,3975,6372
2262,3975,6372
2494,3975,6372
2648,3975,6372
2648,3975,6372
2656,3975,6372
2688,3975,6372
2695,3975,6372
2727,3975,6372
2766,3975,6372
2844,3975,6372
3079,3975,6372
3119,3975,6372
3158,3975,6372
3275,3975,6372
2292,4797,6372
2528,4797,6372
2724,4797,6372
2724,4797,6372
2842,4797,6372
2999,4797,6372
3195,4797,6372
3235,4797,6372
3274,4797,6372
3549,4797,6372
3592,4797,6372
3745,4797,6372
3824,4797,6372
3826,4797,6372
3863,4797,6372
3863,4797,6372
3867,4797,6372
3904,4797,6372
2828,5627,6372
3135,5627,6372
3371,5627,6372
3683,5627,6372
3734,5627,6372
3775,5627,6372
3775,5627,6372
4049,5627,6372
4232,5627,6372
4555,5627,6372
3416,6342,6372
3768,6342,6372
4081,6342,6372
4316,6342,6372
4473,6342,6372
4551,6342,6372
4592,6342,6372
4592,6342,6372
4592,6342,6372
4592,6342,6372
4630,6342,6372
4630,6342,6372
4905,6342,6372
5219,6342,6372
5335,6342,6372
4004,7080,7080
0,7088,7088
365,7088,7088
365,7088,7088
365,7088,7088
365,7088,7088
373,7088,7088
381,7088,7088
391,7088,7088
401,7088,7088
411,7088,7088
421,7088,7088
431,7088,7088
441,7088,7088
451,7088,7088
461,7088,7088
471,7088,7088
481,7088,7088
491,7088,7088
501,7088,7088
511,7088,7088
521,7088,7088
531,7088,7088
541,7088,7088
547,7088,7088
551,7088,7088
561,7088,7088
571,7088,7088
581,7088,7088
591,7088,7088
601,7088,7088
611,7088,7088
621,7088,7088
631,7088,7088
641,7088,7088
651,7088,7088
661,7088,7088
671,7088,7088
681,7088,7088
691,7088,7088
701,7088,7088
711,7088,7088
721,7088,7088
731,7088,7088
741,7088,7088
751,7088,7088
761,7088,7088
771,7088,7088
781,7088,7088
791,7088,7088
801,7088,7088
811,7088,7088
821,7088,7088
831,7088,7088
841,7088,7088
851,7088,7088
861,7088,7088
871,7088,7088
881,7088,7088
891,7088,7088
901,7088,7088
911,7088,7088
921,7088,7088
931,7088,7088
941,7088,7088
951,7088,7088
961,7088,7088
971,7088,7088
981,7088,7088
991,7088,7088
1001,7088,7088
1011,7088,7088
1021,7088,7088
1031,7088,7088
1041,7088,7088
1051,7088,7088
1061,7088,7088
1071,7088,7088
1081,7088,7088
1091,7088,7088
1101,7088,7088
1111,7088,7088
1121,7088,7088
1131,7088,7088
1133,7088,7088
1141,7088,7088
1151,7088,7088
1161,7088,7088
1171,7088,7088
1181,7088,7088
1191,7088,7088
1201,7088,7088
1211,7088,7088
1221,7088,7088
1231,7088,7088
1241,7088,7088
1251,7088,7088
1261,7088,7088
1271,7088,7088
1281,7088,7088
1291,7088,7088
1301,7088,7088
1311,7088,7088
1321,7088,7088
1331,7088,7088
1341,7088,7088
1351,7088,7088
1361,7088,7088
1371,7088,7088
1381,7088,7088
1391,7088,7088
1401,7088,7088
1411,7088,7088
1421,7088,7088
1431,7088,7088
1441,7088,7088
1451,7088,7088
1461,7088,7088
1471,7088,7088
1481,7088,7088
1491,7088,7088
1523,7088,7088
1533,7088,7088
1543,7088,7088
1543,7088,7088
1553,7088,7088
1563,7088,7088
1573,7088,7088
1583,7088,7088
1593,7088,7088
1603,7088,7088
1613,7088,7088
1623,7088,7088
1633,7088,7088
1643,7088,7088
1653,7088,7088
1663,7088,7088
1673,7088,7088
1683,7088,7088
1693,7088,7088
1703,7088,7088
1713,7088,7088
1723,7088,7088
1733,7088,7088
1743,7088,7088
1753,7088,7088
1763,7088,7088
1773,7088,7088
1783,7088,7088
1793,7088,7088
1803,7088,7088
1813,7088,7088
1823,7088,7088
1833,7088,7088
1843,7088,7088
1853,7088,7088
1863,7088,7088
1873,7088,7088
1883,7088,7088
1893,7088,7088
1899,7088,7088
1903,7088,7088
1913,7088,7088
1923,7088,7088
1923,7088,7088
1933,7088,7088
1943,7088,7088
1953,7088,7088
1963,7088,7088
1973,7088,7088
1983,7088,7088
1993,7088,7088
2003,7088,7088
2013,7088,7088
2023,7088,7088
2033,7088,7088
2043,7088,7088
2053,7088,7088
2055,7088,7088
2063,7088,7088
2073,7088,7088
2083,7088,7088
2093,7088,7088
2103,7088,7088
2113,7088,7088
2123,7088,7088
2133,7088,7088
2143,7088,7088
2153,7088,7088
2163,7088,7088
2173,7088,7088
2183,7088,7088
2193,7088,7088
2203,7088,7088
2213,7088,7088
2223,7088,7088
108,7049,7049
151,7049,7049
151,7049,7049
151,7049,7049
151,7049,7049
159,7049,7049
169,7049,7049
179,7049,7049
189,7049,7049
199,7049,7049
209,7049,7049
219,7049,7049
229,7049,7049
239,7049,7049
249,7049,7049
259,7049,7049
269,7049,7049
279,7049,7049
289,7049,7049
299,7049,7049
309,7049,7049
319,7049,7049
329,7049,7049
339,7049,7049
349,7049,7049
359,7049,7049
369,7049,7049
379,7049,7049
389,7049,7049
399,7049,7049
409,7049,7049
419,7049,7049
429,7049,7049
439,7049,7049
449,7049,7049
459,7049,7049
469,7049,7049
479,7049,7049
489,7049,7049
499,7049,7049
509,7049,7049
519,7049,7049
521,7049,7049
529,7049,7049
539,7049,7049
549,7049,7049
559,7049,7049
569,7049,7049
579,7049,7049
589,7049,7049
599,7049,7049
609,7049,7049
619,7049,7049
629,7049,7049
639,7049,7049
649,7049,7049
659,7049,7049
669,7049,7049
679,7049,7049
689,7049,7049
699,7049,7049
709,7049,7049
719,7049,7049
729,7049,7049
739,7049,7049
749,7049,7049
759,7049,7049
769,7049,7049
779,7049,7049
789,7049,7049
799,7049,7049
809,7049,7049
819,7049,7049
829,7049,7049
839,7049,7049
849,7049,7049
859,7049,7049
869,7049,7049
879,7049,7049
889,7049,7049
899,7049,7049
909,7049,7049
919,7049,7049
929,7049,7049
939,7049,7049
949,7049,7049
959,7049,7049
969,7049,7049
979,7049,7049
989,7049,7049
999,7049,7049
1009,7049,7049
1019,7049,7049
1029,7049,7049
1039,7049,7049
1049,7049,7049
1059,7049,7049
1069,7049,7049
1079,7049,7049
1079,7049,7049
1089,7049,7049
1099,7049,7049
1109,7049,7049
1119,7049,7049
1129,7049,7049
1139,7049,7049
1149,7049,7049
1159,7049,7049
1169,7049,7049
1179,7049,7049
1189,7049,7049
1199,7049,7049
1209,7049,7049
1219,7049,7049
1229,7049,7049
1239,7049,7049
1249,7049,7049
1259,7049,7049
1269,7049,7049
1279,7049,7049
1289,7049,7049
1299,7049,7049
1309,7049,7049
1319,7049,7049
1329,7049,7049
1339,7049,7049
1349,7049,7049
1359,7049,7049
1369,7049,7049
1379,7049,7049
1389,7049,7049
1399,7049,7049
1409,7049,7049
1419,7049,7049
1429,7049,7049
1439,7049,7049
1449,7049,7049
1459,7049,7049
1469,7049,7049
1479,7049,7049
1489,7049,7049
1499,7049,7049
1509,7049,7049
1519,7049,7049
1529,7049,7049
1539,7049,7049
1549,7049,7049
1559,7049,7049
1569,7049,7049
1579,7049,7049
1589,7049,7049
1599,7049,7049
1609,7049,7049
1619,7049,7049
1629,7049,7049
1639,7049,7049
1639,7049,7049
1649,7049,7049
1659,7049,7049
1669,7049,7049
1679,7049,7049
1689,7049,7049
1699,7049,7049
1709,7049,7049
1719,7049,7049
1729,7049,7049
1739,7049,7049
1749,7049,7049
1759,7049,7049
1769,7049,7049
1779,7049,7049
1789,7049,7049
1799,7049,7049
1809,7049,7049
1819,7049,7049
1829,7049,7049
1839,7049,7049
1849,7049,7049
1859,7049,7049
1869,7049,7049
1879,7049,7049
1889,7049,7049
1899,7049,7049
1909,7049,7049
1919,7049,7049
1929,7049,7049
1939,7049,7049
1949,7049,7049
1959,7049,7049
1969,7049,7049
1979,7049,7049
1989,7049,7049
1999,7049,7049
2009,7049,7049
2019,7049,7049
2029,7049,7049
2039,7049,7049
2049,7049,7049
2059,7049,7049
2069,7049,7049
2079,7049,7049
2089,7049,7049
2099,7049,7049
2109,7049,7049
2119,7049,7049
2129,7049,7049
2139,7049,7049
2149,7049,7049
2159,7049,7049
2169,7049,7049
2175,7049,7049
2179,7049,7049
2189,7049,7049
2199,7049,7049
2209,7049,7049
2219,7049,7049
2229,7049,7049
2239,7049,7049
2249,7049,7049
2259,7049,7049
2269,7049,7049
2279,7049,7049
2289,7049,7049
108,7048,7048
108,7048,7048
151,7048,7048
151,7048,7048
151,7048,7048
151,7048,7048
159,7048,7048
169,7048,7048
179,7048,7048
189,7048,7048
199,7048,7048
209,7048,7048
219,7048,7048
229,7048,7048
239,7048,7048
249,7048,7048
259,7048,7048
269,7048,7048
279,7048,7048
289,7048,7048
299,7048,7048
309,7048,7048
319,7048,7048
329,7048,7048
339,7048,7048
349,7048,7048
359,7048,7048
369,7048,7048
379,7048,7048
389,7048,7048
399,7048,7048
409,7048,7048
419,7048,7048
429,7048,7048
439,7048,7048
449,7048,7048
459,7048,7048
469,7048,7048
479,7048,7048
489,7048,7048
499,7048,7048
509,7048,7048
519,7048,7048
529,7048,7048
539,7048,7048
549,7048,7048
559,7048,7048
569,7048,7048
579,7048,7048
589,7048,7048
599,7048,7048
609,7048,7048
619,7048,7048
629,7048,7048
639,7048,7048
639,7048,7048
649,7048,7048
659,7048,7048
669,7048,7048
679,7048,7048
689,7048,7048
699,7048,7048
709,7048,7048
719,7048,7048
729,7048,7048
739,7048,7048
749,7048,7048
759,7048,7048
769,7048,7048
779,7048,7048
789,7048,7048
799,7048,7048
809,7048,7048
819,7048,7048
829,7048,7048
839,7048,7048
849,7048,7048
859,7048,7048
869,7048,7048
879,7048,7048
889,7048,7048
899,7048,7048
909,7048,7048
919,7048,7048
929,7048,7048
939,7048,7048
949,7048,7048
959,7048,7048
969,7048,7048
979,7048,7048
989,7048,7048
999,7048,7048
1009,7048,7048
1019,7048,7048
1029,7048,7048
1039,7048,7048
1049,7048,7048
1059,7048,7048
1069,7048,7048
1079,7048,7048
1089,7048,7048
1099,7048,7048
1105,7048,7048
1109,7048,7048
1119,7048,7048
1129,7048,7048
1139,7048,7048
1149,7048,7048
1159,7048,7048
1169,7048,7048
1179,7048,7048
1189,7048,7048
1199,7048,7048
1209,7048,7048
1219,7048,7048
1229,7048,7048
1239,7048,7048
1249,7048,7048
1259,7048,7048
1269,7048,7048
1279,7048,7048
1289,7048,7048
1299,7048,7048
1309,7048,7048
1319,7048,7048
1329,7048,7048
1339,7048,7048
1349,7048,7048
1359,7048,7048
1369,7048,7048
1379,7048,7048
1389,7048,7048
1399,7048,7048
1409,7048,7048
1419,7048,7048
1429,7048,7048
1439,7048,7048
1449,7048,7048
1459,7048,7048
1469,7048,7048
1479,7048,7048
1489,7048,7048
1499,7048,7048
1509,7048,7048
1519,7048,7048
1529,7048,7048
1539,7048,7048
1549,7048,7048
1559,7048,7048
1569,7048,7048
1579,7048,7048
1589,7048,7048
1599,7048,7048
1609,7048,7048
1619,7048,7048
1629,7048,7048
1639,7048,7048
1641,7048,7048
1649,7048,7048
1659,7048,7048
1669,7048,7048
1679,7048,7048
1689,7048,7048
1699,7048,7048
1709,7048,7048
1719,7048,7048
1729,7048,7048
1739,7048,7048
1749,7048,7048
1759,7048,7048
1769,7048,7048
1779,7048,7048
1789,7048,7048
1799,7048,7048
1809,7048,7048
1819,7048,7048
1829,7048,7048
1839,7048,7048
1849,7048,7048
1859,7048,7048
1869,7048,7048
1879,7048,7048
1889,7048,7048
1899,7048,7048
1909,7048,7048
1919,7048,7048
1929,7048,7048
1939,7048,7048
1949,7048,7048
1959,7048,7048
1969,7048,7048
1979,7048,7048
1989,7048,7048
1999,7048,7048
2009,7048,7048
2019,7048,7048
2029,7048,7048
2039,7048,7048
2049,7048,7048
2059,7048,7048
2069,7048,7048
2079,7048,7048
2089,7048,7048
2099,7048,7048
2109,7048,7048
2119,7048,7048
2129,7048,7048
2139,7048,7048
2149,7048,7048
2159,7048,7048
2169,7048,7048
2179,7048,7048
2189,7048,7048
2195,7048,7048
2199,7048,7048
2209,7048,7048
2219,7048,7048
2229,7048,7048
2239,7048,7048
2249,7048,7048
2259,7048,7048
2269,7048,7048
2279,7048,7048
2289,7048,7048
149,7051,7051
149,7051,7051
149,7051,7051
149,7051,7051
153,7051,7051
161,7051,7051
171,7051,7051
181,7051,7051
191,7051,7051
201,7051,7051
211,7051,7051
221,7051,7051
231,7051,7051
241,7051,7051
251,7051,7051
261,7051,7051
271,7051,7051
281,7051,7051
291,7051,7051
301,7051,7051
311,7051,7051
321,7051,7051
331,7051,7051
341,7051,7051
351,7051,7051
361,7051,7051
371,7051,7051
381,7051,7051
391,7051,7051
401,7051,7051
411,7051,7051
421,7051,7051
431,7051,7051
441,7051,7051
451,7051,7051
453,7051,7051
461,7051,7051
471,7051,7051
481,7051,7051
491,7051,7051
501,7051,7051
511,7051,7051
521,7051,7051
531,7051,7051
541,7051,7051
551,7051,7051
561,7051,7051
571,7051,7051
581,7051,7051
591,7051,7051
601,7051,7051
611,7051,7051
621,7051,7051
631,7051,7051
641,7051,7051
651,7051,7051
661,7051,7051
671,7051,7051
681,7051,7051
691,7051,7051
701,7051,7051
711,7051,7051
721,7051,7051
731,7051,7051
741,7051,7051
751,7051,7051
761,7051,7051
771,7051,7051
781,7051,7051
791,7051,7051
801,7051,7051
811,7051,7051
821,7051,7051
831,7051,7051
841,7051,7051
851,7051,7051
861,7051,7051
871,7051,7051
881,7051,7051
891,7051,7051
901,7051,7051
911,7051,7051
921,7051,7051
931,7051,7051
941,7051,7051
951,7051,7051
961,7051,7051
971,7051,7051
981,7051,7051
987,7051,7051
991,7051,7051
1001,7051,7051
1011,7051,7051
1021,7051,7051
1031,7051,7051
1041,7051,7051
1051,7051,7051
1061,7051,7051
1071,7051,7051
1081,7051,7051
1091,7051,7051
1101,7051,7051
1111,7051,7051
1121,7051,7051
1131,7051,7051
1141,7051,7051
1151,7051,7051
1161,7051,7051
1171,7051,7051
1181,7051,7051
1191,7051,7051
1201,7051,7051
1211,7051,7051
1221,7051,7051
1231,7051,7051
1241,7051,7051
1251,7051,7051
1261,7051,7051
1271,7051,7051
1281,7051,7051
1287,7051,7051
1291,7051,7051
1291,7051,7051
1301,7051,7051
1311,7051,7051
1321,7051,7051
1331,7051,7051
1341,7051,7051
1351,7051,7051
1361,7051,7051
1371,7051,7051
1381,7051,7051
1391,7051,7051
1401,7051,7051
1411,7051,7051
1421,7051,7051
1431,7051,7051
1441,7051,7051
1451,7051,7051
1461,7051,7051
1471,7051,7051
1481,7051,7051
1491,7051,7051
1501,7051,7051
1511,7051,7051
1521,7051,7051
1531,7051,7051
1541,7051,7051
1551,7051,7051
1561,7051,7051
1571,7051,7051
1581,7051,7051
1591,7051,7051
1601,7051,7051
1611,7051,7051
1621,7051,7051
1631,7051,7051
1641,7051,7051
1651,7051,7051
1661,7051,7051
1671,7051,7051
1681,7051,7051
1691,7051,7051
1701,7051,7051
1711,7051,7051
1721,7051,7051
1731,7051,7051
1741,7051,7051
1751,7051,7051
1761,7051,7051
1771,7051,7051
1781,7051,7051
1791,7051,7051
1801,7051,7051
1811,7051,7051
1821,7051,7051
1831,7051,7051
1841,7051,7051
1851,7051,7051
1851,7051,7051
1861,7051,7051
1871,7051,7051
1881,7051,7051
1891,7051,7051
1901,7051,7051
1911,7051,7051
1921,7051,7051
1931,7051,7051
1941,7051,7051
1951,7051,7051
1961,7051,7051
1971,7051,7051
1981,7051,7051
1991,7051,7051
2001,7051,7051
2011,7051,7051
2021,7051,7051
2031,7051,7051
2041,7051,7051
2051,7051,7051
2061,7051,7051
2071,7051,7051
2081,7051,7051
2091,7051,7051
2101,7051,7051
2111,7051,7051
2121,7051,7051
2131,7051,7051
2141,7051,7051
2151,7051,7051
2161,7051,7051
2171,7051,7051
2181,7051,7051
2191,7051,7051
2201,7051,7051
2211,7051,7051
2221,7051,7051
2231,7051,7051
2241,7051,7051
2251,7051,7051
2261,7051,7051
108,7022,7022
151,7022,7022
151,7022,7022
151,7022,7022
151,7022,7022
151,7022,7022
159,7022,7022
169,7022,7022
179,7022,7022
189,7022,7022
199,7022,7022
209,7022,7022
219,7022,7022
229,7022,7022
239,7022,7022
249,7022,7022
259,7022,7022
269,7022,7022
279,7022,7022
289,7022,7022
299,7022,7022
309,7022,7022
319,7022,7022
329,7022,7022
339,7022,7022
349,7022,7022
359,7022,7022
369,7022,7022
379,7022,7022
389,7022,7022
399,7022,7022
409,7022,7022
419,7022,7022
429,7022,7022
439,7022,7022
449,7022,7022
459,7022,7022
469,7022,7022
479,7022,7022
489,7022,7022
499,7022,7022
509,7022,7022
519,7022,7022
529,7022,7022
539,7022,7022
549,7022,7022
559,7022,7022
569,7022,7022
579,7022,7022
589,7022,7022
599,7022,7022
609,7022,7022
619,7022,7022
629,7022,7022
639,7022,7022
649,7022,7022
659,7022,7022
669,7022,7022
679,7022,7022
689,7022,7022
695,7022,7022
699,7022,7022
709,7022,7022
719,7022,7022
729,7022,7022
739,7022,7022
749,7022,7022
759,7022,7022
769,7022,7022
779,7022,7022
789,7022,7022
799,7022,7022
809,7022,7022
819,7022,7022
829,7022,7022
839,7022,7022
849,7022,7022
859,7022,7022
869,7022,7022
879,7022,7022
889,7022,7022
899,7022,7022
909,7022,7022
919,7022,7022
929,7022,7022
939,7022,7022
949,7022,7022
959,7022,7022
969,7022,7022
979,7022,7022
989,7022,7022
999,7022,7022
1009,7022,7022
1019,7022,7022
1029,7022,7022
1039,7022,7022
1049,7022,7022
1059,7022,7022
1069,7022,7022
1079,7022,7022
1089,7022,7022
1099,7022,7022
1109,7022,7022
1119,7022,7022
1129,7022,7022
1139,7022,7022
1149,7022,7022
1159,7022,7022
1169,7022,7022
1179,7022,7022
1189,7022,7022
1199,7022,7022
1209,7022,7022
1219,7022,7022
1229,7022,7022
1239,7022,7022
1249,7022,7022
1259,7022,7022
1269,7022,7022
1279,7022,7022
1289,7022,7022
1299,7022,7022
1309,7022,7022
1319,7022,7022
1329,7022,7022
1339,7022,7022
1349,7022,7022
1359,7022,7022
1369,7022,7022
1379,7022,7022
1389,7022,7022
1399,7022,7022
1405,7022,7022
1409,7022,7022
1419,7022,7022
1429,7022,7022
1439,7022,7022
1449,7022,7022
1459,7022,7022
1469,7022,7022
1479,7022,7022
1489,7022,7022
1499,7022,7022
1509,7022,7022
1519,7022,7022
1529,7022,7022
1539,7022,7022
1549,7022,7022
1559,7022,7022
1569,7022,7022
1579,7022,7022
1589,7022,7022
1599,7022,7022
1609,7022,7022
1619,7022,7022
1629,7022,7022
1639,7022,7022
1649,7022,7022
1659,7022,7022
1669,7022,7022
1679,7022,7022
1689,7022,7022
1699,7022,7022
1709,7022,7022
1719,7022,7022
1729,7022,7022
1739,7022,7022
1749,7022,7022
1759,7022,7022
1769,7022,7022
1779,7022,7022
1789,7022,7022
1799,7022,7022
1809,7022,7022
