# Command line arguments:  -XX:+UseConcMarkSweepGC -Xmx7g  Program arguments:  --gc_once 

used memory, total memory, maximum memory
5,247,7101
77,247,7101
139,247,7101
210,340,7101
302,444,7101
400,614,7101
481,614,7101
624,891,7101
683,891,7101
811,1374,7101
938,1374,7101
1043,1374,7101
1169,1374,7101
1325,2097,7101
1444,2097,7101
1489,2097,7101
1510,2097,7101
1551,2097,7101
1631,2097,7101
1663,2097,7101
1737,2097,7101
1832,2097,7101
1840,2097,7101
1902,2097,7101
1964,3234,7101
2043,3234,7101
2088,3234,7101
2204,3234,7101
2265,3234,7101
2397,3234,7101
2488,3234,7101
2610,3234,7101
2726,3234,7101
2849,3234,7101
2894,3234,7101
2956,3234,7101
3032,4991,7101
3039,4991,7101
3177,4991,7101
3225,4991,7101
3310,4991,7101
3451,4991,7101
3505,4991,7101
3549,4991,7101
3632,4991,7101
3713,4991,7101
3820,4991,7101
3891,4991,7101
4005,4991,7101
4085,4991,7101
128,5513,7101
326,5513,7101
336,5513,7101
346,5513,7101
356,5513,7101
366,5513,7101
376,5513,7101
386,5513,7101
396,5513,7101
402,5513,7101
406,5513,7101
416,5513,7101
426,5513,7101
436,5513,7101
446,5513,7101
456,5513,7101
466,5513,7101
476,5513,7101
486,5513,7101
496,5513,7101
506,5513,7101
516,5513,7101
526,5513,7101
108,5513,7101
119,5513,7101
129,5513,7101
139,5513,7101
149,5513,7101
159,5513,7101
159,5513,7101
169,5513,7101
179,5513,7101
189,5513,7101
199,5513,7101
209,5513,7101
219,5513,7101
229,5513,7101
235,5513,7101
239,5513,7101
249,5513,7101
259,5513,7101
269,5513,7101
279,5513,7101
289,5513,7101
299,5513,7101
309,5513,7101
319,5513,7101
329,5513,7101
331,5513,7101
339,5513,7101
349,5513,7101
359,5513,7101
369,5513,7101
379,5513,7101
389,5513,7101
399,5513,7101
409,5513,7101
419,5513,7101
429,5513,7101
439,5513,7101
449,5513,7101
459,5513,7101
461,5513,7101
469,5513,7101
479,5513,7101
489,5513,7101
499,5513,7101
509,5513,7101
519,5513,7101
529,5513,7101
539,5513,7101
549,5513,7101
559,5513,7101
569,5513,7101
579,5513,7101
589,5513,7101
599,5513,7101
609,5513,7101
619,5513,7101
629,5513,7101
631,5513,7101
108,5513,7101
119,5513,7101
129,5513,7101
139,5513,7101
149,5513,7101
159,5513,7101
169,5513,7101
179,5513,7101
189,5513,7101
199,5513,7101
209,5513,7101
219,5513,7101
229,5513,7101
239,5513,7101
249,5513,7101
259,5513,7101
269,5513,7101
279,5513,7101
289,5513,7101
299,5513,7101
309,5513,7101
319,5513,7101
329,5513,7101
339,5513,7101
349,5513,7101
359,5513,7101
369,5513,7101
379,5513,7101
389,5513,7101
399,5513,7101
409,5513,7101
419,5513,7101
429,5513,7101
439,5513,7101
449,5513,7101
459,5513,7101
469,5513,7101
479,5513,7101
489,5513,7101
499,5513,7101
509,5513,7101
519,5513,7101
529,5513,7101
544,5513,7101
554,5513,7101
564,5513,7101
574,5513,7101
584,5513,7101
594,5513,7101
604,5513,7101
614,5513,7101
624,5513,7101
634,5513,7101
117,5513,7101
121,5513,7101
131,5513,7101
141,5513,7101
151,5513,7101
161,5513,7101
171,5513,7101
181,5513,7101
191,5513,7101
201,5513,7101
211,5513,7101
221,5513,7101
231,5513,7101
241,5513,7101
251,5513,7101
261,5513,7101
271,5513,7101
281,5513,7101
291,5513,7101
301,5513,7101
311,5513,7101
321,5513,7101
331,5513,7101
341,5513,7101
351,5513,7101
361,5513,7101
371,5513,7101
381,5513,7101
391,5513,7101
401,5513,7101
411,5513,7101
421,5513,7101
431,5513,7101
441,5513,7101
451,5513,7101
461,5513,7101
461,5513,7101
471,5513,7101
481,5513,7101
491,5513,7101
501,5513,7101
511,5513,7101
521,5513,7101
531,5513,7101
541,5513,7101
551,5513,7101
561,5513,7101
574,5513,7101
584,5513,7101
594,5513,7101
604,5513,7101
614,5513,7101
624,5513,7101
634,5513,7101
113,5513,7101
121,5513,7101
131,5513,7101
141,5513,7101
151,5513,7101
161,5513,7101
171,5513,7101
181,5513,7101
191,5513,7101
201,5513,7101
211,5513,7101
221,5513,7101
231,5513,7101
241,5513,7101
251,5513,7101
261,5513,7101
271,5513,7101
281,5513,7101
291,5513,7101
301,5513,7101
311,5513,7101
321,5513,7101
331,5513,7101
341,5513,7101
351,5513,7101
361,5513,7101
371,5513,7101
381,5513,7101
391,5513,7101
401,5513,7101
411,5513,7101
421,5513,7101
431,5513,7101
441,5513,7101
451,5513,7101
461,5513,7101
471,5513,7101
481,5513,7101
491,5513,7101
501,5513,7101
511,5513,7101
521,5513,7101
531,5513,7101
541,5513,7101
551,5513,7101
561,5513,7101
571,5513,7101
581,5513,7101
591,5513,7101
601,5513,7101
611,5513,7101
621,5513,7101
631,5513,7101
113,5513,7101
121,5513,7101
131,5513,7101
141,5513,7101
151,5513,7101
161,5513,7101
171,5513,7101
181,5513,7101
191,5513,7101
201,5513,7101
211,5513,7101
221,5513,7101
231,5513,7101
241,5513,7101
241,5513,7101
251,5513,7101
261,5513,7101
271,5513,7101
281,5513,7101
291,5513,7101
301,5513,7101
311,5513,7101
321,5513,7101
331,5513,7101
341,5513,7101
351,5513,7101
361,5513,7101
371,5513,7101
381,5513,7101
391,5513,7101
401,5513,7101
411,5513,7101
421,5513,7101
431,5513,7101
441,5513,7101
451,5513,7101
461,5513,7101
471,5513,7101
481,5513,7101
491,5513,7101
501,5513,7101
511,5513,7101
521,5513,7101
531,5513,7101
541,5513,7101
551,5513,7101
561,5513,7101
571,5513,7101
581,5513,7101
591,5513,7101
601,5513,7101
611,5513,7101
621,5513,7101
631,5513,7101
113,5513,7101
121,5513,7101
131,5513,7101
141,5513,7101
151,5513,7101
161,5513,7101
171,5513,7101
181,5513,7101
191,5513,7101
201,5513,7101
211,5513,7101
221,5513,7101
231,5513,7101
241,5513,7101
251,5513,7101
261,5513,7101
271,5513,7101
281,5513,7101
291,5513,7101
301,5513,7101
311,5513,7101
321,5513,7101
331,5513,7101
341,5513,7101
351,5513,7101
361,5513,7101
371,5513,7101
381,5513,7101
391,5513,7101
401,5513,7101
411,5513,7101
421,5513,7101
431,5513,7101
441,5513,7101
451,5513,7101
461,5513,7101
471,5513,7101
481,5513,7101
491,5513,7101
501,5513,7101
511,5513,7101
521,5513,7101
531,5513,7101
541,5513,7101
551,5513,7101
561,5513,7101
571,5513,7101
581,5513,7101
591,5513,7101
601,5513,7101
611,5513,7101
621,5513,7101
631,5513,7101
113,5513,7101
121,5513,7101
131,5513,7101
141,5513,7101
151,5513,7101
161,5513,7101
171,5513,7101
181,5513,7101
191,5513,7101
201,5513,7101
211,5513,7101
221,5513,7101
231,5513,7101
241,5513,7101
251,5513,7101
261,5513,7101
271,5513,7101
281,5513,7101
291,5513,7101
301,5513,7101
311,5513,7101
321,5513,7101
331,5513,7101
341,5513,7101
351,5513,7101
361,5513,7101
371,5513,7101
381,5513,7101
391,5513,7101
401,5513,7101
411,5513,7101
421,5513,7101
431,5513,7101
441,5513,7101
451,5513,7101
461,5513,7101
471,5513,7101
481,5513,7101
491,5513,7101
501,5513,7101
511,5513,7101
521,5513,7101
531,5513,7101
541,5513,7101
551,5513,7101
561,5513,7101
571,5513,7101
581,5513,7101
591,5513,7101
601,5513,7101
611,5513,7101
621,5513,7101
631,5513,7101
113,5513,7101
121,5513,7101
131,5513,7101
141,5513,7101
151,5513,7101
161,5513,7101
171,5513,7101
181,5513,7101
191,5513,7101
201,5513,7101
211,5513,7101
221,5513,7101
231,5513,7101
241,5513,7101
251,5513,7101
261,5513,7101
271,5513,7101
281,5513,7101
291,5513,7101
301,5513,7101
311,5513,7101
321,5513,7101
331,5513,7101
341,5513,7101
351,5513,7101
361,5513,7101
371,5513,7101
381,5513,7101
391,5513,7101
401,5513,7101
411,5513,7101
421,5513,7101
431,5513,7101
441,5513,7101
451,5513,7101
461,5513,7101
471,5513,7101
481,5513,7101
491,5513,7101
501,5513,7101
511,5513,7101
521,5513,7101
531,5513,7101
541,5513,7101
551,5513,7101
561,5513,7101
571,5513,7101
581,5513,7101
591,5513,7101
601,5513,7101
611,5513,7101
621,5513,7101
631,5513,7101
113,5513,7101
121,5513,7101
131,5513,7101
141,5513,7101
151,5513,7101
161,5513,7101
171,5513,7101
181,5513,7101
191,5513,7101
201,5513,7101
211,5513,7101
221,5513,7101
231,5513,7101
241,5513,7101
251,5513,7101
261,5513,7101
271,5513,7101
281,5513,7101
291,5513,7101
301,5513,7101
311,5513,7101
321,5513,7101
331,5513,7101
341,5513,7101
351,5513,7101
361,5513,7101
371,5513,7101
373,5513,7101
381,5513,7101
391,5513,7101
401,5513,7101
411,5513,7101
421,5513,7101
431,5513,7101
441,5513,7101
451,5513,7101
461,5513,7101
471,5513,7101
481,5513,7101
491,5513,7101
501,5513,7101
511,5513,7101
521,5513,7101
531,5513,7101
541,5513,7101
551,5513,7101
561,5513,7101
571,5513,7101
581,5513,7101
591,5513,7101
601,5513,7101
611,5513,7101
621,5513,7101
631,5513,7101
113,5513,7101
121,5513,7101
131,5513,7101
141,5513,7101
151,5513,7101
161,5513,7101
171,5513,7101
181,5513,7101
191,5513,7101
201,5513,7101
211,5513,7101
221,5513,7101
231,5513,7101
241,5513,7101
251,5513,7101
261,5513,7101
271,5513,7101
281,5513,7101
291,5513,7101
301,5513,7101
311,5513,7101
321,5513,7101
331,5513,7101
341,5513,7101
351,5513,7101
361,5513,7101
371,5513,7101
381,5513,7101
391,5513,7101
401,5513,7101
411,5513,7101
421,5513,7101
431,5513,7101
441,5513,7101
451,5513,7101
461,5513,7101
471,5513,7101
481,5513,7101
491,5513,7101
501,5513,7101
511,5513,7101
521,5513,7101
531,5513,7101
541,5513,7101
551,5513,7101
561,5513,7101
571,5513,7101
581,5513,7101
591,5513,7101
601,5513,7101
611,5513,7101
621,5513,7101
631,5513,7101
113,5513,7101
121,5513,7101
131,5513,7101
141,5513,7101
151,5513,7101
161,5513,7101
171,5513,7101
181,5513,7101
191,5513,7101
201,5513,7101
211,5513,7101
221,5513,7101
231,5513,7101
241,5513,7101
251,5513,7101
261,5513,7101
271,5513,7101
281,5513,7101
291,5513,7101
301,5513,7101
311,5513,7101
321,5513,7101
331,5513,7101
341,5513,7101
351,5513,7101
361,5513,7101
371,5513,7101
381,5513,7101
391,5513,7101
401,5513,7101
411,5513,7101
421,5513,7101
431,5513,7101
441,5513,7101
451,5513,7101
461,5513,7101
471,5513,7101
481,5513,7101
491,5513,7101
501,5513,7101
511,5513,7101
521,5513,7101
531,5513,7101
541,5513,7101
551,5513,7101
561,5513,7101
571,5513,7101
571,5513,7101
581,5513,7101
591,5513,7101
601,5513,7101
611,5513,7101
621,5513,7101
631,5513,7101
113,5513,7101
121,5513,7101
131,5513,7101
141,5513,7101
151,5513,7101
161,5513,7101
171,5513,7101
181,5513,7101
191,5513,7101
201,5513,7101
211,5513,7101
221,5513,7101
231,5513,7101
241,5513,7101
251,5513,7101
261,5513,7101
271,5513,7101
281,5513,7101
291,5513,7101
301,5513,7101
311,5513,7101
321,5513,7101
331,5513,7101
341,5513,7101
351,5513,7101
361,5513,7101
371,5513,7101
381,5513,7101
391,5513,7101
401,5513,7101
411,5513,7101
421,5513,7101
431,5513,7101
441,5513,7101
451,5513,7101
461,5513,7101
471,5513,7101
481,5513,7101
491,5513,7101
501,5513,7101
511,5513,7101
521,5513,7101
531,5513,7101
541,5513,7101
551,5513,7101
561,5513,7101
571,5513,7101
581,5513,7101
591,5513,7101
601,5513,7101
611,5513,7101
621,5513,7101
631,5513,7101
113,5513,7101
121,5513,7101
131,5513,7101
141,5513,7101
151,5513,7101
161,5513,7101
171,5513,7101
181,5513,7101
191,5513,7101
201,5513,7101
211,5513,7101
221,5513,7101
231,5513,7101
241,5513,7101
251,5513,7101
261,5513,7101
271,5513,7101
281,5513,7101
291,5513,7101
301,5513,7101
311,5513,7101
321,5513,7101
331,5513,7101
341,5513,7101
351,5513,7101
361,5513,7101
371,5513,7101
381,5513,7101
391,5513,7101
401,5513,7101
411,5513,7101
421,5513,7101
431,5513,7101
441,5513,7101
451,5513,7101
461,5513,7101
471,5513,7101
481,5513,7101
491,5513,7101
501,5513,7101
511,5513,7101
521,5513,7101
531,5513,7101
541,5513,7101
551,5513,7101
561,5513,7101
571,5513,7101
581,5513,7101
591,5513,7101
601,5513,7101
611,5513,7101
621,5513,7101
631,5513,7101
113,5513,7101
121,5513,7101
131,5513,7101
141,5513,7101
151,5513,7101
161,5513,7101
171,5513,7101
181,5513,7101
191,5513,7101
201,5513,7101
211,5513,7101
221,5513,7101
231,5513,7101
241,5513,7101
251,5513,7101
261,5513,7101
271,5513,7101
281,5513,7101
291,5513,7101
301,5513,7101
311,5513,7101
321,5513,7101
331,5513,7101
341,5513,7101
351,5513,7101
361,5513,7101
371,5513,7101
381,5513,7101
391,5513,7101
401,5513,7101
411,5513,7101
421,5513,7101
431,5513,7101
441,5513,7101
451,5513,7101
461,5513,7101
471,5513,7101
481,5513,7101
491,5513,7101
501,5513,7101
511,5513,7101
521,5513,7101
531,5513,7101
541,5513,7101
551,5513,7101
561,5513,7101
571,5513,7101
581,5513,7101
591,5513,7101
601,5513,7101
611,5513,7101
621,5513,7101
631,5513,7101
113,5513,7101
121,5513,7101
131,5513,7101
141,5513,7101
151,5513,7101
161,5513,7101
171,5513,7101
181,5513,7101
191,5513,7101
201,5513,7101
211,5513,7101
221,5513,7101
231,5513,7101
241,5513,7101
251,5513,7101
261,5513,7101
271,5513,7101
281,5513,7101
291,5513,7101
301,5513,7101
311,5513,7101
321,5513,7101
331,5513,7101
341,5513,7101
351,5513,7101
361,5513,7101
371,5513,7101
381,5513,7101
391,5513,7101
401,5513,7101
411,5513,7101
421,5513,7101
431,5513,7101
441,5513,7101
451,5513,7101
461,5513,7101
471,5513,7101
481,5513,7101
491,5513,7101
501,5513,7101
511,5513,7101
517,5513,7101
521,5513,7101
531,5513,7101
541,5513,7101
551,5513,7101
561,5513,7101
571,5513,7101
581,5513,7101
591,5513,7101
601,5513,7101
611,5513,7101
621,5513,7101
631,5513,7101
113,5513,7101
121,5513,7101
131,5513,7101
141,5513,7101
151,5513,7101
161,5513,7101
171,5513,7101
181,5513,7101
191,5513,7101
201,5513,7101
211,5513,7101
221,5513,7101
231,5513,7101
241,5513,7101
251,5513,7101
261,5513,7101
271,5513,7101
281,5513,7101
291,5513,7101
301,5513,7101
311,5513,7101
321,5513,7101
331,5513,7101
341,5513,7101
351,5513,7101
361,5513,7101
371,5513,7101
381,5513,7101
391,5513,7101
401,5513,7101
411,5513,7101
421,5513,7101
431,5513,7101
441,5513,7101
451,5513,7101
461,5513,7101
471,5513,7101
481,5513,7101
491,5513,7101
501,5513,7101
511,5513,7101
521,5513,7101
531,5513,7101
541,5513,7101
551,5513,7101
561,5513,7101
571,5513,7101
581,5513,7101
591,5513,7101
601,5513,7101
611,5513,7101
621,5513,7101
631,5513,7101
113,5513,7101
121,5513,7101
131,5513,7101
141,5513,7101
151,5513,7101
161,5513,7101
171,5513,7101
181,5513,7101
191,5513,7101
201,5513,7101
211,5513,7101
221,5513,7101
231,5513,7101
241,5513,7101
251,5513,7101
261,5513,7101
271,5513,7101
281,5513,7101
291,5513,7101
301,5513,7101
311,5513,7101
321,5513,7101
331,5513,7101
341,5513,7101
351,5513,7101
361,5513,7101
371,5513,7101
381,5513,7101
391,5513,7101
401,5513,7101
411,5513,7101
421,5513,7101
431,5513,7101
441,5513,7101
451,5513,7101
461,5513,7101
471,5513,7101
481,5513,7101
491,5513,7101
501,5513,7101
511,5513,7101
521,5513,7101
531,5513,7101
541,5513,7101
551,5513,7101
561,5513,7101
571,5513,7101
581,5513,7101
591,5513,7101
601,5513,7101
611,5513,7101
621,5513,7101
631,5513,7101
113,5513,7101
121,5513,7101
131,5513,7101
141,5513,7101
151,5513,7101
161,5513,7101
171,5513,7101
181,5513,7101
191,5513,7101
201,5513,7101
211,5513,7101
221,5513,7101
231,5513,7101
241,5513,7101
251,5513,7101
261,5513,7101
271,5513,7101
281,5513,7101
291,5513,7101
301,5513,7101
311,5513,7101
321,5513,7101
331,5513,7101
341,5513,7101
351,5513,7101
361,5513,7101
371,5513,7101
381,5513,7101
391,5513,7101
401,5513,7101
411,5513,7101
421,5513,7101
431,5513,7101
441,5513,7101
451,5513,7101
461,5513,7101
471,5513,7101
481,5513,7101
491,5513,7101
501,5513,7101
511,5513,7101
521,5513,7101
531,5513,7101
541,5513,7101
551,5513,7101
561,5513,7101
571,5513,7101
