# Command line arguments:  -XX:+UseG1GC -Xmx7g  Program arguments:  --gc_once 

used memory, total memory, maximum memory
2,256,7168
111,256,7168
178,275,7168
170,317,7168
337,766,7168
422,1586,7168
587,1586,7168
900,1586,7168
731,1588,7168
767,1613,7168
844,1631,7168
1075,1643,7168
1092,1731,7168
1232,1908,7168
1360,2123,7168
1456,2210,7168
1474,2225,7168
1489,2240,7168
1498,2246,7168
1507,2257,7168
1511,2288,7168
1551,2447,7168
1615,2459,7168
1679,2518,7168
1639,2538,7168
1711,2586,7168
1650,2641,7168
1731,2750,7168
1759,2866,7168
1983,2968,7168
1900,3082,7168
2116,3219,7168
2197,3345,7168
2215,3360,7168
2148,3448,7168
2299,3487,7168
2267,3565,7168
2319,3565,7168
2389,3619,7168
2285,3702,7168
2501,3774,7168
2454,3834,7168
2461,3969,7168
2603,4099,7168
2699,4117,7168
2795,4204,7168
2693,4257,7168
2729,4257,7168
2909,4365,7168
2908,4425,7168
2871,4542,7168
3125,4680,7168
3008,4693,7168
3040,4693,7168
3067,4693,7168
3055,4856,7168
3184,4997,7168
3404,5111,7168
3383,5156,7168
3392,5162,7168
3367,5313,7168
3576,5466,7168
3587,5648,7168
3812,5744,7168
3834,5765,7168
3847,5777,7168
3861,5789,7168
3763,5820,7168
3876,6013,7168
3975,6197,7168
4100,6384,7168
4342,6522,7168
0,8,7168
224,388,7168
249,388,7168
259,388,7168
269,398,7168
275,403,7168
279,408,7168
289,421,7168
299,434,7168
309,447,7168
319,460,7168
329,473,7168
339,486,7168
349,499,7168
359,512,7168
365,520,7168
369,525,7168
379,538,7168
389,551,7168
399,564,7168
409,577,7168
419,590,7168
429,603,7168
439,616,7168
449,629,7168
459,642,7168
469,655,7168
479,668,7168
489,681,7168
499,694,7168
509,707,7168
519,720,7168
529,733,7168
539,746,7168
549,759,7168
559,772,7168
569,785,7168
579,798,7168
589,811,7168
599,824,7168
609,837,7168
619,850,7168
629,863,7168
639,876,7168
649,889,7168
659,902,7168
669,915,7168
679,928,7168
689,941,7168
699,954,7168
709,967,7168
715,975,7168
719,980,7168
729,993,7168
739,1006,7168
749,1019,7168
759,1032,7168
769,1045,7168
779,1058,7168
789,1071,7168
799,1084,7168
809,1097,7168
819,1110,7168
829,1123,7168
839,1136,7168
849,1149,7168
859,1162,7168
869,1175,7168
879,1188,7168
889,1201,7168
899,1214,7168
909,1227,7168
919,1240,7168
929,1253,7168
939,1266,7168
949,1279,7168
959,1292,7168
969,1305,7168
979,1318,7168
989,1331,7168
999,1344,7168
1009,1357,7168
1019,1370,7168
1029,1383,7168
1039,1396,7168
1049,1409,7168
1059,1422,7168
1069,1435,7168
1079,1448,7168
1089,1461,7168
1099,1474,7168
1109,1487,7168
1119,1500,7168
1129,1513,7168
1139,1526,7168
1149,1539,7168
1159,1552,7168
1169,1565,7168
1179,1578,7168
1189,1591,7168
1199,1604,7168
1209,1617,7168
1219,1630,7168
1229,1643,7168
1239,1656,7168
1249,1669,7168
1259,1682,7168
1269,1695,7168
1279,1708,7168
1289,1721,7168
1299,1734,7168
1309,1747,7168
1319,1760,7168
1329,1773,7168
1339,1786,7168
1349,1799,7168
1359,1812,7168
1369,1825,7168
1379,1838,7168
1389,1851,7168
1399,1864,7168
1409,1877,7168
1419,1890,7168
1419,1890,7168
1429,1903,7168
1439,1916,7168
1449,1929,7168
1459,1942,7168
1469,1955,7168
1479,1968,7168
1489,1981,7168
1499,1994,7168
1509,2007,7168
1519,2020,7168
1529,2033,7168
1539,2046,7168
1549,2059,7168
1559,2072,7168
1569,2085,7168
1579,2098,7168
1589,2111,7168
1599,2124,7168
1609,2137,7168
1619,2150,7168
1629,2163,7168
1639,2176,7168
1649,2189,7168
1659,2202,7168
1669,2215,7168
1679,2228,7168
1689,2241,7168
1699,2254,7168
1709,2267,7168
1719,2280,7168
1729,2293,7168
1739,2306,7168
1749,2319,7168
1759,2332,7168
1769,2345,7168
1779,2358,7168
1789,2371,7168
1799,2384,7168
1809,2397,7168
1819,2410,7168
1829,2423,7168
1839,2436,7168
1849,2449,7168
1859,2462,7168
1869,2475,7168
1879,2488,7168
1889,2501,7168
1899,2514,7168
1909,2527,7168
1919,2540,7168
1929,2553,7168
1939,2566,7168
1949,2579,7168
1959,2592,7168
1969,2605,7168
1979,2618,7168
1989,2631,7168
1999,2644,7168
2009,2657,7168
2019,2670,7168
2029,2683,7168
2039,2696,7168
2049,2709,7168
2059,2722,7168
2061,2725,7168
2069,2735,7168
2079,2748,7168
2089,2761,7168
2099,2774,7168
2109,2787,7168
2119,2800,7168
2129,2813,7168
2139,2826,7168
2149,2839,7168
2159,2852,7168
2169,2865,7168
2179,2878,7168
2189,2891,7168
2199,2904,7168
2209,2917,7168
2219,2930,7168
2229,2943,7168
2239,2956,7168
2249,2969,7168
2259,2982,7168
2269,2995,7168
2279,3008,7168
2289,3021,7168
2299,3034,7168
2309,3047,7168
2319,3060,7168
2329,3073,7168
2339,3086,7168
2349,3099,7168
2359,3112,7168
2361,3115,7168
2369,3125,7168
2379,3138,7168
2389,3151,7168
2399,3164,7168
2409,3177,7168
2419,3190,7168
2429,3203,7168
2439,3216,7168
2449,3229,7168
2459,3242,7168
2469,3255,7168
2479,3268,7168
2489,3281,7168
2499,3294,7168
2509,3307,7168
2519,3320,7168
2529,3333,7168
2539,3346,7168
2549,3359,7168
2559,3372,7168
2569,3385,7168
2579,3398,7168
2589,3411,7168
2599,3424,7168
2609,3437,7168
2619,3450,7168
2629,3463,7168
2639,3476,7168
2649,3489,7168
2659,3502,7168
2669,3515,7168
2679,3528,7168
2689,3541,7168
2699,3554,7168
2709,3567,7168
2719,3580,7168
2729,3593,7168
2739,3606,7168
2749,3619,7168
2759,3632,7168
2769,3645,7168
2779,3658,7168
2789,3671,7168
2799,3684,7168
2809,3697,7168
2819,3710,7168
2829,3723,7168
2839,3736,7168
2849,3749,7168
2859,3762,7168
2869,3775,7168
2879,3788,7168
2889,3801,7168
2899,3814,7168
2909,3827,7168
2919,3840,7168
2929,3853,7168
2939,3866,7168
2949,3879,7168
2959,3892,7168
2969,3905,7168
2979,3918,7168
2989,3931,7168
2999,3944,7168
3009,3957,7168
3019,3970,7168
3029,3983,7168
3039,3996,7168
3049,4009,7168
3059,4022,7168
3069,4035,7168
3079,4048,7168
3089,4061,7168
3099,4074,7168
3109,4087,7168
