# Command line arguments:  -Xmx7g  Program arguments:  --gc_once --object_activity 

used memory, total memory, maximum memory
5,245,6372
144,309,6372
368,437,6372
330,935,6372
695,935,6372
801,980,6372
875,1529,6372
759,1887,6372
1208,1887,6372
1165,2157,6372
1597,2157,6372
1293,2597,6372
1756,2597,6372
1551,3076,6372
1994,3076,6372
2384,3076,6372
1830,3441,6372
2203,3441,6372
2387,3441,6372
2545,3441,6372
2625,3441,6372
2704,3441,6372
2809,3441,6372
2836,3441,6372
2862,3441,6372
2968,3441,6372
3047,3441,6372
3126,3441,6372
2225,4134,6372
2406,4134,6372
2611,4134,6372
2815,4134,6372
3024,4134,6372
3142,4134,6372
3142,4134,6372
3142,4134,6372
3167,4134,6372
3260,4134,6372
3378,4134,6372
3521,4134,6372
2627,5311,6372
2897,5311,6372
3133,5311,6372
3331,5311,6372
3526,5311,6372
3567,5311,6372
3683,5311,6372
3762,5311,6372
3840,5311,6372
3840,5311,6372
3881,5311,6372
3881,5311,6372
3881,5311,6372
3960,5311,6372
4038,5311,6372
4195,5311,6372
3189,6078,6372
3544,6078,6372
3896,6078,6372
4091,6078,6372
4091,6078,6372
4130,6078,6372
4130,6078,6372
4208,6078,6372
4286,6078,6372
4286,6078,6372
4325,6078,6372
4325,6078,6372
4325,6078,6372
4403,6078,6372
4520,6078,6372
4716,6078,6372
4794,6078,6372
5067,6078,6372
3783,6701,6701
3941,6701,6701
4254,6701,6701
4567,6701,6701
4567,6701,6701
4646,6701,6701
4685,6701,6701
4685,6701,6701
4724,6701,6701
4724,6701,6701
4763,6701,6701
4821,6701,6701
4860,6701,6701
0,6739,6739
78,6739,6739
117,6739,6739
119,6739,6739
313,6739,6739
352,6739,6739
428,6739,6739
663,6739,6739
820,6739,6739
820,6739,6739
859,6739,6739
1016,6739,6739
1016,6739,6739
1130,6739,6739
1170,6739,6739
1170,6739,6739
1366,6739,6739
1483,6739,6739
1640,6739,6739
1679,6739,6739
1679,6739,6739
1679,6739,6739
1679,6739,6739
1860,6739,6739
328,6671,6671
403,6671,6671
403,6671,6671
403,6671,6671
407,6671,6671
480,6671,6671
552,6671,6671
664,6671,6671
928,6671,6671
1158,6671,6671
1195,6671,6671
1353,6671,6671
1617,6671,6671
1657,6671,6671
1856,6671,6671
208,6611,6611
395,6611,6611
395,6611,6611
395,6611,6611
619,6611,6611
885,6611,6611
885,6611,6611
1114,6611,6611
1228,6611,6611
1265,6611,6611
1265,6611,6611
1379,6611,6611
1417,6611,6611
1417,6611,6611
1454,6611,6611
1454,6611,6611
1530,6611,6611
1568,6611,6611
1868,6611,6611
216,6700,6700
369,6700,6700
519,6700,6700
706,6700,6700
748,6700,6700
784,6700,6700
894,6700,6700
1011,6700,6700
1081,6700,6700
1348,6700,6700
1650,6700,6700
1690,6700,6700
1876,6700,6700
112,6462,6462
148,6462,6462
264,6462,6462
416,6462,6462
416,6462,6462
525,6462,6462
563,6462,6462
563,6462,6462
563,6462,6462
826,6462,6462
1015,6462,6462
1130,6462,6462
1166,6462,6462
1173,6462,6462
1210,6462,6462
1210,6462,6462
1250,6462,6462
1324,6462,6462
1628,6462,6462
1847,6462,6462
85,6678,6678
350,6678,6678
580,6678,6678
654,6678,6678
654,6678,6678
694,6678,6678
734,6678,6678
924,6678,6678
1114,6678,6678
1341,6678,6678
1378,6678,6678
1493,6678,6678
1781,6678,6678
181,6679,6679
292,6679,6679
369,6679,6679
445,6679,6679
520,6679,6679
820,6679,6679
1011,6679,6679
1011,6679,6679
1099,6679,6679
1210,6679,6679
1325,6679,6679
1401,6679,6679
1589,6679,6679
1703,6679,6679
1849,6679,6679
267,6690,6690
426,6690,6690
502,6690,6690
502,6690,6690
548,6690,6690
739,6690,6690
936,6690,6690
1172,6690,6690
1172,6690,6690
1443,6690,6690
1716,6690,6690
1835,6690,6690
1835,6690,6690
133,6698,6698
331,6698,6698
448,6698,6698
643,6698,6698
643,6698,6698
720,6698,6698
918,6698,6698
1191,6698,6698
1309,6698,6698
1309,6698,6698
1442,6698,6698
1442,6698,6698
1600,6698,6698
164,6717,6717
316,6717,6717
470,6717,6717
667,6717,6717
902,6717,6717
981,6717,6717
1214,6717,6717
1371,6717,6717
1528,6717,6717
1646,6717,6717
1646,6717,6717
1918,6717,6717
185,6551,6551
380,6551,6551
422,6551,6551
625,6551,6551
977,6551,6551
1095,6551,6551
1444,6551,6551
1757,6551,6551
1911,6551,6551
263,6720,6720
536,6720,6720
741,6720,6720
1209,6720,6720
1209,6720,6720
1720,6720,6720
1876,6720,6720
289,6712,6712
641,6712,6712
683,6712,6712
957,6712,6712
1155,6712,6712
1310,6712,6712
1470,6712,6712
176,6720,6720
293,6720,6720
490,6720,6720
962,6720,6720
962,6720,6720
1399,6720,6720
1635,6720,6720
1953,6720,6720
255,6734,6734
374,6734,6734
656,6734,6734
969,6734,6734
1047,6734,6734
1442,6734,6734
1716,6734,6734
1954,6734,6734
362,6701,6701
479,6701,6701
713,6701,6701
1146,6701,6701
1146,6701,6701
1465,6701,6701
1819,6701,6701
1862,6701,6701
359,6720,6720
594,6720,6720
831,6720,6720
1147,6720,6720
1265,6720,6720
1585,6720,6720
207,6708,6708
207,6708,6708
599,6708,6708
872,6708,6708
880,6708,6708
999,6708,6708
1233,6708,6708
1468,6708,6708
1546,6708,6708
1745,6708,6708
2018,6708,6708
245,6625,6625
324,6625,6625
406,6625,6625
680,6625,6625
915,6625,6625
994,6625,6625
994,6625,6625
1193,6625,6625
1428,6625,6625
1626,6625,6625
1673,6625,6625
1987,6625,6625
399,6742,6742
409,6742,6742
603,6742,6742
838,6742,6742
1073,6742,6742
1273,6742,6742
1743,6742,6742
1825,6742,6742
351,6545,6545
507,6545,6545
900,6545,6545
1176,6545,6545
1337,6545,6545
1415,6545,6545
1691,6545,6545
1848,6545,6545
78,6722,6722
237,6722,6722
472,6722,6722
591,6722,6722
795,6722,6722
1069,6722,6722
1265,6722,6722
1464,6722,6722
1890,6722,6722
233,6720,6720
546,6720,6720
900,6720,6720
1060,6720,6720
1571,6720,6720
1614,6720,6720
156,6733,6733
352,6733,6733
669,6733,6733
984,6733,6733
1149,6733,6733
1541,6733,6733
1658,6733,6733
149,6573,6573
432,6573,6573
553,6573,6573
827,6573,6573
1102,6573,6573
1223,6573,6573
1380,6573,6573
1419,6573,6573
1537,6573,6573
1773,6573,6573
1933,6573,6573
68,6723,6723
304,6723,6723
539,6723,6723
738,6723,6723
1170,6723,6723
1209,6723,6723
1683,6723,6723
1879,6723,6723
102,6718,6718
531,6718,6718
648,6718,6718
727,6718,6718
1081,6718,6718
1280,6718,6718
1563,6718,6718
186,6721,6721
265,6721,6721
503,6721,6721
778,6721,6721
934,6721,6721
1094,6721,6721
1486,6721,6721
1604,6721,6721
1920,6721,6721
181,6737,6737
348,6737,6737
552,6737,6737
984,6737,6737
1024,6737,6737
1420,6737,6737
1695,6737,6737
1738,6737,6737
256,6708,6708
452,6708,6708
695,6708,6708
1090,6708,6708
1130,6708,6708
1449,6708,6708
1804,6708,6708
1926,6708,6708
369,6724,6724
564,6724,6724
798,6724,6724
1074,6724,6724
1232,6724,6724
1511,6724,6724
1904,6724,6724
1910,6724,6724
463,6751,6751
645,6751,6751
955,6751,6751
1228,6751,6751
1319,6751,6751
1587,6751,6751
192,6696,6696
271,6696,6696
589,6696,6696
905,6696,6696
911,6696,6696
1227,6696,6696
1503,6696,6696
1581,6696,6696
1938,6696,6696
159,6730,6730
320,6730,6730
441,6730,6730
795,6730,6730
991,6730,6730
1269,6730,6730
1662,6730,6730
1822,6730,6730
237,6578,6578
433,6578,6578
433,6578,6578
515,6578,6578
751,6578,6578
1065,6578,6578
1104,6578,6578
1383,6578,6578
1697,6578,6578
1738,6578,6578
1864,6578,6578
147,6730,6730
343,6730,6730
538,6730,6730
538,6730,6730
615,6730,6730
813,6730,6730
1050,6730,6730
1208,6730,6730
1252,6730,6730
1487,6730,6730
1724,6730,6730
1845,6730,6730
1894,6730,6730
187,6722,6722
305,6722,6722
423,6722,6722
579,6722,6722
619,6722,6722
779,6722,6722
1055,6722,6722
1132,6722,6722
1132,6722,6722
1132,6722,6722
1171,6722,6722
1171,6722,6722
1210,6722,6722
1210,6722,6722
1289,6722,6722
1333,6722,6722
1370,6722,6722
1645,6722,6722
1880,6722,6722
268,6718,6718
306,6718,6718
463,6718,6718
740,6718,6718
935,6718,6718
940,6718,6718
1096,6718,6718
1292,6718,6718
1569,6718,6718
1617,6718,6718
1892,6718,6718
150,6737,6737
304,6737,6737
343,6737,6737
425,6737,6737
659,6737,6737
972,6737,6737
1011,6737,6737
1247,6737,6737
1446,6737,6737
1680,6737,6737
1680,6737,6737
1841,6737,6737
108,6707,6707
301,6707,6707
379,6707,6707
457,6707,6707
497,6707,6707
536,6707,6707
812,6707,6707
930,6707,6707
1049,6707,6707
1127,6707,6707
1170,6707,6707
1367,6707,6707
1604,6707,6707
1763,6707,6707
1850,6707,6707
177,6723,6723
373,6723,6723
529,6723,6723
654,6723,6723
811,6723,6723
1006,6723,6723
1202,6723,6723
1202,6723,6723
1360,6723,6723
1517,6723,6723
1636,6723,6723
1833,6723,6723
1872,6723,6723
144,6749,6749
421,6749,6749
655,6749,6749
655,6749,6749
936,6749,6749
1093,6749,6749
1251,6749,6749
1291,6749,6749
1301,6749,6749
1536,6749,6749
1772,6749,6749
194,6698,6698
235,6698,6698
283,6698,6698
440,6698,6698
716,6698,6698
873,6698,6698
911,6698,6698
993,6698,6698
1269,6698,6698
1504,6698,6698
1582,6698,6698
1663,6698,6698
1939,6698,6698
322,6729,6729
322,6729,6729
796,6729,6729
993,6729,6729
1192,6729,6729
1663,6729,6729
1667,6729,6729
238,6580,6580
434,6580,6580
711,6580,6580
1065,6580,6580
1229,6580,6580
1425,6580,6580
1737,6580,6580
1898,6580,6580
115,6730,6730
233,6730,6730
506,6730,6730
591,6730,6730
869,6730,6730
1144,6730,6730
1183,6730,6730
1383,6730,6730
1620,6730,6730
1817,6730,6730
1857,6730,6730
190,6723,6723
542,6723,6723
620,6723,6723
660,6723,6723
817,6723,6723
1053,6723,6723
1211,6723,6723
1290,6723,6723
1411,6723,6723
1648,6723,6723
196,6716,6716
235,6716,6716
478,6716,6716
675,6716,6716
911,6716,6716
954,6716,6716
1112,6716,6716
1350,6716,6716
1585,6716,6716
1628,6716,6716
1628,6716,6716
1785,6716,6716
1864,6716,6716
1943,6716,6716
151,6736,6736
304,6736,6736
343,6736,6736
380,6736,6736
577,6736,6736
695,6736,6736
853,6736,6736
1010,6736,6736
1010,6736,6736
1132,6736,6736
1250,6736,6736
1252,6736,6736
1368,6736,6736
1644,6736,6736
1683,6736,6736
1767,6736,6736
1962,6736,6736
303,6708,6708
459,6708,6708
617,6708,6708
813,6708,6708
853,6708,6708
1089,6708,6708
1091,6708,6708
1335,6708,6708
1611,6708,6708
1769,6708,6708
1769,6708,6708
64,6723,6723
218,6723,6723
336,6723,6723
531,6723,6723
608,6723,6723
767,6723,6723
