# Command line arguments:  -XX:+UseSerialGC -Xmx7g  Program arguments:  --gc_once --object_activity 

used memory, total memory, maximum memory
7,247,6929
131,247,6929
224,431,6929
293,431,6929
419,760,6929
517,760,6929
763,1342,6929
943,1342,6929
1105,1342,6929
1276,1342,6929
1371,2375,6929
1295,2375,6929
1726,2375,6929
1637,2375,6929
2070,2375,6929
1727,2375,6929
2109,2375,6929
2214,2375,6929
2240,2375,6929
2253,2375,6929
1816,4188,6929
2089,4188,6929
2154,4188,6929
2252,4188,6929
2360,4188,6929
2579,4188,6929
2611,4188,6929
2746,4188,6929
2888,4188,6929
2165,4188,6929
2290,4188,6929
2392,4188,6929
2562,4188,6929
2748,4188,6929
2945,4188,6929
3141,4188,6929
3239,4188,6929
3244,4188,6929
3272,4188,6929
3272,4188,6929
3280,4188,6929
2498,4188,6929
2739,4188,6929
2939,4188,6929
2999,4188,6929
3200,4188,6929
3456,4188,6929
3553,4188,6929
3553,4188,6929
3559,4188,6929
3586,4188,6929
3619,4188,6929
2852,4188,6929
3120,4188,6929
3386,4188,6929
3719,4188,6929
3204,6929,6929
3363,6929,6929
3639,6929,6929
3756,6929,6929
3756,6929,6929
3797,6929,6929
3992,6929,6929
4150,6929,6929
4427,6929,6929
4584,6929,6929
4701,6929,6929
4820,6929,6929
4820,6929,6929
4859,6929,6929
4859,6929,6929
4859,6929,6929
4899,6929,6929
4899,6929,6929
4899,6929,6929
3745,6929,6929
3974,6929,6929
4208,6929,6929
4364,6929,6929
4482,6929,6929
4599,6929,6929
4677,6929,6929
4677,6929,6929
4716,6929,6929
4716,6929,6929
4735,6929,6929
4774,6929,6929
4852,6929,6929
97,6929,6929
333,6929,6929
333,6929,6929
372,6929,6929
372,6929,6929
414,6929,6929
414,6929,6929
689,6929,6929
885,6929,6929
1004,6929,6929
1006,6929,6929
1247,6929,6929
1483,6929,6929
1600,6929,6929
1679,6929,6929
1878,6929,6929
172,6929,6929
290,6929,6929
525,6929,6929
525,6929,6929
525,6929,6929
605,6929,6929
685,6929,6929
685,6929,6929
803,6929,6929
1075,6929,6929
1193,6929,6929
1394,6929,6929
1511,6929,6929
1549,6929,6929
1549,6929,6929
1629,6929,6929
1668,6929,6929
1706,6929,6929
1706,6929,6929
1747,6929,6929
1747,6929,6929
1826,6929,6929
1992,6929,6929
232,6929,6929
468,6929,6929
588,6929,6929
709,6929,6929
867,6929,6929
867,6929,6929
905,6929,6929
1062,6929,6929
1181,6929,6929
1221,6929,6929
1387,6929,6929
1663,6929,6929
1899,6929,6929
1899,6929,6929
1942,6929,6929
1980,6929,6929
242,6929,6929
282,6929,6929
361,6929,6929
596,6929,6929
634,6929,6929
634,6929,6929
756,6929,6929
951,6929,6929
1148,6929,6929
1227,6929,6929
1305,6929,6929
1305,6929,6929
1305,6929,6929
1348,6929,6929
1348,6929,6929
1583,6929,6929
1857,6929,6929
1956,6929,6929
195,6929,6929
466,6929,6929
649,6929,6929
694,6929,6929
694,6929,6929
823,6929,6929
914,6929,6929
1142,6929,6929
1324,6929,6929
1332,6929,6929
1471,6929,6929
1656,6929,6929
1882,6929,6929
1884,6929,6929
201,6929,6929
282,6929,6929
417,6929,6929
592,6929,6929
820,6929,6929
957,6929,6929
957,6929,6929
1085,6929,6929
1178,6929,6929
1315,6929,6929
1458,6929,6929
1589,6929,6929
1688,6929,6929
1962,6929,6929
178,6929,6929
335,6929,6929
335,6929,6929
378,6929,6929
613,6929,6929
807,6929,6929
1004,6929,6929
1047,6929,6929
1320,6929,6929
1595,6929,6929
1673,6929,6929
1673,6929,6929
1911,6929,6929
2088,6929,6929
192,6929,6929
370,6929,6929
372,6929,6929
471,6929,6929
700,6929,6929
929,6929,6929
1020,6929,6929
1066,6929,6929
1066,6929,6929
1066,6929,6929
1251,6929,6929
1520,6929,6929
1703,6929,6929
1745,6929,6929
1969,6929,6929
210,6929,6929
347,6929,6929
438,6929,6929
618,6929,6929
709,6929,6929
892,6929,6929
1074,6929,6929
1120,6929,6929
1211,6929,6929
1437,6929,6929
1665,6929,6929
1769,6929,6929
1811,6929,6929
101,6929,6929
273,6929,6929
456,6929,6929
502,6929,6929
544,6929,6929
773,6929,6929
1001,6929,6929
1184,6929,6929
1318,6929,6929
1638,6929,6929
1821,6929,6929
120,6929,6929
549,6929,6929
592,6929,6929
905,6929,6929
1217,6929,6929
1382,6929,6929
1852,6929,6929
1893,6929,6929
290,6929,6929
604,6929,6929
725,6929,6929
1039,6929,6929
1275,6929,6929
1397,6929,6929
1749,6929,6929
1947,6929,6929
107,6929,6929
342,6929,6929
537,6929,6929
656,6929,6929
817,6929,6929
1012,6929,6929
1090,6929,6929
1288,6929,6929
1326,6929,6929
1377,6929,6929
1651,6929,6929
1885,6929,6929
206,6929,6929
250,6929,6929
534,6929,6929
730,6929,6929
926,6929,6929
1045,6929,6929
1165,6929,6929
1361,6929,6929
1596,6929,6929
1596,6929,6929
1636,6929,6929
1834,6929,6929
1991,6929,6929
182,6929,6929
304,6929,6929
354,6929,6929
471,6929,6929
667,6929,6929
901,6929,6929
980,6929,6929
1146,6929,6929
1224,6929,6929
1498,6929,6929
1655,6929,6929
1741,6929,6929
1899,6929,6929
160,6929,6929
358,6929,6929
358,6929,6929
564,6929,6929
799,6929,6929
995,6929,6929
1034,6929,6929
1155,6929,6929
1312,6929,6929
1508,6929,6929
1704,6929,6929
1744,6929,6929
2060,6929,6929
412,6929,6929
539,6929,6929
1088,6929,6929
1088,6929,6929
1601,6929,6929
1758,6929,6929
1996,6929,6929
348,6929,6929
466,6929,6929
593,6929,6929
671,6929,6929
1023,6929,6929
1140,6929,6929
1307,6929,6929
1502,6929,6929
1776,6929,6929
1815,6929,6929
1943,6929,6929
328,6929,6929
524,6929,6929
848,6929,6929
1200,6929,6929
1360,6929,6929
1870,6929,6929
1910,6929,6929
343,6929,6929
578,6929,6929
862,6929,6929
1253,6929,6929
1372,6929,6929
1765,6929,6929
1922,6929,6929
279,6929,6929
632,6929,6929
837,6929,6929
1150,6929,6929
1307,6929,6929
1506,6929,6929
1702,6929,6929
1898,6929,6929
1951,6929,6929
302,6929,6929
577,6929,6929
734,6929,6929
890,6929,6929
1128,6929,6929
1559,6929,6929
1559,6929,6929
1993,6929,6929
197,6929,6929
279,6929,6929
602,6929,6929
954,6929,6929
994,6929,6929
1193,6929,6929
1623,6929,6929
1623,6929,6929
1862,6929,6929
2018,6929,6929
174,6929,6929
332,6929,6929
419,6929,6929
538,6929,6929
734,6929,6929
970,6929,6929
1009,6929,6929
1248,6929,6929
1365,6929,6929
1522,6929,6929
1679,6929,6929
1719,6929,6929
1996,6929,6929
149,6929,6929
387,6929,6929
395,6929,6929
632,6929,6929
749,6929,6929
1023,6929,6929
1062,6929,6929
1181,6929,6929
1418,6929,6929
1731,6929,6929
1731,6929,6929
2008,6929,6929
164,6929,6929
323,6929,6929
441,6929,6929
527,6929,6929
685,6929,6929
842,6929,6929
1116,6929,6929
1116,6929,6929
1668,6929,6929
1785,6929,6929
100,6929,6929
493,6929,6929
621,6929,6929
856,6929,6929
1013,6929,6929
1170,6929,6929
1447,6929,6929
1839,6929,6929
1839,6929,6929
273,6929,6929
548,6929,6929
553,6929,6929
950,6929,6929
1224,6929,6929
1345,6929,6929
1776,6929,6929
1894,6929,6929
249,6929,6929
602,6929,6929
688,6929,6929
1199,6929,6929
1278,6929,6929
1437,6929,6929
1633,6929,6929
1633,6929,6929
1673,6929,6929
1751,6929,6929
1947,6929,6929
72,6929,6929
427,6929,6929
662,6929,6929
744,6929,6929
822,6929,6929
1018,6929,6929
1175,6929,6929
1331,6929,6929
1331,6929,6929
1452,6929,6929
1687,6929,6929
1922,6929,6929
248,6929,6929
258,6929,6929
534,6929,6929
729,6929,6929
925,6929,6929
1011,6929,6929
1130,6929,6929
1246,6929,6929
1403,6929,6929
1522,6929,6929
1600,6929,6929
1800,6929,6929
1879,6929,6929
1879,6929,6929
1879,6929,6929
1879,6929,6929
1917,6929,6929
1917,6929,6929
1957,6929,6929
186,6929,6929
226,6929,6929
303,6929,6929
472,6929,6929
589,6929,6929
746,6929,6929
942,6929,6929
981,6929,6929
1181,6929,6929
1337,6929,6929
1455,6929,6929
1611,6929,6929
1651,6929,6929
1889,6929,6929
162,6929,6929
359,6929,6929
445,6929,6929
604,6929,6929
878,6929,6929
995,6929,6929
1034,6929,6929
1272,6929,6929
1507,6929,6929
1703,6929,6929
1784,6929,6929
1902,6929,6929
178,6929,6929
378,6929,6929
418,6929,6929
458,6929,6929
538,6929,6929
774,6929,6929
852,6929,6929
930,6929,6929
1087,6929,6929
1087,6929,6929
1247,6929,6929
1404,6929,6929
1561,6929,6929
1757,6929,6929
1757,6929,6929
1995,6929,6929
315,6929,6929
472,6929,6929
553,6929,6929
789,6929,6929
984,6929,6929
1141,6929,6929
1141,6929,6929
1340,6929,6929
1654,6929,6929
1811,6929,6929
1811,6929,6929
1931,6929,6929
173,6929,6929
447,6929,6929
526,6929,6929
686,6929,6929
921,6929,6929
1156,6929,6929
1195,6929,6929
1235,6929,6929
1433,6929,6929
1629,6929,6929
1668,6929,6929
1864,6929,6929
1946,6929,6929
105,6929,6929
266,6929,6929
422,6929,6929
579,6929,6929
627,6929,6929
743,6929,6929
1019,6929,6929
1177,6929,6929
1255,6929,6929
1414,6929,6929
1612,6929,6929
1807,6929,6929
1926,6929,6929
243,6929,6929
635,6929,6929
675,6929,6929
1148,6929,6929
1304,6929,6929
1621,6929,6929
1952,6929,6929
220,6929,6929
727,6929,6929
883,6929,6929
1160,6929,6929
1551,6929,6929
