# Command line arguments:  -XX:+UseParallelGC -Xmx7g  Program arguments:  --gc_once --object_activity 

used memory, total memory, maximum memory
5,245,6372
139,309,6372
364,437,6372
322,818,6372
687,818,6372
778,1155,6372
791,1659,6372
1244,1659,6372
1073,1982,6372
1548,1982,6372
1422,2542,6372
1870,2542,6372
1526,2945,6372
1952,2945,6372
1666,3691,6372
2114,3691,6372
2473,3691,6372
2539,3691,6372
2539,3691,6372
2539,3691,6372
2575,3691,6372
2669,3691,6372
2802,3691,6372
2963,3691,6372
3028,3691,6372
2091,4232,6372
2150,4232,6372
2185,4232,6372
2215,4232,6372
2281,4232,6372
2379,4232,6372
2543,4232,6372
2674,4232,6372
2740,4232,6372
2838,4232,6372
2936,4232,6372
3035,4232,6372
3067,4232,6372
3234,4232,6372
3395,4232,6372
2514,5157,6372
2552,5157,6372
2679,5157,6372
2816,5157,6372
2953,5157,6372
3008,5157,6372
3044,5157,6372
3092,5157,6372
3135,5157,6372
3272,5157,6372
3457,5157,6372
3683,5157,6372
3865,5157,6372
3911,5157,6372
4002,5157,6372
4094,5157,6372
4276,5157,6372
4306,5157,6372
3064,6008,6372
3350,6008,6372
3586,6008,6372
3900,6008,6372
4254,6008,6372
4450,6008,6372
4450,6008,6372
4450,6008,6372
4490,6008,6372
4568,6008,6372
4607,6008,6372
4607,6008,6372
4686,6008,6372
5000,6008,6372
3661,7038,7038
3801,7038,7038
4075,7038,7038
4120,7038,7038
4120,7038,7038
4211,7038,7038
4394,7038,7038
4576,7038,7038
4895,7038,7038
4986,7038,7038
5032,7038,7038
5077,7038,7038
5077,7038,7038
0,7047,7047
136,7047,7047
182,7047,7047
229,7047,7047
275,7047,7047
321,7047,7047
321,7047,7047
367,7047,7047
367,7047,7047
596,7047,7047
824,7047,7047
916,7047,7047
963,7047,7047
1008,7047,7047
1008,7047,7047
1151,7047,7047
1287,7047,7047
1287,7047,7047
1334,7047,7047
1471,7047,7047
1563,7047,7047
1702,7047,7047
1796,7047,7047
1796,7047,7047
1843,7047,7047
1843,7047,7047
1935,7047,7047
2027,7047,7047
2072,7047,7047
182,7009,7009
274,7009,7009
274,7009,7009
323,7009,7009
552,7009,7009
827,7009,7009
964,7009,7009
1105,7009,7009
