# Command line arguments:  -XX:+UseConcMarkSweepGC -Xmx7g  Program arguments:  --gc_once --object_activity 

used memory, total memory, maximum memory
6,247,7101
139,247,7101
227,340,7101
295,477,7101
436,651,7101
561,651,7101
697,994,7101
802,994,7101
935,1511,7101
1091,1511,7101
1196,1511,7101
1341,1511,7101
1487,2337,7101
1578,2337,7101
1718,2337,7101
1781,2337,7101
1819,2337,7101
1860,2337,7101
1902,2337,7101
1975,2337,7101
2046,2337,7101
2150,3611,7101
2266,3611,7101
2290,3611,7101
2336,3611,7101
2398,3611,7101
2488,3611,7101
2522,3611,7101
2631,3611,7101
2646,3611,7101
2708,3611,7101
2759,3611,7101
2799,3611,7101
2917,3611,7101
2983,3611,7101
3038,3611,7101
3130,3611,7101
3207,3611,7101
3303,3611,7101
3418,5574,7101
3500,5574,7101
3618,5574,7101
3721,5574,7101
3809,5574,7101
3847,5574,7101
3950,5574,7101
4065,5574,7101
0,6096,7101
287,6096,7101
326,6096,7101
386,6096,7101
490,6096,7101
107,6096,7101
383,6096,7101
524,6096,7101
118,6096,7101
405,6096,7101
188,6096,7101
241,6096,7101
473,6096,7101
271,6096,7101
457,6096,7101
586,6096,7101
641,6096,7101
739,6096,7101
347,6096,7101
488,6096,7101
630,6096,7101
769,6096,7101
667,6096,7101
765,6096,7101
610,6096,7101
436,6096,7101
494,6096,7101
702,6096,7101
517,6096,7101
703,6096,7101
1028,6096,7101
876,6096,7101
897,6096,7101
1006,6096,7101
684,6096,7101
907,6096,7101
1014,6096,7101
553,6096,7101
630,6096,7101
662,6096,7101
891,6096,7101
681,6096,7101
740,6096,7101
1160,6096,7101
781,6096,7101
949,6096,7101
1046,6096,7101
873,6096,7101
1043,6096,7101
1124,6096,7101
1238,6096,7101
889,6096,7101
1262,6096,7101
1329,6096,7101
1186,6096,7101
966,6096,7101
981,6096,7101
1004,6096,7101
1195,6096,7101
1295,6096,7101
1042,6096,7101
1371,6096,7101
1472,6096,7101
1322,6096,7101
1504,6096,7101
1230,6096,7101
1164,6096,7101
1224,6096,7101
1637,6096,7101
1385,6096,7101
1440,6096,7101
1324,6096,7101
1612,6096,7101
1771,6096,7101
1729,6096,7101
1742,6096,7101
1679,6096,7101
1447,6096,7101
1462,6096,7101
1666,6096,7101
1481,6096,7101
1678,6096,7101
1963,6096,7101
1826,6096,7101
1852,6096,7101
1754,6096,7101
1979,6096,7101
1642,6096,7101
1639,6096,7101
1705,6096,7101
2134,6096,7101
1718,6096,7101
1917,6096,7101
2097,6096,7101
1973,6096,7101
2092,6096,7101
1914,6096,7101
2218,6096,7101
1824,6096,7101
1876,6096,7101
1947,6096,7101
2205,6096,7101
1954,6096,7101
2156,6096,7101
1991,6096,7101
2322,6096,7101
1988,6096,7101
2454,6096,7101
1958,6096,7101
2109,6096,7101
2177,6096,7101
2618,6096,7101
2197,6096,7101
2388,6096,7101
2488,6096,7101
2359,6096,7101
2557,6096,7101
2310,6096,7101
2690,6096,7101
2264,6096,7101
2338,6096,7101
2408,6096,7101
2690,6096,7101
2415,6096,7101
2617,6096,7101
2887,6096,7101
2641,6096,7101
2787,6096,7101
2553,6096,7101
2921,6096,7101
2406,6096,7101
2765,6096,7101
2568,6096,7101
2641,6096,7101
3082,6096,7101
2848,6096,7101
3000,6096,7101
2956,6096,7101
3021,6096,7101
2920,6096,7101
3142,6096,7101
2835,6096,7101
2796,6096,7101
2866,6096,7101
3097,6096,7101
2874,6096,7101
3078,6096,7101
3374,6096,7101
3159,6096,7101
3251,6096,7101
3001,6096,7101
3327,6096,7101
3380,6096,7101
3157,6096,7101
3026,6096,7101
3099,6096,7101
3498,6096,7101
3225,6096,7101
3306,6096,7101
3629,6096,7101
3322,6096,7101
3479,6096,7101
3219,6096,7101
3600,6096,7101
3103,6096,7101
3529,6096,7101
3324,6096,7101
3424,6096,7101
3332,6096,7101
3536,6096,7101
3820,6096,7101
3683,6096,7101
3709,6096,7101
3667,6096,7101
3838,6096,7101
3589,6096,7101
3484,6096,7101
3557,6096,7101
3852,6096,7101
3560,6096,7101
3764,6096,7101
4087,6096,7101
3938,6096,7101
4014,6096,7101
3973,6096,7101
4065,6096,7101
3891,6096,7101
3709,6096,7101
3789,6096,7101
4192,6096,7101
3997,6096,7101
4086,6096,7101
3994,6096,7101
4164,6096,7101
3857,6096,7101
4286,6096,7101
4320,6096,7101
4239,6096,7101
4013,6096,7101
4057,6096,7101
4004,6096,7101
4214,6096,7101
4511,6096,7101
4387,6096,7101
4488,6096,7101
4480,6096,7101
4508,6096,7101
4389,6096,7101
4235,6096,7101
4402,6096,7101
4301,6096,7101
4445,6096,7101
4274,6096,7101
4607,6096,7101
4785,6096,7101
4724,6096,7101
4737,6096,7101
4652,6096,7101
4459,6096,7101
4628,6096,7101
4454,6096,7101
4669,6096,7101
4953,6096,7101
4831,6096,7101
4891,6096,7101
4712,6096,7101
4961,6096,7101
4681,6096,7101
4602,6096,7101
4683,6096,7101
5060,6096,7101
4893,6096,7101
4955,6096,7101
4922,6096,7101
5055,6096,7101
4831,6096,7101
5185,6096,7101
4735,6096,7101
5127,6096,7101
4907,6096,7101
4996,6096,7101
4986,6096,7101
5117,6096,7101
4935,6096,7101
5279,6096,7101
5431,6096,7101
5304,6096,7101
5409,6096,7101
5142,6096,7101
5131,6096,7101
5222,6096,7101
5158,6096,7101
5341,6096,7101
5639,6096,7101
519,6096,7101
540,6096,7101
321,6096,7101
649,6096,7101
649,6096,7101
540,6096,7101
290,6096,7101
371,6096,7101
604,6096,7101
476,6096,7101
581,6096,7101
478,6096,7101
743,6096,7101
908,6096,7101
873,6096,7101
873,6096,7101
801,6096,7101
595,6096,7101
880,6096,7101
805,6096,7101
846,6096,7101
807,6096,7101
967,6096,7101
783,6096,7101
1097,6096,7101
607,6096,7101
986,6096,7101
819,6096,7101
1041,6096,7101
989,6096,7101
1029,6096,7101
966,6096,7101
1191,6096,7101
980,6096,7101
1321,6096,7101
962,6096,7101
962,6096,7101
1043,6096,7101
1394,6096,7101
1161,6096,7101
1253,6096,7101
1085,6096,7101
1415,6096,7101
1602,6096,7101
1545,6096,7101
1545,6096,7101
1513,6096,7101
1267,6096,7101
1384,6096,7101
1320,6096,7101
1477,6096,7101
1295,6096,7101
1639,6096,7101
1826,6096,7101
1769,6096,7101
1248,6096,7101
1752,6096,7101
1491,6096,7101
1763,6096,7101
1486,6096,7101
1701,6096,7101
2012,6096,7101
1863,6096,7101
1897,6096,7101
1836,6096,7101
1993,6096,7101
1765,6096,7101
1634,6096,7101
1691,6096,7101
1715,6096,7101
1974,6096,7101
1710,6096,7101
1925,6096,7101
2144,6096,7101
2059,6096,7101
2087,6096,7101
2046,6096,7101
2217,6096,7101
1976,6096,7101
1858,6096,7101
1939,6096,7101
2316,6096,7101
2005,6096,7101
2149,6096,7101
1967,6096,7101
2311,6096,7101
2450,6096,7101
2166,6096,7101
2441,6096,7101
2004,6096,7101
2356,6096,7101
2082,6096,7101
2163,6096,7101
2593,6096,7101
