# Command line arguments:  -XX:+UseG1GC -Xmx7g  Program arguments:  --gc_once --object_activity 

used memory, total memory, maximum memory
3,256,7168
145,266,7168
182,341,7168
396,1500,7168
711,1500,7168
498,2651,7168
652,2651,7168
1091,2651,7168
1458,2651,7168
985,2664,7168
1423,2664,7168
1224,2665,7168
1637,2665,7168
1630,2675,7168
1762,2684,7168
1769,2699,7168
1753,2708,7168
1801,2708,7168
1812,2716,7168
1754,2717,7168
1820,2741,7168
1897,2851,7168
1944,2980,7168
2059,3095,7168
2086,3151,7168
2136,3202,7168
2069,3209,7168
2121,3215,7168
2151,3288,7168
2191,3369,7168
2263,3405,7168
2226,3435,7168
2271,3444,7168
2231,3507,7168
2364,3555,7168
2464,3692,7168
2501,3799,7168
2552,3899,7168
2555,4001,7168
2604,4107,7168
2739,4226,7168
2883,4322,7168
2806,4448,7168
2887,4576,7168
2972,4699,7168
3107,4720,7168
3043,4826,7168
3304,4949,7168
3276,5088,7168
3353,5223,7168
3468,5253,7168
3481,5265,7168
3502,5283,7168
3383,5363,7168
3424,5363,7168
3510,5495,7168
3674,5646,7168
3745,5793,7168
3811,5963,7168
4073,6104,7168
3967,6133,7168
4093,6190,7168
3993,6298,7168
4158,6313,7168
4177,6331,7168
4219,6370,7168
4283,6427,7168
4083,6467,7168
0,8,7168
249,388,7168
36,802,7168
336,1604,7168
477,1604,7168
514,1604,7168
551,1604,7168
776,1604,7168
995,1604,7168
216,2727,7168
236,2727,7168
246,2727,7168
264,2727,7168
372,2727,7168
416,2727,7168
476,2727,7168
665,2727,7168
865,2727,7168
221,3616,7168
249,3616,7168
294,3616,7168
301,3616,7168
433,3616,7168
600,3616,7168
847,3616,7168
891,3616,7168
907,3616,7168
1009,3616,7168
1051,3616,7168
1066,3616,7168
1088,3616,7168
1119,3616,7168
1196,3616,7168
1434,3616,7168
1561,3616,7168
1571,3616,7168
1671,3616,7168
1724,3616,7168
1739,3616,7168
1900,3616,7168
2014,3616,7168
2225,3616,7168
2232,3616,7168
2356,3616,7168
2423,3616,7168
76,4332,7168
177,4332,7168
289,4332,7168
386,4332,7168
428,4332,7168
439,4332,7168
455,4332,7168
499,4332,7168
503,4332,7168
745,4332,7168
920,4332,7168
947,4332,7168
962,4332,7168
978,4332,7168
1121,4332,7168
1149,4332,7168
1173,4332,7168
1179,4332,7168
1397,4332,7168
180,4332,7168
371,4332,7168
482,4332,7168
497,4332,7168
657,4332,7168
789,4332,7168
1033,4332,7168
1167,4332,7168
1173,4332,7168
1345,4332,7168
1620,4332,7168
1649,4332,7168
1653,4332,7168
1807,4332,7168
1836,4332,7168
1838,4332,7168
1981,4332,7168
2272,4332,7168
2508,4332,7168
2577,4332,7168
2624,4332,7168
2628,4332,7168
2645,4332,7168
2770,4332,7168
2856,4332,7168
2875,4332,7168
2888,4332,7168
2906,4332,7168
2921,4332,7168
351,4342,7168
370,4342,7168
511,4342,7168
762,4342,7168
1021,4342,7168
1049,4342,7168
1133,4342,7168
1148,4342,7168
1197,4342,7168
1350,4342,7168
131,4342,7168
324,4342,7168
394,4342,7168
617,4342,7168
872,4342,7168
1030,4342,7168
1065,4342,7168
1099,4342,7168
1304,4342,7168
1319,4342,7168
1476,4342,7168
1625,4342,7168
1649,4342,7168
1735,4342,7168
1735,4342,7168
1862,4342,7168
1992,4342,7168
