# Command line arguments:  -Xmx7g  Program arguments:  --manual_gc 

used memory, total memory, maximum memory
15,245,6372
136,309,6372
142,437,6372
341,437,6372
374,609,6372
442,842,6372
652,842,6372
510,1124,6372
726,1124,6372
563,1704,6372
726,1704,6372
957,1704,6372
1095,1704,6372
1250,1704,6372
1375,1704,6372
963,2022,6372
1166,2022,6372
1346,2022,6372
1537,2022,6372
1139,2651,6372
1178,2651,6372
1237,2651,6372
1335,2651,6372
1498,2651,6372
1661,2651,6372
1856,2651,6372
1888,2651,6372
1888,2651,6372
1888,2651,6372
1888,2651,6372
1888,2651,6372
2084,2651,6372
2116,2651,6372
1435,3089,6372
1796,3089,6372
2150,3089,6372
2311,3089,6372
2539,3089,6372
1762,3920,6372
1955,3920,6372
2153,3920,6372
2383,3920,6372
2613,3920,6372
2711,3920,6372
2843,3920,6372
2942,3920,6372
3040,3920,6372
3073,3920,6372
3073,3920,6372
3106,3920,6372
3172,3920,6372
3237,3920,6372
3270,3920,6372
2234,4497,6372
2399,4497,6372
2629,4497,6372
2859,4497,6372
3024,4497,6372
3057,4497,6372
3221,4497,6372
3353,4497,6372
3485,4497,6372
3584,4497,6372
3584,4497,6372
3616,4497,6372
3616,4497,6372
3715,4497,6372
2707,5538,6372
2929,5538,6372
3021,5538,6372
3205,5538,6372
3527,5538,6372
3757,5538,6372
3942,5538,6372
4126,5538,6372
4218,5538,6372
4264,5538,6372
4264,5538,6372
4264,5538,6372
4402,5538,6372
4494,5538,6372
4724,5538,6372
3325,6295,6372
3591,6295,6372
3682,6295,6372
3864,6295,6372
4092,6295,6372
4365,6295,6372
4637,6295,6372
4859,6295,6372
4996,6295,6372
5132,6295,6372
5132,6295,6372
5132,6295,6372
5137,6295,6372
5178,6295,6372
5178,6295,6372
5178,6295,6372
5314,6295,6372
3950,6885,6885
4108,6885,6885
4303,6885,6885
202,6861,6861
359,6861,6861
359,6861,6861
359,6861,6861
359,6861,6861
367,6861,6861
377,6861,6861
387,6861,6861
397,6861,6861
407,6861,6861
417,6861,6861
427,6861,6861
437,6861,6861
447,6861,6861
457,6861,6861
467,6861,6861
477,6861,6861
487,6861,6861
497,6861,6861
507,6861,6861
517,6861,6861
527,6861,6861
537,6861,6861
547,6861,6861
557,6861,6861
567,6861,6861
577,6861,6861
587,6861,6861
597,6861,6861
607,6861,6861
617,6861,6861
627,6861,6861
637,6861,6861
647,6861,6861
657,6861,6861
667,6861,6861
677,6861,6861
687,6861,6861
697,6861,6861
707,6861,6861
717,6861,6861
723,6861,6861
727,6861,6861
737,6861,6861
747,6861,6861
757,6861,6861
767,6861,6861
777,6861,6861
787,6861,6861
797,6861,6861
807,6861,6861
817,6861,6861
827,6861,6861
837,6861,6861
847,6861,6861
857,6861,6861
867,6861,6861
877,6861,6861
887,6861,6861
897,6861,6861
100,6940,6940
138,6940,6940
138,6940,6940
138,6940,6940
142,6940,6940
152,6940,6940
162,6940,6940
172,6940,6940
182,6940,6940
192,6940,6940
202,6940,6940
212,6940,6940
222,6940,6940
232,6940,6940
242,6940,6940
252,6940,6940
262,6940,6940
272,6940,6940
282,6940,6940
292,6940,6940
302,6940,6940
312,6940,6940
322,6940,6940
332,6940,6940
342,6940,6940
352,6940,6940
362,6940,6940
372,6940,6940
382,6940,6940
392,6940,6940
402,6940,6940
412,6940,6940
422,6940,6940
432,6940,6940
442,6940,6940
452,6940,6940
462,6940,6940
472,6940,6940
482,6940,6940
482,6940,6940
492,6940,6940
502,6940,6940
512,6940,6940
522,6940,6940
532,6940,6940
542,6940,6940
552,6940,6940
562,6940,6940
572,6940,6940
582,6940,6940
592,6940,6940
602,6940,6940
612,6940,6940
622,6940,6940
651,6940,6940
661,6940,6940
671,6940,6940
681,6940,6940
691,6940,6940
701,6940,6940
119,6927,6927
157,6927,6927
157,6927,6927
157,6927,6927
161,6927,6927
171,6927,6927
181,6927,6927
191,6927,6927
201,6927,6927
211,6927,6927
221,6927,6927
231,6927,6927
241,6927,6927
251,6927,6927
261,6927,6927
271,6927,6927
281,6927,6927
291,6927,6927
301,6927,6927
311,6927,6927
321,6927,6927
331,6927,6927
341,6927,6927
351,6927,6927
361,6927,6927
371,6927,6927
381,6927,6927
391,6927,6927
401,6927,6927
411,6927,6927
421,6927,6927
431,6927,6927
441,6927,6927
451,6927,6927
461,6927,6927
471,6927,6927
481,6927,6927
491,6927,6927
501,6927,6927
511,6927,6927
521,6927,6927
531,6927,6927
541,6927,6927
551,6927,6927
561,6927,6927
571,6927,6927
581,6927,6927
591,6927,6927
601,6927,6927
611,6927,6927
621,6927,6927
631,6927,6927
641,6927,6927
651,6927,6927
661,6927,6927
671,6927,6927
681,6927,6927
691,6927,6927
701,6927,6927
711,6927,6927
138,6937,6937
138,6937,6937
138,6937,6937
142,6937,6937
152,6937,6937
162,6937,6937
172,6937,6937
182,6937,6937
192,6937,6937
202,6937,6937
212,6937,6937
222,6937,6937
232,6937,6937
242,6937,6937
252,6937,6937
262,6937,6937
272,6937,6937
282,6937,6937
292,6937,6937
302,6937,6937
312,6937,6937
322,6937,6937
332,6937,6937
342,6937,6937
352,6937,6937
362,6937,6937
372,6937,6937
382,6937,6937
392,6937,6937
402,6937,6937
412,6937,6937
422,6937,6937
432,6937,6937
442,6937,6937
452,6937,6937
462,6937,6937
472,6937,6937
482,6937,6937
492,6937,6937
502,6937,6937
512,6937,6937
522,6937,6937
532,6937,6937
542,6937,6937
552,6937,6937
562,6937,6937
572,6937,6937
582,6937,6937
592,6937,6937
602,6937,6937
612,6937,6937
622,6937,6937
632,6937,6937
642,6937,6937
652,6937,6937
662,6937,6937
672,6937,6937
682,6937,6937
692,6937,6937
702,6937,6937
138,6937,6937
138,6937,6937
138,6937,6937
142,6937,6937
152,6937,6937
162,6937,6937
172,6937,6937
182,6937,6937
192,6937,6937
202,6937,6937
212,6937,6937
222,6937,6937
232,6937,6937
242,6937,6937
252,6937,6937
262,6937,6937
272,6937,6937
282,6937,6937
292,6937,6937
302,6937,6937
312,6937,6937
322,6937,6937
332,6937,6937
342,6937,6937
352,6937,6937
362,6937,6937
372,6937,6937
382,6937,6937
392,6937,6937
402,6937,6937
412,6937,6937
422,6937,6937
432,6937,6937
442,6937,6937
452,6937,6937
462,6937,6937
472,6937,6937
482,6937,6937
492,6937,6937
502,6937,6937
512,6937,6937
522,6937,6937
532,6937,6937
542,6937,6937
552,6937,6937
562,6937,6937
572,6937,6937
582,6937,6937
592,6937,6937
602,6937,6937
612,6937,6937
622,6937,6937
632,6937,6937
642,6937,6937
652,6937,6937
662,6937,6937
672,6937,6937
682,6937,6937
692,6937,6937
692,6937,6937
100,6943,6943
138,6943,6943
138,6943,6943
138,6943,6943
142,6943,6943
180,6943,6943
180,6943,6943
180,6943,6943
180,6943,6943
218,6943,6943
218,6943,6943
218,6943,6943
222,6943,6943
261,6943,6943
261,6943,6943
261,6943,6943
261,6943,6943
299,6943,6943
299,6943,6943
299,6943,6943
303,6943,6943
341,6943,6943
341,6943,6943
341,6943,6943
341,6943,6943
379,6943,6943
379,6943,6943
379,6943,6943
383,6943,6943
421,6943,6943
421,6943,6943
421,6943,6943
421,6943,6943
459,6943,6943
459,6943,6943
459,6943,6943
463,6943,6943
501,6943,6943
501,6943,6943
501,6943,6943
501,6943,6943
539,6943,6943
539,6943,6943
539,6943,6943
543,6943,6943
581,6943,6943
581,6943,6943
581,6943,6943
581,6943,6943
620,6943,6943
620,6943,6943
620,6943,6943
624,6943,6943
662,6943,6943
662,6943,6943
662,6943,6943
662,6943,6943
700,6943,6943
700,6943,6943
700,6943,6943
138,6939,6939
138,6939,6939
138,6939,6939
142,6939,6939
180,6939,6939
180,6939,6939
180,6939,6939
180,6939,6939
218,6939,6939
218,6939,6939
218,6939,6939
222,6939,6939
261,6939,6939
261,6939,6939
261,6939,6939
261,6939,6939
299,6939,6939
299,6939,6939
299,6939,6939
303,6939,6939
341,6939,6939
341,6939,6939
341,6939,6939
341,6939,6939
379,6939,6939
379,6939,6939
379,6939,6939
383,6939,6939
421,6939,6939
421,6939,6939
421,6939,6939
421,6939,6939
459,6939,6939
459,6939,6939
459,6939,6939
463,6939,6939
501,6939,6939
501,6939,6939
501,6939,6939
501,6939,6939
539,6939,6939
539,6939,6939
539,6939,6939
543,6939,6939
581,6939,6939
581,6939,6939
581,6939,6939
581,6939,6939
620,6939,6939
620,6939,6939
620,6939,6939
624,6939,6939
662,6939,6939
662,6939,6939
662,6939,6939
662,6939,6939
700,6939,6939
700,6939,6939
700,6939,6939
100,6955,6955
139,6955,6955
139,6955,6955
139,6955,6955
143,6955,6955
181,6955,6955
181,6955,6955
181,6955,6955
181,6955,6955
220,6955,6955
220,6955,6955
220,6955,6955
224,6955,6955
262,6955,6955
262,6955,6955
262,6955,6955
262,6955,6955
301,6955,6955
301,6955,6955
301,6955,6955
305,6955,6955
343,6955,6955
343,6955,6955
343,6955,6955
343,6955,6955
382,6955,6955
382,6955,6955
382,6955,6955
386,6955,6955
424,6955,6955
424,6955,6955
424,6955,6955
424,6955,6955
463,6955,6955
463,6955,6955
463,6955,6955
467,6955,6955
505,6955,6955
505,6955,6955
505,6955,6955
505,6955,6955
544,6955,6955
544,6955,6955
544,6955,6955
548,6955,6955
587,6955,6955
587,6955,6955
587,6955,6955
587,6955,6955
625,6955,6955
625,6955,6955
625,6955,6955
629,6955,6955
668,6955,6955
668,6955,6955
