# Command line arguments:  -XX:+UseSerialGC -Xmx7g  Program arguments:  --manual_gc 

used memory, total memory, maximum memory
24,247,6929
88,247,6929
145,247,6929
204,431,6929
268,431,6929
347,760,6929
425,760,6929
453,760,6929
521,760,6929
581,1342,6929
722,1342,6929
919,1342,6929
825,1342,6929
995,1342,6929
887,1342,6929
1050,1342,6929
995,1342,6929
1164,1342,6929
1041,2379,6929
1224,2379,6929
1276,2379,6929
1328,2379,6929
1420,2379,6929
1511,2379,6929
1616,2379,6929
1616,2379,6929
1616,2379,6929
1616,2379,6929
1616,2379,6929
1616,2379,6929
1616,2379,6929
1367,2379,6929
1623,2379,6929
1784,2379,6929
1579,2379,6929
1997,2379,6929
1621,2379,6929
1765,2379,6929
1935,2379,6929
2145,2379,6929
1821,4202,6929
2138,4202,6929
2274,4202,6929
2562,4202,6929
2630,4202,6929
2665,4202,6929
2726,4202,6929
2795,4202,6929
2856,4202,6929
2897,4202,6929
2151,4202,6929
2400,4202,6929
2563,4202,6929
2657,4202,6929
2821,4202,6929
2984,4202,6929
3180,4202,6929
2502,4202,6929
2611,4202,6929
2677,4202,6929
2810,4202,6929
2981,4202,6929
3004,4202,6929
3006,4202,6929
3175,4202,6929
3397,4202,6929
3598,4202,6929
2859,4202,6929
3203,4202,6929
3535,4202,6929
3764,4202,6929
3825,4202,6929
3825,4202,6929
3825,4202,6929
3858,4202,6929
3866,4202,6929
3924,4202,6929
3213,6929,6929
3528,6929,6929
3803,6929,6929
4159,6929,6929
4553,6929,6929
4748,6929,6929
3751,6929,6929
4066,6929,6929
4383,6929,6929
4660,6929,6929
4858,6929,6929
371,6929,6929
371,6929,6929
371,6929,6929
371,6929,6929
381,6929,6929
391,6929,6929
401,6929,6929
411,6929,6929
421,6929,6929
431,6929,6929
441,6929,6929
443,6929,6929
451,6929,6929
461,6929,6929
471,6929,6929
481,6929,6929
491,6929,6929
501,6929,6929
511,6929,6929
521,6929,6929
531,6929,6929
541,6929,6929
551,6929,6929
561,6929,6929
571,6929,6929
581,6929,6929
591,6929,6929
601,6929,6929
611,6929,6929
621,6929,6929
631,6929,6929
641,6929,6929
651,6929,6929
661,6929,6929
671,6929,6929
681,6929,6929
691,6929,6929
701,6929,6929
711,6929,6929
721,6929,6929
731,6929,6929
741,6929,6929
751,6929,6929
761,6929,6929
771,6929,6929
781,6929,6929
791,6929,6929
801,6929,6929
811,6929,6929
821,6929,6929
831,6929,6929
841,6929,6929
851,6929,6929
861,6929,6929
871,6929,6929
881,6929,6929
891,6929,6929
901,6929,6929
911,6929,6929
921,6929,6929
133,6284,6929
133,6284,6929
133,6284,6929
133,6284,6929
141,6284,6929
151,6284,6929
161,6284,6929
171,6284,6929
181,6284,6929
191,6284,6929
201,6284,6929
211,6284,6929
221,6284,6929
