# Command line arguments:  -XX:+UseParallelGC -Xmx7g  Program arguments:  --manual_gc 

used memory, total memory, maximum memory
13,245,6372
128,309,6372
140,437,6372
325,437,6372
352,611,6372
414,938,6372
621,938,6372
476,1190,6372
675,1190,6372
876,1190,6372
638,1652,6372
859,1652,6372
1010,1652,6372
1173,1652,6372
1286,1652,6372
942,1959,6372
1135,1959,6372
1311,1959,6372
1486,1959,6372
1132,2324,6372
1185,2324,6372
1238,2324,6372
1343,2324,6372
1501,2324,6372
1659,2324,6372
1796,2324,6372
1816,2324,6372
1816,2324,6372
1820,2324,6372
1822,2324,6372
1843,2324,6372
2001,2324,6372
2053,2324,6372
1347,2864,6372
1791,2864,6372
2074,2864,6372
2178,2864,6372
2288,2864,6372
2366,2864,6372
1663,3770,6372
1840,3770,6372
2046,3770,6372
2308,3770,6372
2484,3770,6372
2543,3770,6372
2718,3770,6372
2835,3770,6372
2924,3770,6372
2983,3770,6372
3042,3770,6372
3070,3770,6372
2100,4286,6372
2334,4286,6372
2540,4286,6372
2657,4286,6372
2716,4286,6372
2892,4286,6372
3009,4286,6372
3154,4286,6372
3301,4286,6372
3301,4286,6372
3330,4286,6372
3330,4286,6372
3360,4286,6372
3360,4286,6372
3388,4286,6372
3447,4286,6372
2537,5303,6372
2699,5303,6372
2896,5303,6372
3212,5303,6372
3489,5303,6372
3726,5303,6372
3884,5303,6372
3963,5303,6372
4042,5303,6372
4042,5303,6372
4042,5303,6372
4121,5303,6372
4200,5303,6372
4358,5303,6372
3124,6013,6372
3400,6013,6372
3596,6013,6372
3832,6013,6372
4067,6013,6372
4302,6013,6372
4616,6013,6372
4851,6013,6372
4969,6013,6372
3714,6543,6543
3751,6543,6543
3878,6543,6543
3969,6543,6543
3969,6543,6543
4015,6543,6543
4060,6543,6543
4060,6543,6543
4070,6543,6543
4151,6543,6543
4427,6543,6543
4743,6543,6543
2,6612,6612
340,6612,6612
340,6612,6612
348,6612,6612
358,6612,6612
368,6612,6612
378,6612,6612
388,6612,6612
398,6612,6612
404,6612,6612
408,6612,6612
418,6612,6612
428,6612,6612
438,6612,6612
448,6612,6612
