# Command line arguments:  -XX:+UseG1GC -Xmx7g  Program arguments:  --manual_gc 

used memory, total memory, maximum memory
6,256,7168
151,256,7168
141,275,7168
225,337,7168
347,754,7168
366,1516,7168
483,1516,7168
661,1516,7168
864,1516,7168
562,1538,7168
750,1538,7168
969,1538,7168
772,1555,7168
958,1555,7168
878,1573,7168
1053,1573,7168
944,1592,7168
1045,1616,7168
1136,1706,7168
1167,1768,7168
1180,1780,7168
1204,1804,7168
1182,1811,7168
1253,1877,7168
1270,1920,7168
1272,1923,7168
1272,1923,7168
1277,1926,7168
1283,1932,7168
1283,1932,7168
1283,1932,7168
1251,2037,7168
1296,2037,7168
1406,2108,7168
1436,2216,7168
1507,2435,7168
1589,2435,7168
1636,2477,7168
1649,2489,7168
1657,2498,7168
1671,2510,7168
1672,2513,7168
1547,2541,7168
1563,2541,7168
1577,2541,7168
1584,2541,7168
1610,2541,7168
1726,2601,7168
1683,2758,7168
1848,2863,7168
2020,3040,7168
2089,3148,7168
2075,3188,7168
2119,3315,7168
2165,3438,7168
2315,3501,7168
2326,3510,7168
2368,3549,7168
2283,3575,7168
2318,3575,7168
2350,3584,7168
2397,3626,7168
2449,3674,7168
2291,3707,7168
2328,3707,7168
2390,3707,7168
2511,3785,7168
2492,3854,7168
2617,3995,7168
2754,4175,7168
2802,4271,7168
2922,4385,7168
2951,4466,7168
2993,4560,7168
3041,4692,7168
3208,4815,7168
3221,4827,7168
3117,4843,7168
3113,4997,7168
3213,5154,7168
3440,5205,7168
3519,5277,7168
3391,5303,7168
3450,5303,7168
3500,5318,7168
3451,5462,7168
3525,5625,7168
3777,5700,7168
3799,5785,7168
3914,5953,7168
4027,6118,7168
4117,6268,7168
4307,6449,7168
1,8,7168
255,377,7168
265,390,7168
275,403,7168
285,416,7168
287,419,7168
295,429,7168
305,442,7168
315,455,7168
325,468,7168
335,481,7168
345,494,7168
355,507,7168
365,520,7168
367,523,7168
375,533,7168
385,546,7168
395,559,7168
405,572,7168
415,585,7168
425,598,7168
425,598,7168
435,611,7168
445,624,7168
455,637,7168
465,650,7168
475,663,7168
485,676,7168
495,689,7168
505,702,7168
515,715,7168
525,728,7168
535,741,7168
545,754,7168
555,767,7168
565,780,7168
575,793,7168
577,796,7168
585,806,7168
595,819,7168
605,832,7168
615,845,7168
625,858,7168
635,871,7168
645,884,7168
655,897,7168
665,910,7168
675,923,7168
685,936,7168
695,949,7168
705,962,7168
715,975,7168
725,988,7168
735,1001,7168
745,1014,7168
755,1027,7168
765,1040,7168
775,1053,7168
785,1066,7168
795,1079,7168
805,1092,7168
815,1105,7168
825,1118,7168
835,1131,7168
845,1144,7168
855,1157,7168
865,1170,7168
875,1183,7168
885,1196,7168
895,1209,7168
905,1222,7168
915,1235,7168
925,1248,7168
935,1261,7168
945,1274,7168
951,1282,7168
955,1287,7168
965,1300,7168
975,1313,7168
985,1326,7168
995,1339,7168
1005,1352,7168
1015,1365,7168
1025,1378,7168
1035,1391,7168
1045,1404,7168
1055,1417,7168
1065,1430,7168
1075,1443,7168
1085,1456,7168
1095,1469,7168
1105,1482,7168
1115,1495,7168
1125,1508,7168
1135,1521,7168
1145,1534,7168
1155,1547,7168
1165,1560,7168
1175,1573,7168
1185,1586,7168
1195,1599,7168
1205,1612,7168
1215,1625,7168
1225,1638,7168
1235,1651,7168
1245,1664,7168
1255,1677,7168
1265,1690,7168
1275,1703,7168
1285,1716,7168
1295,1729,7168
1305,1742,7168
1315,1755,7168
1325,1768,7168
1335,1781,7168
1345,1794,7168
1355,1807,7168
100,2891,7168
111,2891,7168
121,2891,7168
131,2891,7168
141,2891,7168
151,2891,7168
161,2891,7168
163,2891,7168
171,2891,7168
181,2891,7168
191,2891,7168
201,2891,7168
211,2891,7168
221,2891,7168
231,2891,7168
241,2891,7168
251,2891,7168
261,2891,7168
271,2891,7168
281,2891,7168
291,2891,7168
301,2891,7168
311,2891,7168
321,2891,7168
331,2891,7168
341,2891,7168
351,2891,7168
357,2891,7168
361,2891,7168
371,2891,7168
381,2891,7168
391,2891,7168
401,2891,7168
411,2891,7168
421,2891,7168
431,2891,7168
441,2891,7168
451,2891,7168
461,2891,7168
471,2891,7168
481,2891,7168
491,2891,7168
501,2891,7168
511,2891,7168
521,2891,7168
531,2891,7168
541,2891,7168
551,2891,7168
561,2891,7168
571,2891,7168
581,2891,7168
591,2891,7168
601,2891,7168
611,2891,7168
621,2891,7168
631,2891,7168
641,2891,7168
651,2891,7168
661,2891,7168
671,2891,7168
681,2891,7168
691,2891,7168
701,2891,7168
711,2891,7168
721,2891,7168
731,2891,7168
741,2891,7168
751,2891,7168
761,2891,7168
771,2891,7168
781,2891,7168
791,2891,7168
801,2891,7168
811,2891,7168
821,2891,7168
831,2891,7168
841,2891,7168
851,2891,7168
861,2891,7168
871,2891,7168
881,2891,7168
891,2891,7168
901,2891,7168
911,2891,7168
921,2891,7168
931,2891,7168
941,2891,7168
951,2891,7168
961,2891,7168
971,2891,7168
981,2891,7168
111,2891,7168
121,2891,7168
127,2891,7168
131,2891,7168
141,2891,7168
151,2891,7168
161,2891,7168
171,2891,7168
181,2891,7168
191,2891,7168
201,2891,7168
211,2891,7168
221,2891,7168
231,2891,7168
241,2891,7168
251,2891,7168
261,2891,7168
271,2891,7168
281,2891,7168
291,2891,7168
301,2891,7168
311,2891,7168
321,2891,7168
331,2891,7168
341,2891,7168
351,2891,7168
361,2891,7168
371,2891,7168
381,2891,7168
391,2891,7168
401,2891,7168
411,2891,7168
421,2891,7168
431,2891,7168
441,2891,7168
451,2891,7168
461,2891,7168
471,2891,7168
481,2891,7168
491,2891,7168
501,2891,7168
511,2891,7168
521,2891,7168
531,2891,7168
541,2891,7168
551,2891,7168
561,2891,7168
571,2891,7168
581,2891,7168
591,2891,7168
601,2891,7168
611,2891,7168
621,2891,7168
631,2891,7168
641,2891,7168
651,2891,7168
661,2891,7168
671,2891,7168
681,2891,7168
691,2891,7168
701,2891,7168
711,2891,7168
721,2891,7168
731,2891,7168
741,2891,7168
751,2891,7168
761,2891,7168
771,2891,7168
781,2891,7168
791,2891,7168
801,2891,7168
811,2891,7168
821,2891,7168
831,2891,7168
841,2891,7168
851,2891,7168
861,2891,7168
871,2891,7168
881,2891,7168
891,2891,7168
901,2891,7168
911,2891,7168
921,2891,7168
931,2891,7168
941,2891,7168
951,2891,7168
961,2891,7168
971,2891,7168
981,2891,7168
991,2891,7168
1001,2891,7168
1011,2891,7168
1021,2891,7168
1031,2891,7168
1041,2891,7168
1051,2891,7168
1061,2891,7168
1071,2891,7168
1081,2891,7168
1091,2891,7168
1101,2891,7168
1111,2891,7168
1121,2891,7168
1127,2891,7168
1131,2891,7168
1141,2891,7168
1151,2891,7168
1161,2891,7168
1171,2891,7168
1181,2891,7168
1191,2891,7168
1201,2891,7168
1211,2891,7168
1221,2891,7168
1231,2891,7168
1241,2891,7168
