# Command line arguments:  -Xmx7g  Program arguments:  --manual_gc --:object_activity 

used memory, total memory, maximum memory
5,245,6372
118,309,6372
183,437,6372
209,616,6372
405,616,6372
448,927,6372
407,1186,6372
723,1186,6372
657,1645,6372
959,1645,6372
1215,1645,6372
795,1948,6372
1090,1948,6372
1329,1948,6372
1025,2547,6372
1271,2547,6372
1500,2547,6372
1857,2547,6372
1352,2959,6372
1764,2959,6372
2136,2959,6372
1764,3665,6372
2158,3665,6372
2520,3665,6372
2585,3665,6372
2618,3665,6372
2618,3665,6372
2654,3665,6372
2717,3665,6372
2720,3665,6372
2783,3665,6372
2815,3665,6372
2848,3665,6372
2885,3665,6372
3013,3665,6372
2094,4254,6372
2316,4254,6372
2542,4254,6372
2673,4254,6372
2739,4254,6372
2771,4254,6372
2837,4254,6372
2870,4254,6372
2870,4254,6372
2935,4254,6372
3072,4254,6372
3296,4254,6372
3361,4254,6372
2513,5296,6372
2640,5296,6372
2731,5296,6372
2967,5296,6372
3143,5296,6372
3234,5296,6372
3234,5296,6372
3326,5296,6372
3600,5296,6372
3829,5296,6372
3920,5296,6372
3966,5296,6372
4015,5296,6372
4057,5296,6372
4057,5296,6372
4103,5296,6372
4103,5296,6372
4149,5296,6372
4240,5296,6372
4242,5296,6372
4286,5296,6372
4286,5296,6372
4286,5296,6372
4288,5296,6372
4332,5296,6372
4379,5296,6372
3103,6038,6372
3463,6038,6372
3819,6038,6372
4136,6038,6372
4492,6038,6372
4770,6038,6372
4888,6038,6372
4888,6038,6372
3696,6685,6685
3892,6685,6685
3892,6685,6685
3892,6685,6685
3892,6685,6685
3933,6685,6685
4128,6685,6685
4404,6685,6685
4718,6685,6685
5032,6685,6685
159,6722,6722
355,6722,6722
355,6722,6722
355,6722,6722
359,6722,6722
400,6722,6722
400,6722,6722
400,6722,6722
400,6722,6722
408,6722,6722
418,6722,6722
428,6722,6722
438,6722,6722
448,6722,6722
458,6722,6722
468,6722,6722
478,6722,6722
488,6722,6722
498,6722,6722
508,6722,6722
518,6722,6722
528,6722,6722
538,6722,6722
548,6722,6722
558,6722,6722
568,6722,6722
578,6722,6722
588,6722,6722
598,6722,6722
608,6722,6722
618,6722,6722
628,6722,6722
638,6722,6722
648,6722,6722
658,6722,6722
668,6722,6722
678,6722,6722
688,6722,6722
698,6722,6722
708,6722,6722
718,6722,6722
728,6722,6722
738,6722,6722
748,6722,6722
758,6722,6722
768,6722,6722
778,6722,6722
788,6722,6722
798,6722,6722
808,6722,6722
818,6722,6722
828,6722,6722
838,6722,6722
848,6722,6722
858,6722,6722
868,6722,6722
878,6722,6722
888,6722,6722
898,6722,6722
908,6722,6722
100,6672,6672
136,6672,6672
136,6672,6672
136,6672,6672
144,6672,6672
152,6672,6672
162,6672,6672
172,6672,6672
182,6672,6672
192,6672,6672
202,6672,6672
212,6672,6672
222,6672,6672
232,6672,6672
242,6672,6672
252,6672,6672
262,6672,6672
272,6672,6672
282,6672,6672
292,6672,6672
302,6672,6672
312,6672,6672
322,6672,6672
332,6672,6672
342,6672,6672
352,6672,6672
362,6672,6672
372,6672,6672
382,6672,6672
392,6672,6672
402,6672,6672
412,6672,6672
422,6672,6672
432,6672,6672
442,6672,6672
452,6672,6672
462,6672,6672
472,6672,6672
482,6672,6672
492,6672,6672
502,6672,6672
512,6672,6672
522,6672,6672
532,6672,6672
542,6672,6672
552,6672,6672
562,6672,6672
572,6672,6672
582,6672,6672
592,6672,6672
602,6672,6672
612,6672,6672
622,6672,6672
651,6672,6672
661,6672,6672
671,6672,6672
681,6672,6672
691,6672,6672
701,6672,6672
711,6672,6672
100,6427,6427
136,6427,6427
136,6427,6427
136,6427,6427
144,6427,6427
152,6427,6427
162,6427,6427
191,6427,6427
201,6427,6427
211,6427,6427
221,6427,6427
231,6427,6427
241,6427,6427
251,6427,6427
261,6427,6427
271,6427,6427
281,6427,6427
291,6427,6427
301,6427,6427
311,6427,6427
321,6427,6427
331,6427,6427
341,6427,6427
351,6427,6427
361,6427,6427
371,6427,6427
381,6427,6427
391,6427,6427
401,6427,6427
411,6427,6427
421,6427,6427
431,6427,6427
441,6427,6427
451,6427,6427
461,6427,6427
471,6427,6427
481,6427,6427
491,6427,6427
501,6427,6427
511,6427,6427
521,6427,6427
531,6427,6427
541,6427,6427
551,6427,6427
561,6427,6427
571,6427,6427
581,6427,6427
591,6427,6427
601,6427,6427
611,6427,6427
621,6427,6427
631,6427,6427
641,6427,6427
651,6427,6427
661,6427,6427
671,6427,6427
681,6427,6427
691,6427,6427
701,6427,6427
711,6427,6427
136,6699,6699
136,6699,6699
136,6699,6699
172,6699,6699
172,6699,6699
172,6699,6699
172,6699,6699
212,6699,6699
212,6699,6699
212,6699,6699
212,6699,6699
252,6699,6699
252,6699,6699
252,6699,6699
252,6699,6699
292,6699,6699
292,6699,6699
292,6699,6699
292,6699,6699
332,6699,6699
332,6699,6699
332,6699,6699
332,6699,6699
372,6699,6699
372,6699,6699
372,6699,6699
372,6699,6699
412,6699,6699
412,6699,6699
412,6699,6699
412,6699,6699
452,6699,6699
452,6699,6699
452,6699,6699
452,6699,6699
492,6699,6699
492,6699,6699
492,6699,6699
492,6699,6699
532,6699,6699
532,6699,6699
532,6699,6699
532,6699,6699
572,6699,6699
572,6699,6699
572,6699,6699
572,6699,6699
612,6699,6699
612,6699,6699
612,6699,6699
612,6699,6699
652,6699,6699
652,6699,6699
652,6699,6699
652,6699,6699
692,6699,6699
692,6699,6699
692,6699,6699
692,6699,6699
732,6699,6699
136,6696,6696
