# Command line arguments:  -XX:+UseParallelGC -Xmx7g  Program arguments:  --manual_gc --:object_activity 

used memory, total memory, maximum memory
5,245,6372
128,309,6372
197,437,6372
236,613,6372
421,613,6372
475,932,6372
447,1195,6372
764,1195,6372
696,1632,6372
991,1632,6372
1225,1632,6372
857,1930,6372
1119,1930,6372
1407,1930,6372
1132,2492,6372
1341,2492,6372
1575,2492,6372
1862,2492,6372
1463,2886,6372
1840,2886,6372
2255,2886,6372
1945,3639,6372
2337,3639,6372
2631,3639,6372
2664,3639,6372
2696,3639,6372
2696,3639,6372
2762,3639,6372
2862,3639,6372
2925,3639,6372
2958,3639,6372
2048,4172,6372
2202,4172,6372
2366,4172,6372
2529,4172,6372
2660,4172,6372
2660,4172,6372
2664,4172,6372
2758,4172,6372
2790,4172,6372
2823,4172,6372
2888,4172,6372
3052,4172,6372
3248,4172,6372
3280,4172,6372
3411,4172,6372
3411,4172,6372
3411,4172,6372
2470,5171,6372
2748,5171,6372
2986,5171,6372
3180,5171,6372
3180,5171,6372
3180,5171,6372
3455,5171,6372
3730,5171,6372
3848,5171,6372
3887,5171,6372
3968,5171,6372
4045,5171,6372
4045,5171,6372
4084,5171,6372
4084,5171,6372
4123,5171,6372
4163,5171,6372
4163,5171,6372
3039,6073,6372
3400,6073,6372
3446,6073,6372
3492,6073,6372
3538,6073,6372
3630,6073,6372
3768,6073,6372
3998,6073,6372
4319,6073,6372
4641,6073,6372
5009,6073,6372
3866,7151,7151
4023,7151,7151
4023,7151,7151
4391,7151,7151
4548,7151,7151
4705,7151,7151
4863,7151,7151
4863,7151,7151
4863,7151,7151
5020,7151,7151
2,7151,7151
142,7151,7151
188,7151,7151
371,7151,7151
371,7151,7151
371,7151,7151
371,7151,7151
371,7151,7151
379,7151,7151
389,7151,7151
399,7151,7151
409,7151,7151
415,7151,7151
419,7151,7151
429,7151,7151
439,7151,7151
449,7151,7151
459,7151,7151
469,7151,7151
479,7151,7151
489,7151,7151
499,7151,7151
509,7151,7151
519,7151,7151
529,7151,7151
539,7151,7151
549,7151,7151
559,7151,7151
569,7151,7151
579,7151,7151
589,7151,7151
599,7151,7151
609,7151,7151
619,7151,7151
629,7151,7151
639,7151,7151
649,7151,7151
659,7151,7151
669,7151,7151
679,7151,7151
689,7151,7151
699,7151,7151
709,7151,7151
719,7151,7151
729,7151,7151
739,7151,7151
749,7151,7151
759,7151,7151
769,7151,7151
779,7151,7151
789,7151,7151
799,7151,7151
809,7151,7151
819,7151,7151
829,7151,7151
839,7151,7151
849,7151,7151
859,7151,7151
859,7151,7151
869,7151,7151
146,7151,7151
146,7151,7151
146,7151,7151
146,7151,7151
146,7151,7151
154,7151,7151
162,7151,7151
172,7151,7151
182,7151,7151
192,7151,7151
202,7151,7151
212,7151,7151
222,7151,7151
232,7151,7151
242,7151,7151
252,7151,7151
262,7151,7151
272,7151,7151
282,7151,7151
292,7151,7151
302,7151,7151
312,7151,7151
322,7151,7151
332,7151,7151
