# Command line arguments:  -XX:+UseG1GC -Xmx7g  Program arguments:  --manual_gc --:object_activity 

used memory, total memory, maximum memory
1,256,7168
135,256,7168
175,275,7168
215,344,7168
282,425,7168
380,930,7168
638,947,7168
643,959,7168
595,991,7168
686,1036,7168
707,1181,7168
787,1255,7168
836,1406,7168
998,1516,7168
1089,1636,7168
1073,1732,7168
1170,1829,7168
1327,1996,7168
1367,2113,7168
1537,2305,7168
1572,2446,7168
1776,2666,7168
1759,2697,7168
1780,2715,7168
1799,2733,7168
1815,2745,7168
1821,2754,7168
1705,2802,7168
1802,2802,7168
1845,2820,7168
1884,2856,7168
1940,2907,7168
1780,2927,7168
1848,2927,7168
1877,2927,7168
2007,3017,7168
1881,3044,7168
1959,3044,7168
2102,3155,7168
2179,3279,7168
2285,3427,7168
2294,3496,7168
2334,3532,7168
2353,3550,7168
2347,3615,7168
2313,3772,7168
2511,3820,7168
2422,3945,7168
2541,4098,7168
2758,4176,7168
2780,4197,7168
2794,4276,7168
2841,4318,7168
2722,4439,7168
2804,4439,7168
2844,4439,7168
2937,4475,7168
3056,4583,7168
2975,4602,7168
3132,4791,7168
3280,4993,7168
3269,5131,7168
3388,5164,7168
3336,5331,7168
3518,5511,7168
3543,5710,7168
3752,5722,7168
3820,5785,7168
3879,5839,7168
3897,5854,7168
3913,5869,7168
3934,5891,7168
3732,5906,7168
3815,6124,7168
4208,6304,7168
4190,6374,7168
4199,6383,7168
4207,6389,7168
4220,6401,7168
4326,6497,7168
3,8,7168
255,377,7168
265,390,7168
275,403,7168
285,416,7168
295,429,7168
305,442,7168
305,442,7168
315,455,7168
325,468,7168
335,481,7168
345,494,7168
345,494,7168
355,507,7168
365,520,7168
375,533,7168
385,546,7168
395,559,7168
405,572,7168
415,585,7168
425,598,7168
435,611,7168
445,624,7168
455,637,7168
465,650,7168
475,663,7168
485,676,7168
495,689,7168
505,702,7168
515,715,7168
525,728,7168
535,741,7168
545,754,7168
545,754,7168
555,767,7168
565,780,7168
575,793,7168
585,806,7168
595,819,7168
605,832,7168
615,845,7168
625,858,7168
635,871,7168
645,884,7168
655,897,7168
665,910,7168
675,923,7168
685,936,7168
695,949,7168
705,962,7168
715,975,7168
725,988,7168
735,1001,7168
745,1014,7168
755,1027,7168
765,1040,7168
775,1053,7168
785,1066,7168
795,1079,7168
805,1092,7168
815,1105,7168
825,1118,7168
835,1131,7168
845,1144,7168
855,1157,7168
865,1170,7168
875,1183,7168
885,1196,7168
895,1209,7168
905,1222,7168
915,1235,7168
925,1248,7168
935,1261,7168
945,1274,7168
955,1287,7168
965,1300,7168
975,1313,7168
985,1326,7168
995,1339,7168
1005,1352,7168
1015,1365,7168
1025,1378,7168
1035,1391,7168
1045,1404,7168
1055,1417,7168
1065,1430,7168
1075,1443,7168
1085,1456,7168
1095,1469,7168
1105,1482,7168
1115,1495,7168
1125,1508,7168
1135,1521,7168
1145,1534,7168
1155,1547,7168
1165,1560,7168
1175,1573,7168
1185,1586,7168
1195,1599,7168
1205,1612,7168
1215,1625,7168
1225,1638,7168
1235,1651,7168
1245,1664,7168
1255,1677,7168
1265,1690,7168
1275,1703,7168
1285,1716,7168
1295,1729,7168
1305,1742,7168
1315,1755,7168
1325,1768,7168
1335,1781,7168
1345,1794,7168
1355,1807,7168
109,2887,7168
119,2887,7168
129,2887,7168
139,2887,7168
149,2887,7168
159,2887,7168
169,2887,7168
179,2887,7168
189,2887,7168
191,2887,7168
199,2887,7168
209,2887,7168
219,2887,7168
229,2887,7168
239,2887,7168
249,2887,7168
259,2887,7168
269,2887,7168
279,2887,7168
289,2887,7168
299,2887,7168
309,2887,7168
319,2887,7168
329,2887,7168
339,2887,7168
349,2887,7168
359,2887,7168
369,2887,7168
379,2887,7168
389,2887,7168
399,2887,7168
409,2887,7168
419,2887,7168
429,2887,7168
439,2887,7168
449,2887,7168
459,2887,7168
469,2887,7168
479,2887,7168
489,2887,7168
499,2887,7168
509,2887,7168
519,2887,7168
529,2887,7168
539,2887,7168
549,2887,7168
559,2887,7168
569,2887,7168
579,2887,7168
589,2887,7168
599,2887,7168
609,2887,7168
619,2887,7168
629,2887,7168
639,2887,7168
649,2887,7168
659,2887,7168
669,2887,7168
679,2887,7168
689,2887,7168
699,2887,7168
709,2887,7168
719,2887,7168
729,2887,7168
739,2887,7168
749,2887,7168
759,2887,7168
769,2887,7168
779,2887,7168
789,2887,7168
799,2887,7168
809,2887,7168
819,2887,7168
829,2887,7168
839,2887,7168
849,2887,7168
859,2887,7168
869,2887,7168
879,2887,7168
889,2887,7168
899,2887,7168
909,2887,7168
919,2887,7168
929,2887,7168
939,2887,7168
949,2887,7168
959,2887,7168
969,2887,7168
979,2887,7168
981,2887,7168
108,2887,7168
119,2887,7168
129,2887,7168
139,2887,7168
149,2887,7168
159,2887,7168
169,2887,7168
179,2887,7168
189,2887,7168
199,2887,7168
209,2887,7168
219,2887,7168
229,2887,7168
239,2887,7168
249,2887,7168
259,2887,7168
269,2887,7168
279,2887,7168
289,2887,7168
299,2887,7168
309,2887,7168
319,2887,7168
329,2887,7168
339,2887,7168
349,2887,7168
359,2887,7168
369,2887,7168
379,2887,7168
389,2887,7168
399,2887,7168
409,2887,7168
419,2887,7168
429,2887,7168
439,2887,7168
449,2887,7168
459,2887,7168
469,2887,7168
479,2887,7168
489,2887,7168
499,2887,7168
509,2887,7168
519,2887,7168
529,2887,7168
539,2887,7168
549,2887,7168
559,2887,7168
569,2887,7168
579,2887,7168
589,2887,7168
599,2887,7168
609,2887,7168
619,2887,7168
629,2887,7168
639,2887,7168
649,2887,7168
659,2887,7168
669,2887,7168
679,2887,7168
689,2887,7168
699,2887,7168
709,2887,7168
719,2887,7168
729,2887,7168
739,2887,7168
749,2887,7168
759,2887,7168
769,2887,7168
779,2887,7168
789,2887,7168
799,2887,7168
809,2887,7168
819,2887,7168
829,2887,7168
839,2887,7168
849,2887,7168
859,2887,7168
869,2887,7168
879,2887,7168
889,2887,7168
899,2887,7168
909,2887,7168
919,2887,7168
929,2887,7168
939,2887,7168
949,2887,7168
959,2887,7168
969,2887,7168
979,2887,7168
989,2887,7168
999,2887,7168
1009,2887,7168
1019,2887,7168
1029,2887,7168
1039,2887,7168
1049,2887,7168
1059,2887,7168
1069,2887,7168
1079,2887,7168
1089,2887,7168
1099,2887,7168
1109,2887,7168
1119,2887,7168
1129,2887,7168
1139,2887,7168
1149,2887,7168
1159,2887,7168
1169,2887,7168
1179,2887,7168
1189,2887,7168
1199,2887,7168
