# Command line arguments:  -Xmx7g 

used memory, total memory, maximum memory
5,245,6372
169,437,6372
397,623,6372
619,910,6372
743,1196,6372
778,1580,6372
1220,1580,6372
1117,1852,6372
1025,2372,6372
1444,2372,6372
1863,2372,6372
1492,2729,6372
1725,2729,6372
1746,2729,6372
1771,2729,6372
1883,2729,6372
2065,2729,6372
1523,3459,6372
1743,3459,6372
1980,3459,6372
2244,3459,6372
2560,3459,6372
2824,3459,6372
1919,3952,6372
2086,3952,6372
2244,3952,6372
2376,3952,6372
2455,3952,6372
2534,3952,6372
2534,3952,6372
2560,3952,6372
2666,3952,6372
2850,3952,6372
3008,3952,6372
3140,3952,6372
1250,5018,6372
2590,5018,6372
2748,5018,6372
2905,5018,6372
3063,5018,6372
3221,5018,6372
3221,5018,6372
3221,5018,6372
3261,5018,6372
3458,5018,6372
3616,5018,6372
3655,5018,6372
3655,5018,6372
3813,5018,6372
3892,5018,6372
3892,5018,6372
3892,5018,6372
2888,5774,6372
3104,5774,6372
3287,5774,6372
3478,5774,6372
3607,5774,6372
3659,5774,6372
3699,5774,6372
3699,5774,6372
3701,5774,6372
3836,5774,6372
3928,5774,6372
4157,5774,6372
4202,5774,6372
4202,5774,6372
4202,5774,6372
4248,5774,6372
4523,5774,6372
4709,5774,6372
3476,6932,6932
3575,6932,6932
3835,6932,6932
3991,6932,6932
4095,6932,6932
4251,6932,6932
4453,6932,6932
4661,6932,6932
4661,6932,6932
4661,6932,6932
4663,6932,6932
4713,6932,6932
4765,6932,6932
4869,6932,6932
5129,6932,6932
5413,6932,6932
5517,6932,6932
5673,6932,6932
5725,6932,6932
5829,6932,6932
5843,6932,6932
101,3711,6372
148,3711,6372
148,3711,6372
148,3711,6372
148,3711,6372
148,3711,6372
156,3711,6372
203,3711,6372
203,3711,6372
203,3711,6372
203,3711,6372
207,3711,6372
253,3711,6372
253,3711,6372
253,3711,6372
253,3711,6372
257,3711,6372
304,3711,6372
304,3711,6372
304,3711,6372
304,3711,6372
308,3711,6372
355,3711,6372
355,3711,6372
355,3711,6372
355,3711,6372
359,3711,6372
405,3711,6372
405,3711,6372
405,3711,6372
405,3711,6372
409,3711,6372
456,3711,6372
456,3711,6372
456,3711,6372
456,3711,6372
460,3711,6372
507,3711,6372
507,3711,6372
507,3711,6372
507,3711,6372
511,3711,6372
557,3711,6372
557,3711,6372
557,3711,6372
557,3711,6372
561,3711,6372
608,3711,6372
608,3711,6372
608,3711,6372
608,3711,6372
612,3711,6372
659,3711,6372
659,3711,6372
659,3711,6372
659,3711,6372
663,3711,6372
709,3711,6372
709,3711,6372
709,3711,6372
709,3711,6372
709,3711,6372
713,3711,6372
760,3711,6372
760,3711,6372
760,3711,6372
760,3711,6372
764,3711,6372
811,3711,6372
811,3711,6372
811,3711,6372
811,3711,6372
815,3711,6372
861,3711,6372
861,3711,6372
861,3711,6372
861,3711,6372
865,3711,6372
912,3711,6372
912,3711,6372
912,3711,6372
912,3711,6372
916,3711,6372
962,3711,6372
962,3711,6372
962,3711,6372
962,3711,6372
966,3711,6372
1013,3711,6372
1013,3711,6372
1013,3711,6372
1013,3711,6372
1017,3711,6372
1064,3711,6372
1064,3711,6372
1064,3711,6372
1064,3711,6372
1068,3711,6372
1114,3711,6372
1114,3711,6372
1114,3711,6372
1114,3711,6372
1118,3711,6372
1165,3711,6372
1165,3711,6372
1165,3711,6372
1165,3711,6372
1169,3711,6372
1216,3711,6372
1216,3711,6372
1216,3711,6372
1216,3711,6372
1216,3711,6372
1220,3711,6372
1266,3711,6372
1266,3711,6372
1266,3711,6372
1266,3711,6372
1270,3711,6372
1317,3711,6372
1332,3711,6372
1332,3711,6372
1332,3711,6372
1336,3711,6372
1383,3711,6372
1383,3711,6372
1383,3711,6372
1383,3711,6372
1387,3711,6372
1434,3711,6372
1434,3711,6372
1434,3711,6372
1434,3711,6372
1438,3711,6372
1484,3711,6372
1484,3711,6372
1484,3711,6372
1484,3711,6372
1488,3711,6372
1535,3711,6372
1535,3711,6372
1535,3711,6372
1535,3711,6372
1539,3711,6372
1586,3711,6372
1586,3711,6372
1586,3711,6372
1586,3711,6372
1590,3711,6372
1636,3711,6372
1636,3711,6372
1636,3711,6372
1636,3711,6372
1640,3711,6372
1687,3711,6372
1687,3711,6372
1687,3711,6372
1687,3711,6372
1691,3711,6372
1738,3711,6372
1738,3711,6372
1738,3711,6372
1738,3711,6372
1738,3711,6372
1742,3711,6372
1788,3711,6372
1788,3711,6372
1788,3711,6372
1788,3711,6372
1792,3711,6372
1839,3711,6372
1839,3711,6372
1839,3711,6372
1839,3711,6372
1843,3711,6372
1890,3711,6372
1890,3711,6372
1890,3711,6372
1890,3711,6372
1894,3711,6372
1940,3711,6372
1940,3711,6372
1940,3711,6372
1940,3711,6372
1944,3711,6372
1991,3711,6372
1991,3711,6372
1991,3711,6372
1991,3711,6372
1995,3711,6372
2041,3711,6372
2041,3711,6372
2041,3711,6372
2041,3711,6372
2045,3711,6372
2092,3711,6372
2092,3711,6372
2092,3711,6372
2092,3711,6372
2096,3711,6372
2143,3711,6372
2143,3711,6372
2143,3711,6372
2143,3711,6372
2147,3711,6372
2193,3711,6372
2193,3711,6372
2193,3711,6372
2193,3711,6372
2197,3711,6372
2244,3711,6372
2244,3711,6372
2244,3711,6372
2244,3711,6372
2248,3711,6372
2295,3711,6372
2295,3711,6372
2295,3711,6372
2295,3711,6372
2295,3711,6372
2299,3711,6372
2345,3711,6372
2345,3711,6372
2345,3711,6372
2345,3711,6372
2349,3711,6372
2396,3711,6372
2396,3711,6372
2396,3711,6372
2396,3711,6372
2400,3711,6372
2447,3711,6372
2447,3711,6372
2447,3711,6372
2447,3711,6372
2451,3711,6372
2467,3711,6372
112,3711,6372
158,3711,6372
158,3711,6372
158,3711,6372
158,3711,6372
162,3711,6372
