# Command line arguments:  -XX:+UseSerialGC -Xmx7g 

used memory, total memory, maximum memory
5,247,6929
165,247,6929
300,431,6929
466,760,6929
571,760,6929
647,1342,6929
827,1342,6929
959,1342,6929
1055,1342,6929
1109,2370,6929
1553,2370,6929
1214,2370,6929
1482,2370,6929
1581,2370,6929
1647,2370,6929
1842,2370,6929
1559,2370,6929
1834,2370,6929
1614,2370,6929
2009,2370,6929
2205,2370,6929
1812,4182,6929
2055,4182,6929
2123,4182,6929
2186,4182,6929
2251,4182,6929
2260,4182,6929
2316,4182,6929
2419,4182,6929
2642,4182,6929
2708,4182,6929
2142,4182,6929
2350,4182,6929
2518,4182,6929
2678,4182,6929
2710,4182,6929
2751,4182,6929
2841,4182,6929
3005,4182,6929
3169,4182,6929
3202,4182,6929
3202,4182,6929
2494,4182,6929
2706,4182,6929
2898,4182,6929
3070,4182,6929
3161,4182,6929
3256,4182,6929
3256,4182,6929
3256,4182,6929
3264,4182,6929
3289,4182,6929
3354,4182,6929
3582,4182,6929
2848,4182,6929
3076,4182,6929
3258,4182,6929
3286,4182,6929
3311,4182,6929
3390,4182,6929
3520,4182,6929
3757,4182,6929
3991,4182,6929
3201,6929,6929
3507,6929,6929
3689,6929,6929
3826,6929,6929
3826,6929,6929
3826,6929,6929
3826,6929,6929
3832,6929,6929
3872,6929,6929
4055,6929,6929
4334,6929,6929
4557,6929,6929
4785,6929,6929
4876,6929,6929
4968,6929,6929
3743,6929,6929
4100,6929,6929
4452,6929,6929
4766,6929,6929
5118,6929,6929
5236,6929,6929
5244,6929,6929
5252,6929,6929
5262,6929,6929
5272,6929,6929
5282,6929,6929
5292,6929,6929
5302,6929,6929
5312,6929,6929
5322,6929,6929
5332,6929,6929
5342,6929,6929
5352,6929,6929
5362,6929,6929
5372,6929,6929
5382,6929,6929
5392,6929,6929
5402,6929,6929
5412,6929,6929
5422,6929,6929
5432,6929,6929
5442,6929,6929
5452,6929,6929
5462,6929,6929
5472,6929,6929
5482,6929,6929
5492,6929,6929
5502,6929,6929
5512,6929,6929
5522,6929,6929
5532,6929,6929
5542,6929,6929
5552,6929,6929
5562,6929,6929
5572,6929,6929
5582,6929,6929
5592,6929,6929
5602,6929,6929
5612,6929,6929
5622,6929,6929
5632,6929,6929
5642,6929,6929
5648,6929,6929
5652,6929,6929
4198,6929,6929
4235,6929,6929
4235,6929,6929
4235,6929,6929
4239,6929,6929
4247,6929,6929
4257,6929,6929
4267,6929,6929
4277,6929,6929
4287,6929,6929
4297,6929,6929
4307,6929,6929
4317,6929,6929
4327,6929,6929
4337,6929,6929
4347,6929,6929
4357,6929,6929
4367,6929,6929
4377,6929,6929
4387,6929,6929
4397,6929,6929
4407,6929,6929
4417,6929,6929
4427,6929,6929
4437,6929,6929
4447,6929,6929
4457,6929,6929
4467,6929,6929
4477,6929,6929
4487,6929,6929
4497,6929,6929
4507,6929,6929
4517,6929,6929
4527,6929,6929
4537,6929,6929
4547,6929,6929
4557,6929,6929
4567,6929,6929
4577,6929,6929
4587,6929,6929
4597,6929,6929
4607,6929,6929
4617,6929,6929
4627,6929,6929
4637,6929,6929
4647,6929,6929
4658,6929,6929
4668,6929,6929
4678,6929,6929
4688,6929,6929
4698,6929,6929
4708,6929,6929
4718,6929,6929
4728,6929,6929
4738,6929,6929
4748,6929,6929
4758,6929,6929
4768,6929,6929
4778,6929,6929
4788,6929,6929
4798,6929,6929
4808,6929,6929
4818,6929,6929
4828,6929,6929
4838,6929,6929
4848,6929,6929
4858,6929,6929
4868,6929,6929
4870,6929,6929
4878,6929,6929
