# Command line arguments:  -XX:+UseParallelGC -Xmx7g 

used memory, total memory, maximum memory
5,245,6372
162,437,6372
414,620,6372
657,815,6372
748,1150,6372
807,1631,6372
1275,1631,6372
1138,1932,6372
1005,2482,6372
1462,2482,6372
1915,2482,6372
1311,2859,6372
1668,2859,6372
1807,2859,6372
1826,2859,6372
1985,2859,6372
2222,2859,6372
1614,3666,6372
1979,3666,6372
2289,3666,6372
2472,3666,6372
2622,3666,6372
2714,3666,6372
2776,3666,6372
2868,3666,6372
2960,3666,6372
2054,4270,6372
2251,4270,6372
2450,4270,6372
2579,4270,6372
2645,4270,6372
2678,4270,6372
2711,4270,6372
2809,4270,6372
2910,4270,6372
3041,4270,6372
3072,4270,6372
3302,4270,6372
3467,4270,6372
2510,5397,6372
2737,5397,6372
2877,5397,6372
2921,5397,6372
3013,5397,6372
3153,5397,6372
3289,5397,6372
3427,5397,6372
3427,5397,6372
3427,5397,6372
3473,5397,6372
3519,5397,6372
3703,5397,6372
3889,5397,6372
4071,5397,6372
4301,5397,6372
4485,5397,6372
3139,6177,6372
3180,6177,6372
3188,6177,6372
3229,6177,6372
3229,6177,6372
3503,6177,6372
3731,6177,6372
3916,6177,6372
4055,6177,6372
4096,6177,6372
4096,6177,6372
4096,6177,6372
4096,6177,6372
4187,6177,6372
4416,6177,6372
4553,6177,6372
4644,6177,6372
4826,6177,6372
5009,6177,6372
3774,6962,6962
4035,6962,6962
4346,6962,6962
4651,6962,6962
4739,6962,6962
4784,6962,6962
4826,6962,6962
4873,6962,6962
4914,6962,6962
4914,6962,6962
4914,6962,6962
4956,6962,6962
4956,6962,6962
4956,6962,6962
5178,6962,6962
5178,6962,6962
5178,6962,6962
5178,6962,6962
5186,6962,6962
5196,6962,6962
5206,6962,6962
5216,6962,6962
5226,6962,6962
5236,6962,6962
5246,6962,6962
5256,6962,6962
5266,6962,6962
5276,6962,6962
5286,6962,6962
5296,6962,6962
5306,6962,6962
5316,6962,6962
5326,6962,6962
5336,6962,6962
5346,6962,6962
5356,6962,6962
5366,6962,6962
5376,6962,6962
5386,6962,6962
5396,6962,6962
5406,6962,6962
5416,6962,6962
5426,6962,6962
5436,6962,6962
5446,6962,6962
5456,6962,6962
5466,6962,6962
5476,6962,6962
5486,6962,6962
5496,6962,6962
5506,6962,6962
5516,6962,6962
5526,6962,6962
5536,6962,6962
5546,6962,6962
5556,6962,6962
5566,6962,6962
5576,6962,6962
5586,6962,6962
5596,6962,6962
5606,6962,6962
5616,6962,6962
5626,6962,6962
5636,6962,6962
5642,6962,6962
5646,6962,6962
5656,6962,6962
5666,6962,6962
5676,6962,6962
5686,6962,6962
5696,6962,6962
5706,6962,6962
5716,6962,6962
5726,6962,6962
5736,6962,6962
5746,6962,6962
5756,6962,6962
5766,6962,6962
5776,6962,6962
5786,6962,6962
5796,6962,6962
5806,6962,6962
5816,6962,6962
5826,6962,6962
5836,6962,6962
5846,6962,6962
5856,6962,6962
4207,6981,6981
4207,6981,6981
4248,6981,6981
4248,6981,6981
4248,6981,6981
4248,6981,6981
4258,6981,6981
4268,6981,6981
4278,6981,6981
4288,6981,6981
4298,6981,6981
4308,6981,6981
4318,6981,6981
4328,6981,6981
4338,6981,6981
4348,6981,6981
4358,6981,6981
4368,6981,6981
4378,6981,6981
4388,6981,6981
4398,6981,6981
4408,6981,6981
4418,6981,6981
4428,6981,6981
4438,6981,6981
4448,6981,6981
4458,6981,6981
4468,6981,6981
4478,6981,6981
4488,6981,6981
4498,6981,6981
4508,6981,6981
4518,6981,6981
4528,6981,6981
4538,6981,6981
4548,6981,6981
4558,6981,6981
4568,6981,6981
4578,6981,6981
4588,6981,6981
4598,6981,6981
4608,6981,6981
4618,6981,6981
4628,6981,6981
4638,6981,6981
4648,6981,6981
4658,6981,6981
4689,6981,6981
4699,6981,6981
4709,6981,6981
4719,6981,6981
4729,6981,6981
4739,6981,6981
4749,6981,6981
4759,6981,6981
4769,6981,6981
4779,6981,6981
4789,6981,6981
4799,6981,6981
4809,6981,6981
4819,6981,6981
4829,6981,6981
4839,6981,6981
4849,6981,6981
4859,6981,6981
4869,6981,6981
4879,6981,6981
4889,6981,6981
4891,6981,6981
4899,6981,6981
4909,6981,6981
4919,6981,6981
4929,6981,6981
4939,6981,6981
4949,6981,6981
4959,6981,6981
4969,6981,6981
4979,6981,6981
4989,6981,6981
4999,6981,6981
5009,6981,6981
5019,6981,6981
5029,6981,6981
5039,6981,6981
5049,6981,6981
5059,6981,6981
