# Command line arguments:  -XX:+UseConcMarkSweepGC -Xmx7g 

used memory, total memory, maximum memory
5,247,7101
140,247,7101
292,477,7101
394,684,7101
549,684,7101
676,1027,7101
801,1027,7101
931,1581,7101
1037,1581,7101
1183,1581,7101
1308,1581,7101
1395,1581,7101
1406,1581,7101
1445,2441,7101
1516,2441,7101
1599,2441,7101
1696,2441,7101
1758,2441,7101
1815,2441,7101
1902,2441,7101
2042,2441,7101
2142,2441,7101
2212,2441,7101
2274,3751,7101
2347,3751,7101
2378,3751,7101
2440,3751,7101
2502,3751,7101
2564,3751,7101
2662,3751,7101
2681,3751,7101
2706,3751,7101
2766,3751,7101
2873,3751,7101
2991,3751,7101
3018,3751,7101
3095,3751,7101
3122,3751,7101
3185,3751,7101
3191,3751,7101
3288,3751,7101
3405,3751,7101
3463,5747,7101
3581,5747,7101
3647,5747,7101
3764,5747,7101
3792,5747,7101
3839,5747,7101
3880,5747,7101
3969,5747,7101
4072,5747,7101
4134,5747,7101
4201,5747,7101
4211,5747,7101
4221,5747,7101
4231,5747,7101
4241,5747,7101
4243,5747,7101
4251,5747,7101
4261,5747,7101
4207,5747,7101
4217,5747,7101
4227,5747,7101
4237,5747,7101
4247,5747,7101
4257,5747,7101
4204,5747,7101
4215,5747,7101
4215,5747,7101
4225,5747,7101
4235,5747,7101
4245,5747,7101
4255,5747,7101
4265,5747,7101
4207,5747,7101
4217,5747,7101
4227,5747,7101
4237,5747,7101
4247,5747,7101
4253,5747,7101
4257,5747,7101
4204,5747,7101
4215,5747,7101
4225,5747,7101
4235,5747,7101
4245,5747,7101
4255,5747,7101
4265,5747,7101
4207,5747,7101
4213,5747,7101
4217,5747,7101
4227,5747,7101
4237,5747,7101
4247,5747,7101
4257,5747,7101
4204,5747,7101
4215,5747,7101
4217,5747,7101
4225,5747,7101
4235,5747,7101
4245,5747,7101
4255,5747,7101
4265,5747,7101
4207,5747,7101
4217,5747,7101
4219,5747,7101
4227,5747,7101
4237,5747,7101
4247,5747,7101
4257,5747,7101
4204,5747,7101
4215,5747,7101
4225,5747,7101
4235,5747,7101
4245,5747,7101
4255,5747,7101
4265,5747,7101
4207,5747,7101
4217,5747,7101
4227,5747,7101
4237,5747,7101
4247,5747,7101
4257,5747,7101
4204,5747,7101
4215,5747,7101
4225,5747,7101
4235,5747,7101
4245,5747,7101
4255,5747,7101
4265,5747,7101
4207,5747,7101
4217,5747,7101
4227,5747,7101
4237,5747,7101
4247,5747,7101
4257,5747,7101
4204,5747,7101
4215,5747,7101
4225,5747,7101
4235,5747,7101
4245,5747,7101
4255,5747,7101
4265,5747,7101
4207,5747,7101
4217,5747,7101
4227,5747,7101
4237,5747,7101
4247,5747,7101
4257,5747,7101
4204,5747,7101
4215,5747,7101
4225,5747,7101
4235,5747,7101
4245,5747,7101
4255,5747,7101
4265,5747,7101
4207,5747,7101
4217,5747,7101
4227,5747,7101
4237,5747,7101
4247,5747,7101
4257,5747,7101
4204,5747,7101
4215,5747,7101
4225,5747,7101
4235,5747,7101
4245,5747,7101
4255,5747,7101
4265,5747,7101
4207,5747,7101
4217,5747,7101
4227,5747,7101
4237,5747,7101
4247,5747,7101
4257,5747,7101
4205,5747,7101
4216,5747,7101
4226,5747,7101
4236,5747,7101
4246,5747,7101
4256,5747,7101
4266,5747,7101
