# Command line arguments:  -XX:+UseG1GC -Xmx7g 

used memory, total memory, maximum memory
2,256,7168
164,275,7168
248,444,7168
420,634,7168
539,839,7168
639,1039,7168
756,1269,7168
894,1448,7168
975,1635,7168
1085,1841,7168
1356,2029,7168
1321,2036,7168
1322,2036,7168
1321,2039,7168
1330,2045,7168
1296,2139,7168
1428,2175,7168
1476,2220,7168
1427,2356,7168
1620,2476,7168
1624,2566,7168
1773,2708,7168
1757,2802,7168
1831,2805,7168
1835,2811,7168
1847,2820,7168
1855,2826,7168
1860,2832,7168
1779,2922,7168
1852,2922,7168
1871,2922,7168
1914,2928,7168
1896,3046,7168
2004,3173,7168
2191,3284,7168
2204,3357,7168
2139,3470,7168
2187,3470,7168
2248,3470,7168
2312,3512,7168
2248,3615,7168
2481,3726,7168
2504,3807,7168
2561,3919,7168
2624,4073,7168
2683,4223,7168
2789,4250,7168
2869,4322,7168
2733,4373,7168
2963,4469,7168
3020,4584,7168
3077,4638,7168
2914,4705,7168
3219,4828,7168
3287,4957,7168
3307,5039,7168
3397,5123,7168
3417,5141,7168
3427,5153,7168
3253,5195,7168
3503,5285,7168
3493,5357,7168
3522,5548,7168
3587,5719,7168
3846,5806,7168
3797,5900,7168
3817,5900,7168
3830,5900,7168
3859,5900,7168
4042,6056,7168
3915,6093,7168
3944,6302,7168
4194,6359,7168
4214,6377,7168
4230,6392,7168
4254,6413,7168
4290,6528,7168
4228,6715,7168
4238,6715,7168
4248,6715,7168
4258,6715,7168
4258,6715,7168
4268,6715,7168
4278,6725,7168
4288,6735,7168
4298,6745,7168
4308,6755,7168
4318,6765,7168
4328,6775,7168
4338,6785,7168
4348,6795,7168
4358,6805,7168
4368,6815,7168
4368,6815,7168
4378,6825,7168
4388,6835,7168
4398,6845,7168
4408,6855,7168
4418,6865,7168
4428,6875,7168
4438,6885,7168
4448,6895,7168
4458,6905,7168
4468,6915,7168
4478,6925,7168
4480,6925,7168
4488,6935,7168
4498,6945,7168
4508,6955,7168
4518,6965,7168
4528,6975,7168
4538,6985,7168
4548,6995,7168
4558,7005,7168
4568,7015,7168
4578,7025,7168
4588,7035,7168
4598,7045,7168
4608,7055,7168
4618,7065,7168
4628,7075,7168
4638,7085,7168
4648,7095,7168
4658,7105,7168
4668,7115,7168
4678,7125,7168
4688,7135,7168
4698,7145,7168
4708,7158,7168
3439,7166,7168
103,7166,7168
112,7166,7168
122,7166,7168
132,7166,7168
142,7166,7168
152,7166,7168
162,7166,7168
172,7166,7168
182,7166,7168
192,7166,7168
194,7166,7168
202,7166,7168
212,7166,7168
222,7166,7168
232,7166,7168
242,7166,7168
252,7166,7168
262,7166,7168
272,7166,7168
282,7166,7168
292,7166,7168
302,7166,7168
312,7166,7168
314,7166,7168
322,7166,7168
332,7166,7168
342,7166,7168
352,7166,7168
362,7166,7168
372,7166,7168
382,7166,7168
392,7166,7168
402,7166,7168
412,7166,7168
422,7166,7168
432,7166,7168
442,7166,7168
452,7166,7168
454,7166,7168
462,7166,7168
472,7166,7168
482,7166,7168
492,7166,7168
502,7166,7168
512,7166,7168
522,7166,7168
532,7166,7168
542,7166,7168
552,7166,7168
562,7166,7168
572,7166,7168
582,7166,7168
592,7166,7168
602,7166,7168
602,7166,7168
612,7166,7168
622,7166,7168
632,7166,7168
642,7166,7168
652,7166,7168
662,7166,7168
672,7166,7168
682,7166,7168
692,7166,7168
702,7166,7168
712,7166,7168
722,7166,7168
732,7166,7168
742,7166,7168
744,7166,7168
752,7166,7168
762,7166,7168
772,7166,7168
782,7166,7168
792,7166,7168
802,7166,7168
812,7166,7168
822,7166,7168
832,7166,7168
842,7166,7168
852,7166,7168
862,7166,7168
872,7166,7168
882,7166,7168
888,7166,7168
892,7166,7168
902,7166,7168
912,7166,7168
922,7166,7168
932,7166,7168
942,7166,7168
952,7166,7168
962,7166,7168
972,7166,7168
982,7166,7168
992,7166,7168
1002,7166,7168
1012,7166,7168
1022,7166,7168
1032,7166,7168
1042,7166,7168
1042,7166,7168
1052,7166,7168
1062,7166,7168
1072,7166,7168
1082,7166,7168
1092,7166,7168
1102,7166,7168
1112,7166,7168
1122,7166,7168
1132,7166,7168
1142,7166,7168
1152,7166,7168
1162,7166,7168
1172,7166,7168
1182,7166,7168
1192,7166,7168
1192,7166,7168
1202,7166,7168
1212,7166,7168
1222,7166,7168
1232,7166,7168
1242,7166,7168
1252,7166,7168
1262,7166,7168
1272,7166,7168
1282,7166,7168
1292,7166,7168
1302,7166,7168
1312,7166,7168
1322,7166,7168
1332,7166,7168
1334,7166,7168
1342,7166,7168
1352,7166,7168
1362,7166,7168
1372,7166,7168
1382,7166,7168
1392,7166,7168
1402,7166,7168
1412,7166,7168
1422,7166,7168
1432,7166,7168
1442,7166,7168
1448,7166,7168
1452,7166,7168
1462,7166,7168
1472,7166,7168
1482,7166,7168
1492,7166,7168
1502,7166,7168
1512,7166,7168
1522,7166,7168
1532,7166,7168
1542,7166,7168
1552,7166,7168
1562,7166,7168
1572,7166,7168
1582,7166,7168
1592,7166,7168
1592,7166,7168
1602,7166,7168
1612,7166,7168
1622,7166,7168
1632,7166,7168
1642,7166,7168
1652,7166,7168
1662,7166,7168
1668,7166,7168
1672,7166,7168
1682,7166,7168
1692,7166,7168
1702,7166,7168
1712,7166,7168
1722,7166,7168
1732,7166,7168
1742,7166,7168
1752,7166,7168
1762,7166,7168
1762,7166,7168
1772,7166,7168
1782,7166,7168
1792,7166,7168
1802,7166,7168
1812,7166,7168
1822,7166,7168
1822,7166,7168
1832,7166,7168
1842,7166,7168
1852,7166,7168
1862,7166,7168
1872,7166,7168
1882,7166,7168
1892,7166,7168
1902,7166,7168
1912,7166,7168
1922,7166,7168
1932,7166,7168
1942,7166,7168
1952,7166,7168
1954,7166,7168
1962,7166,7168
1972,7166,7168
1982,7166,7168
1992,7166,7168
2002,7166,7168
2012,7166,7168
2022,7166,7168
2032,7166,7168
2042,7166,7168
2052,7166,7168
2062,7166,7168
2072,7166,7168
2072,7166,7168
2082,7166,7168
2092,7166,7168
2102,7166,7168
2112,7166,7168
2122,7166,7168
2132,7166,7168
2142,7166,7168
2152,7166,7168
2162,7166,7168
2172,7166,7168
2178,7166,7168
2182,7166,7168
2192,7166,7168
2202,7166,7168
2212,7166,7168
2222,7166,7168
2232,7166,7168
2242,7166,7168
2252,7166,7168
2262,7166,7168
2262,7166,7168
2272,7166,7168
2282,7166,7168
2292,7166,7168
2302,7166,7168
2312,7166,7168
2322,7166,7168
2332,7166,7168
2338,7166,7168
2342,7166,7168
2352,7166,7168
2362,7166,7168
2372,7166,7168
2382,7166,7168
2392,7166,7168
2402,7166,7168
2412,7166,7168
2422,7166,7168
2432,7166,7168
2442,7166,7168
2452,7166,7168
2452,7166,7168
2462,7166,7168
2472,7166,7168
2482,7166,7168
2492,7166,7168
2502,7166,7168
2512,7166,7168
2522,7166,7168
2522,7166,7168
2532,7166,7168
2534,7166,7168
2542,7166,7168
2552,7166,7168
2562,7166,7168
2572,7166,7168
2582,7166,7168
2592,7166,7168
2602,7166,7168
2612,7166,7168
2622,7166,7168
2632,7166,7168
2642,7166,7168
2648,7166,7168
2652,7166,7168
2662,7166,7168
2672,7166,7168
2682,7166,7168
2692,7166,7168
2702,7166,7168
2712,7166,7168
2722,7166,7168
2732,7166,7168
2742,7166,7168
2752,7166,7168
2758,7166,7168
2762,7166,7168
2772,7166,7168
2782,7166,7168
2792,7166,7168
2802,7166,7168
2812,7166,7168
2822,7166,7168
2832,7166,7168
2842,7166,7168
2852,7166,7168
2862,7166,7168
2872,7166,7168
2878,7166,7168
2882,7166,7168
2892,7166,7168
2902,7166,7168
2912,7166,7168
2922,7166,7168
2932,7166,7168
2942,7166,7168
2952,7166,7168
2962,7166,7168
2972,7166,7168
2982,7166,7168
2992,7166,7168
2992,7166,7168
3002,7166,7168
3012,7166,7168
3022,7166,7168
3032,7166,7168
3042,7166,7168
3052,7166,7168
3062,7166,7168
3072,7166,7168
3082,7166,7168
3092,7166,7168
3102,7166,7168
3112,7166,7168
3114,7166,7168
3122,7166,7168
3132,7166,7168
3142,7166,7168
3152,7166,7168
3162,7166,7168
3172,7166,7168
3182,7166,7168
3192,7166,7168
3202,7166,7168
3212,7166,7168
3222,7166,7168
3232,7166,7168
3242,7166,7168
3252,7166,7168
3262,7166,7168
3272,7166,7168
3274,7166,7168
3282,7166,7168
3292,7166,7168
3302,7166,7168
3312,7166,7168
3322,7166,7168
3332,7166,7168
3342,7166,7168
3352,7166,7168
3362,7166,7168
3372,7166,7168
3382,7166,7168
3392,7166,7168
3402,7166,7168
3412,7166,7168
3422,7166,7168
3432,7166,7168
3432,7166,7168
3442,7166,7168
3452,7166,7168
3462,7166,7168
3472,7166,7168
3482,7166,7168
3492,7166,7168
3502,7166,7168
3512,7166,7168
3522,7166,7168
3532,7166,7168
3542,7166,7168
3552,7166,7168
3562,7166,7168
3564,7166,7168
3572,7166,7168
3582,7166,7168
3592,7166,7168
3602,7166,7168
3612,7166,7168
3622,7166,7168
3632,7166,7168
3642,7166,7168
3652,7166,7168
3662,7166,7168
3672,7166,7168
3682,7166,7168
3692,7166,7168
3702,7166,7168
3712,7166,7168
3718,7166,7168
3722,7166,7168
3732,7166,7168
3742,7166,7168
3752,7166,7168
3762,7166,7168
3772,7166,7168
3782,7166,7168
3792,7166,7168
3802,7166,7168
3812,7166,7168
3822,7166,7168
3832,7166,7168
3842,7166,7168
3852,7166,7168
3862,7166,7168
3872,7166,7168
3882,7166,7168
3888,7166,7168
3892,7166,7168
3902,7166,7168
3912,7166,7168
3922,7166,7168
3932,7166,7168
3942,7166,7168
3952,7166,7168
3962,7166,7168
3972,7166,7168
3982,7166,7168
3992,7166,7168
4002,7166,7168
4012,7166,7168
4018,7166,7168
4022,7166,7168
4032,7166,7168
4042,7166,7168
4052,7166,7168
4062,7166,7168
4072,7166,7168
4082,7166,7168
4092,7166,7168
4102,7166,7168
4112,7166,7168
4122,7166,7168
4132,7166,7168
4142,7166,7168
4152,7166,7168
4162,7166,7168
4172,7166,7168
4178,7166,7168
4182,7166,7168
4192,7166,7168
4202,7166,7168
4212,7166,7168
4222,7166,7168
4232,7166,7168
4242,7166,7168
4252,7166,7168
4262,7166,7168
4272,7166,7168
4282,7166,7168
4292,7166,7168
4302,7166,7168
4312,7166,7168
4322,7166,7168
4332,7166,7168
4342,7166,7168
4344,7166,7168
4352,7166,7168
4362,7166,7168
4372,7166,7168
4382,7166,7168
4392,7166,7168
4402,7166,7168
4412,7166,7168
4422,7166,7168
4432,7166,7168
4442,7166,7168
4452,7166,7168
4462,7166,7168
4472,7166,7168
4482,7166,7168
4492,7166,7168
4498,7166,7168
4502,7166,7168
4512,7166,7168
4522,7166,7168
4532,7166,7168
4542,7166,7168
4552,7166,7168
4562,7166,7168
4572,7166,7168
4582,7166,7168
4592,7166,7168
4602,7166,7168
4612,7166,7168
4622,7166,7168
4632,7166,7168
4642,7166,7168
4644,7166,7168
4652,7166,7168
4662,7166,7168
4672,7166,7168
4682,7166,7168
4692,7166,7168
4702,7166,7168
4712,7166,7168
4722,7166,7168
4732,7166,7168
4742,7166,7168
4752,7166,7168
4762,7166,7168
4772,7166,7168
4782,7166,7168
4792,7166,7168
4802,7166,7168
4802,7166,7168
4812,7166,7168
4822,7166,7168
4832,7166,7168
4842,7166,7168
4852,7166,7168
4862,7166,7168
4872,7166,7168
4882,7166,7168
4892,7166,7168
4902,7166,7168
4912,7166,7168
4922,7166,7168
4932,7166,7168
4942,7166,7168
4952,7166,7168
4952,7166,7168
4962,7166,7168
4972,7166,7168
4982,7166,7168
4992,7166,7168
5002,7166,7168
5012,7166,7168
5022,7166,7168
5032,7166,7168
5038,7166,7168
5042,7166,7168
5052,7166,7168
5062,7166,7168
5072,7166,7168
5082,7166,7168
