# Command line arguments:  -Xmx7g  Program arguments:  --object_activity 

used memory, total memory, maximum memory
5,245,6372
141,309,6372
195,613,6372
361,929,6372
694,929,6372
748,1185,6372
813,1465,6372
1244,1465,6372
1112,1847,6372
1026,2507,6372
1446,2507,6372
1919,2507,6372
1561,2875,6372
2005,2875,6372
1682,3279,6372
2140,3279,6372
2336,3279,6372
2467,3279,6372
2532,3279,6372
2532,3279,6372
2532,3279,6372
2532,3279,6372
2630,3279,6372
2696,3279,6372
2794,3279,6372
2892,3279,6372
2045,3998,6372
2207,3998,6372
2303,3998,6372
2336,3998,6372
2402,3998,6372
2468,3998,6372
2566,3998,6372
2697,3998,6372
2763,3998,6372
2798,3998,6372
2861,3998,6372
2964,3998,6372
3157,3998,6372
3225,3998,6372
3260,3998,6372
3424,3998,6372
2469,5225,6372
2744,5225,6372
2862,5225,6372
3058,5225,6372
3136,5225,6372
3176,5225,6372
3254,5225,6372
3372,5225,6372
3568,5225,6372
3686,5225,6372
3686,5225,6372
3686,5225,6372
3765,5225,6372
4039,5225,6372
4196,5225,6372
4196,5225,6372
4236,5225,6372
4236,5225,6372
4236,5225,6372
4353,5225,6372
3060,5972,6372
3301,5972,6372
3419,5972,6372
3577,5972,6372
3616,5972,6372
3655,5972,6372
3734,5972,6372
3813,5972,6372
3891,5972,6372
4009,5972,6372
4127,5972,6372
4206,5972,6372
4206,5972,6372
4245,5972,6372
4363,5972,6372
4403,5972,6372
4639,5972,6372
4717,5972,6372
4796,5972,6372
4835,5972,6372
4875,5972,6372
4875,5972,6372
4953,5972,6372
3644,6490,6490
3814,6490,6490
3859,6490,6490
3903,6490,6490
3905,6490,6490
3948,6490,6490
3994,6490,6490
3994,6490,6490
4085,6490,6490
4268,6490,6490
4313,6490,6490
4405,6490,6490
4496,6490,6490
4501,6490,6490
4542,6490,6490
4635,6490,6490
4815,6490,6490
4998,6490,6490
5000,6490,6490
5043,6490,6490
5043,6490,6490
5043,6490,6490
5317,6490,6490
5409,6490,6490
4196,6559,6559
4232,6559,6559
4323,6559,6559
4460,6559,6559
4607,6559,6559
4826,6559,6559
