# Command line arguments:  -XX:+UseSerialGC -Xmx7g  Program arguments:  --object_activity 

used memory, total memory, maximum memory
6,247,6929
137,247,6929
239,431,6929
293,431,6929
406,760,6929
636,760,6929
716,1342,6929
891,1342,6929
980,1342,6929
1145,1342,6929
1201,2375,6929
1633,2375,6929
1548,2375,6929
1461,2375,6929
1880,2375,6929
1617,2375,6929
1788,2375,6929
1893,2375,6929
1958,2375,6929
2103,2375,6929
2247,2375,6929
1816,4188,6929
1926,4188,6929
2056,4188,6929
2089,4188,6929
2121,4188,6929
2219,4188,6929
2382,4188,6929
2545,4188,6929
2740,4188,6929
2777,4188,6929
2805,4188,6929
2805,4188,6929
2805,4188,6929
2873,4188,6929
2147,4188,6929
2324,4188,6929
2361,4188,6929
2455,4188,6929
2594,4188,6929
2782,4188,6929
2984,4188,6929
3044,4188,6929
3111,4188,6929
3117,4188,6929
3142,4188,6929
3242,4188,6929
3283,4188,6929
2501,4188,6929
2779,4188,6929
2812,4188,6929
2848,4188,6929
3007,4188,6929
3138,4188,6929
3143,4188,6929
3180,4188,6929
3333,4188,6929
3529,4188,6929
3537,4188,6929
3562,4188,6929
3594,4188,6929
3627,4188,6929
2855,4188,6929
3087,4188,6929
3349,4188,6929
3401,4188,6929
3506,4188,6929
3690,4188,6929
3715,4188,6929
3719,4188,6929
3769,4188,6929
3977,4188,6929
4004,4188,6929
3208,6929,6929
3425,6929,6929
3473,6929,6929
3562,6929,6929
3791,6929,6929
3884,6929,6929
3928,6929,6929
3928,6929,6929
4065,6929,6929
4338,6929,6929
4386,6929,6929
4430,6929,6929
4430,6929,6929
4430,6929,6929
4475,6929,6929
4612,6929,6929
4704,6929,6929
4751,6929,6929
4841,6929,6929
4886,6929,6929
4932,6929,6929
4932,6929,6929
3754,6929,6929
3989,6929,6929
4107,6929,6929
4224,6929,6929
4499,6929,6929
4616,6929,6929
4655,6929,6929
4694,6929,6929
4694,6929,6929
4694,6929,6929
4694,6929,6929
4734,6929,6929
4773,6929,6929
4812,6929,6929
4851,6929,6929
4890,6929,6929
