# Command line arguments:  -XX:+UseParallelGC -Xmx7g  Program arguments:  --object_activity 

used memory, total memory, maximum memory
5,245,6372
126,309,6372
22,611,6372
357,937,6372
700,937,6372
756,1187,6372
816,1645,6372
1256,1645,6372
1092,1947,6372
1544,1947,6372
1380,2544,6372
1835,2544,6372
1400,2954,6372
1874,2954,6372
2269,2954,6372
2420,2954,6372
1679,3826,6372
1934,3826,6372
2051,3826,6372
2129,3826,6372
2212,3826,6372
2369,3826,6372
2520,3826,6372
2599,3826,6372
2638,3826,6372
2677,3826,6372
2755,3826,6372
2911,3826,6372
2990,3826,6372
2132,4361,6372
2391,4361,6372
2508,4361,6372
2625,4361,6372
2747,4361,6372
2781,4361,6372
2786,4361,6372
2830,4361,6372
2864,4361,6372
2981,4361,6372
3094,4361,6372
3250,4361,6372
3451,4361,6372
3524,4361,6372
3602,4361,6372
2584,5369,6372
2748,5369,6372
2945,5369,6372
3103,5369,6372
3103,5369,6372
3143,5369,6372
3222,5369,6372
3499,5369,6372
3697,5369,6372
3697,5369,6372
3736,5369,6372
3736,5369,6372
3736,5369,6372
3815,5369,6372
3934,5369,6372
3934,5369,6372
4013,5369,6372
4171,5369,6372
4250,5369,6372
4250,5369,6372
4250,5369,6372
4329,5369,6372
4329,5369,6372
3180,6076,6372
3348,6076,6372
3426,6076,6372
3465,6076,6372
3465,6076,6372
3582,6076,6372
3699,6076,6372
3817,6076,6372
3934,6076,6372
4012,6076,6372
4129,6076,6372
4325,6076,6372
4325,6076,6372
4325,6076,6372
4364,6076,6372
4403,6076,6372
4442,6076,6372
4442,6076,6372
4599,6076,6372
4716,6076,6372
4833,6076,6372
4833,6076,6372
4950,6076,6372
5107,6076,6372
3783,6616,6616
3895,6616,6616
4013,6616,6616
4248,6616,6616
4446,6616,6616
4448,6616,6616
4484,6616,6616
4484,6616,6616
4522,6616,6616
4758,6616,6616
4838,6616,6616
4994,6616,6616
4994,6616,6616
4994,6616,6616
5035,6616,6616
5035,6616,6616
5073,6616,6616
