# Command line arguments:  -XX:+UseConcMarkSweepGC -Xmx7g  Program arguments:  --object_activity 

used memory, total memory, maximum memory
5,247,7101
131,247,7101
243,374,7101
318,477,7101
460,684,7101
562,684,7101
702,994,7101
827,994,7101
936,1544,7101
1079,1544,7101
1173,1544,7101
1343,1544,7101
1434,2371,7101
1595,2371,7101
1712,2371,7101
1716,2371,7101
1737,2371,7101
1758,2371,7101
1778,2371,7101
1799,2371,7101
1861,2371,7101
1976,2371,7101
2033,2371,7101
2116,2371,7101
2137,2371,7101
2178,3611,7101
2287,3611,7101
2400,3611,7101
2419,3611,7101
2453,3611,7101
2522,3611,7101
2609,3611,7101
2688,3611,7101
2807,3611,7101
2814,3611,7101
2880,3611,7101
2920,3611,7101
3030,3611,7101
3089,3611,7101
3174,3611,7101
3278,3611,7101
3291,3611,7101
3349,5541,7101
3395,5541,7101
3428,5541,7101
3457,5541,7101
3531,5541,7101
3618,5541,7101
3728,5541,7101
3848,5541,7101
3962,5541,7101
4008,5541,7101
4034,5541,7101
4087,5541,7101
4176,5541,7101
4201,5541,7101
4258,5541,7101
4319,5541,7101
4382,5541,7101
4441,5541,7101
4504,5541,7101
4635,5541,7101
4591,5541,7101
4690,5541,7101
4807,5541,7101
4809,5541,7101
4871,5541,7101
4942,5541,7101
4923,5541,7101
4988,5541,7101
5024,5541,7101
5036,5541,7101
145,5541,7101
213,5541,7101
215,5541,7101
338,5541,7101
377,5541,7101
447,5541,7101
446,5541,7101
496,5541,7101
583,5541,7101
638,5541,7101
640,5541,7101
663,5541,7101
704,5541,7101
766,5541,7101
809,5541,7101
893,5541,7101
936,5541,7101
982,5541,7101
984,5541,7101
1024,5541,7101
1086,5541,7101
1165,5541,7101
1159,5541,7101
1233,5541,7101
1243,5541,7101
1312,5541,7101
1351,5541,7101
1421,5541,7101
1459,5541,7101
1528,5541,7101
1587,5541,7101
1586,5541,7101
1628,5541,7101
1673,5541,7101
1669,5541,7101
1710,5541,7101
1779,5541,7101
1751,5541,7101
1817,5541,7101
1854,5541,7101
1953,5541,7101
1921,5541,7101
2011,5541,7101
2046,5541,7101
2132,5541,7101
2172,5541,7101
2232,5541,7101
2263,5541,7101
2315,5541,7101
2337,5541,7101
2399,5541,7101
2472,5541,7101
2504,5541,7101
2547,5541,7101
2525,5541,7101
2573,5541,7101
2563,5541,7101
2642,5541,7101
2738,5541,7101
2719,5541,7101
2763,5541,7101
2845,5541,7101
2866,5541,7101
2909,5541,7101
2932,5541,7101
3033,5541,7101
3086,5541,7101
3159,5541,7101
3223,5541,7101
3267,5541,7101
3312,5541,7101
3345,5541,7101
3444,5541,7101
3453,5541,7101
3461,5541,7101
3545,5541,7101
3647,5541,7101
3687,5541,7101
3668,5541,7101
3709,5541,7101
3768,5541,7101
3812,5541,7101
3881,5541,7101
3837,5541,7101
3895,5541,7101
3894,5541,7101
3950,5541,7101
4007,5541,7101
4055,5541,7101
4066,5541,7101
4148,5541,7101
4234,5541,7101
4219,5541,7101
4317,5541,7101
4417,5541,7101
4429,5541,7101
4482,5541,7101
4631,5541,7101
4651,5541,7101
4663,5541,7101
4725,5541,7101
4842,5541,7101
4819,5541,7101
4908,5541,7101
5013,5541,7101
4973,5541,7101
5103,5541,7101
208,5541,7101
217,5541,7101
226,5541,7101
325,5541,7101
368,5541,7101
405,5541,7101
440,5541,7101
507,5541,7101
589,5541,7101
609,5541,7101
719,5541,7101
784,5541,7101
825,5541,7101
826,5541,7101
909,5541,7101
1019,5541,7101
1029,5541,7101
1032,5541,7101
1094,5541,7101
1193,5541,7101
1183,5541,7101
1278,5541,7101
1350,5541,7101
1371,5541,7101
1416,5541,7101
1523,5541,7101
1544,5541,7101
1555,5541,7101
1681,5541,7101
1759,5541,7101
1789,5541,7101
1813,5541,7101
1885,5541,7101
1960,5541,7101
1980,5541,7101
2026,5541,7101
2067,5541,7101
2108,5541,7101
2151,5541,7101
2174,5541,7101
2216,5541,7101
2278,5541,7101
2328,5541,7101
2377,5541,7101
2410,5541,7101
2492,5541,7101
2509,5541,7101
2603,5541,7101
2628,5541,7101
2695,5541,7101
2726,5541,7101
2863,5541,7101
2931,5541,7101
2934,5541,7101
3036,5541,7101
3125,5541,7101
3133,5541,7101
3200,5541,7101
3299,5541,7101
3305,5541,7101
3387,5541,7101
3392,5541,7101
3441,5541,7101
3478,5541,7101
3514,5541,7101
3609,5541,7101
3661,5541,7101
3702,5541,7101
3747,5541,7101
3809,5541,7101
3895,5541,7101
3887,5541,7101
3991,5541,7101
4008,5541,7101
4084,5541,7101
4093,5541,7101
4150,5541,7101
4255,5541,7101
4242,5541,7101
4237,5541,7101
4290,5541,7101
4323,5541,7101
4437,5541,7101
4432,5541,7101
4454,5541,7101
4556,5541,7101
4596,5541,7101
4613,5541,7101
4691,5541,7101
4812,5541,7101
4799,5541,7101
4809,5541,7101
4893,5541,7101
5001,5541,7101
5035,5541,7101
5036,5541,7101
108,5541,7101
188,5541,7101
239,5541,7101
252,5541,7101
372,5541,7101
413,5541,7101
456,5541,7101
486,5541,7101
591,5541,7101
606,5541,7101
676,5541,7101
773,5541,7101
804,5541,7101
859,5541,7101
928,5541,7101
1007,5541,7101
978,5541,7101
1103,5541,7101
1183,5541,7101
1198,5541,7101
1202,5541,7101
1275,5541,7101
1369,5541,7101
1351,5541,7101
1434,5541,7101
1532,5541,7101
1546,5541,7101
1556,5541,7101
1648,5541,7101
1727,5541,7101
1781,5541,7101
1826,5541,7101
1908,5541,7101
1913,5541,7101
1986,5541,7101
2101,5541,7101
2149,5541,7101
2228,5541,7101
2254,5541,7101
2341,5541,7101
2334,5541,7101
2437,5541,7101
2515,5541,7101
2539,5541,7101
2639,5541,7101
2694,5541,7101
2717,5541,7101
2784,5541,7101
2877,5541,7101
2932,5541,7101
2963,5541,7101
3025,5541,7101
3111,5541,7101
3102,5541,7101
3196,5541,7101
3226,5541,7101
3302,5541,7101
3306,5541,7101
3438,5541,7101
3473,5541,7101
3446,5541,7101
3496,5541,7101
3621,5541,7101
3650,5541,7101
3627,5541,7101
3711,5541,7101
3794,5541,7101
3831,5541,7101
3919,5541,7101
3934,5541,7101
4031,5541,7101
4015,5541,7101
4116,5541,7101
4185,5541,7101
4251,5541,7101
4232,5541,7101
4314,5541,7101
4379,5541,7101
4445,5541,7101
4438,5541,7101
4520,5541,7101
4619,5541,7101
4592,5541,7101
4630,5541,7101
4712,5541,7101
4798,5541,7101
4783,5541,7101
4846,5541,7101
4949,5541,7101
4981,5541,7101
5041,5541,7101
124,5541,7101
165,5541,7101
251,5541,7101
273,5541,7101
325,5541,7101
442,5541,7101
445,5541,7101
467,5541,7101
562,5541,7101
613,5541,7101
616,5541,7101
678,5541,7101
790,5541,7101
790,5541,7101
830,5541,7101
892,5541,7101
971,5541,7101
992,5541,7101
1073,5541,7101
1152,5541,7101
1157,5541,7101
1210,5541,7101
1350,5541,7101
1393,5541,7101
1394,5541,7101
1477,5541,7101
1587,5541,7101
1560,5541,7101
1680,5541,7101
1752,5541,7101
1761,5541,7101
1816,5541,7101
1854,5541,7101
1940,5541,7101
1980,5541,7101
2009,5541,7101
2110,5541,7101
2123,5541,7101
2168,5541,7101
2275,5541,7101
2357,5541,7101
2369,5541,7101
2517,5541,7101
2548,5541,7101
2552,5541,7101
2664,5541,7101
2719,5541,7101
2745,5541,7101
2888,5541,7101
2896,5541,7101
2936,5541,7101
3069,5541,7101
3077,5541,7101
3071,5541,7101
3201,5541,7101
3282,5541,7101
3263,5541,7101
3339,5541,7101
3440,5541,7101
3499,5541,7101
3562,5541,7101
3645,5541,7101
3693,5541,7101
3741,5541,7101
3810,5541,7101
3867,5541,7101
3954,5541,7101
4033,5541,7101
4046,5541,7101
4107,5541,7101
4242,5541,7101
4229,5541,7101
4328,5541,7101
4336,5541,7101
4463,5541,7101
4434,5541,7101
4537,5541,7101
