# Command line arguments:  -XX:+UseG1GC -Xmx7g  Program arguments:  --object_activity 

used memory, total memory, maximum memory
2,256,7168
113,266,7168
213,320,7168
393,754,7168
382,1516,7168
720,1516,7168
604,1518,7168
700,1519,7168
855,1540,7168
989,1568,7168
1159,1735,7168
1246,1902,7168
1357,2068,7168
1496,2264,7168
1581,2415,7168
1607,2439,7168
1626,2454,7168
1630,2457,7168
1632,2460,7168
1638,2466,7168
1643,2469,7168
1649,2475,7168
1595,2506,7168
1659,2524,7168
1661,2615,7168
1705,2731,7168
1879,2818,7168
1847,2842,7168
1939,2963,7168
2028,3092,7168
2130,3188,7168
2034,3192,7168
2136,3240,7168
2093,3326,7168
2251,3392,7168
2295,3488,7168
2274,3578,7168
2344,3584,7168
2439,3671,7168
2450,3735,7168
2549,3877,7168
2517,3988,7168
2675,4042,7168
2706,4126,7168
2748,4165,7168
2795,4210,7168
2647,4252,7168
2680,4252,7168
2831,4294,7168
2807,4394,7168
2883,4538,7168
3008,4677,7168
3028,4824,7168
3111,4994,7168
3175,4994,7168
3184,4994,7168
3285,5000,7168
3300,5145,7168
3444,5304,7168
3635,5448,7168
3644,5459,7168
3651,5467,7168
3427,5476,7168
3590,5476,7168
3592,5645,7168
3681,5826,7168
3902,5901,7168
3917,5916,7168
3937,5934,7168
3956,5952,7168
3755,6013,7168
3811,6013,7168
3922,6013,7168
4107,6166,7168
3875,6208,7168
3972,6208,7168
4080,6214,7168
4254,6373,7168
4182,6389,7168
4351,6533,7168
4119,6587,7168
4207,6587,7168
4315,6587,7168
4334,6593,7168
4385,6641,7168
4441,6696,7168
4518,6765,7168
51,6787,7168
60,6787,7168
113,6787,7168
187,6787,7168
238,6787,7168
297,6787,7168
355,6787,7168
440,6787,7168
482,6787,7168
561,6787,7168
568,6787,7168
614,6787,7168
644,6787,7168
655,6787,7168
735,6787,7168
812,6787,7168
880,6787,7168
965,6787,7168
1032,6787,7168
1100,6787,7168
1137,6787,7168
1154,6787,7168
1173,6787,7168
1188,6787,7168
1214,6787,7168
1230,6787,7168
1238,6787,7168
1297,6787,7168
1359,6787,7168
1407,6787,7168
1480,6787,7168
1559,6787,7168
1601,6787,7168
1669,6787,7168
1742,6787,7168
1836,6787,7168
1874,6787,7168
1909,6787,7168
1915,6787,7168
1974,6787,7168
2042,6787,7168
2055,6787,7168
2090,6787,7168
2108,6787,7168
2119,6787,7168
2135,6787,7168
2150,6787,7168
2201,6787,7168
2236,6787,7168
2295,6787,7168
2353,6787,7168
2388,6787,7168
2407,6787,7168
2439,6787,7168
2511,6787,7168
2570,6787,7168
2579,6787,7168
2638,6787,7168
2708,6787,7168
2768,6787,7168
2840,6787,7168
2941,6787,7168
2994,6787,7168
3056,6787,7168
3080,6787,7168
3168,6787,7168
3228,6787,7168
3250,6787,7168
3256,6787,7168
3297,6787,7168
3311,6787,7168
3341,6787,7168
3361,6787,7168
3385,6787,7168
3403,6787,7168
3426,6787,7168
3451,6787,7168
3469,6787,7168
3484,6787,7168
3525,6787,7168
3561,6787,7168
3586,6787,7168
3631,6787,7168
3677,6787,7168
3755,6787,7168
3828,6787,7168
3909,6787,7168
3920,6787,7168
3970,6787,7168
4034,6787,7168
4088,6787,7168
4162,6787,7168
4221,6787,7168
4261,6787,7168
4331,6787,7168
4394,6787,7168
4458,6787,7168
4519,6787,7168
4591,6787,7168
4591,6787,7168
4642,6790,7168
21,6803,7168
110,6803,7168
148,6803,7168
205,6803,7168
271,6803,7168
370,6803,7168
439,6803,7168
509,6803,7168
583,6803,7168
599,6803,7168
628,6803,7168
638,6803,7168
713,6803,7168
761,6803,7168
791,6803,7168
845,6803,7168
910,6803,7168
955,6803,7168
986,6803,7168
1055,6803,7168
1107,6803,7168
